baseline_model,episode,n_trials,n_unique_winner_trials,n_tied_human_trials,strict_unique_winner_accuracy,tie_compatible_accuracy,top2_hit_rate,mean_spearman,mean_ndcg,mae,rmse,mean_predicted_winner_probability,mean_observed_winner_probability_mass,mean_entropy,mean_top2_margin,mean_expected_draws_outside_0_100_prop,predicted_exact_tie_count
categorical_design,EDR-1,60,58,2,0.25862068965517243,0.2833333333333333,0.5666666666666667,0.28373266531071184,0.9084977696577703,23.245981793189475,27.437538535675614,0.83065,0.27264999999999995,0.4504654556077387,0.6757666666666666,0.004629999999999999,0
categorical_design,EDR-2,60,52,8,0.34615384615384615,0.4,0.65,0.3236727751778456,0.9254240551719317,24.231928890322646,28.515202563754034,0.8309166666666667,0.3778166666666667,0.4465376194029619,0.6774666666666666,0.003966666666666667,0
categorical_design,FM-1,60,54,6,0.25925925925925924,0.3333333333333333,0.5833333333333334,0.4011529859549606,0.9216594044998632,23.408382985971617,28.72315066464821,0.8339666666666667,0.3279333333333333,0.44510083808707984,0.68355,0.00456,0
primary_acoustic,EDR-1,60,58,2,0.25862068965517243,0.2833333333333333,0.5333333333333333,0.2829377817385183,0.9079839204959209,23.271041967862864,27.45742005202178,0.8311666666666665,0.27315,0.4249279932614502,0.6724833333333334,0.0052833333333333335,0
primary_acoustic,EDR-2,60,52,8,0.3269230769230769,0.38333333333333336,0.6666666666666666,0.32191838921293325,0.9258065466156542,24.14904794115963,28.44361406710199,0.8290833333333334,0.37645000000000006,0.4299534941185575,0.6693666666666668,0.0046366666666666665,0
primary_acoustic,FM-1,60,54,6,0.25925925925925924,0.3333333333333333,0.6,0.4029850901551127,0.9213713628309371,23.39805403694831,28.753493231800295,0.8329333333333334,0.32711666666666667,0.4244335048274806,0.6765,0.004973333333333333,0
