baseline_model,song_id,n_trials,n_unique_winner_trials,n_tied_human_trials,strict_unique_winner_accuracy,tie_compatible_accuracy,top2_hit_rate,mean_spearman,mean_ndcg,mae,rmse,mean_predicted_winner_probability,mean_observed_winner_probability_mass,mean_entropy,mean_top2_margin,mean_expected_draws_outside_0_100_prop,predicted_exact_tie_count
categorical_design,id_like_to_know,48,43,5,0.18604651162790697,0.25,0.5833333333333334,0.2180331521687679,0.9025864774293199,22.149930820158698,25.97457236450358,0.80225,0.2533541666666667,0.6037854013073337,0.6386875,0.0016833333333333336,0
categorical_design,in_the_meantime,42,40,2,0.325,0.35714285714285715,0.5,0.4124318199120747,0.9241053303856155,25.07286460293723,29.785359493612813,0.9776190476190477,0.3519285714285714,0.1200870891178756,0.9637380952380952,0.002461904761904762,0
categorical_design,lead_me,48,46,2,0.32608695652173914,0.3333333333333333,0.625,0.2735662577182895,0.9036091416815876,23.756166545220292,28.173059360601467,0.8818958333333334,0.30866666666666664,0.41006959211358374,0.7790833333333333,0.008850000000000002,0
categorical_design,pouring_room,42,35,7,0.3142857142857143,0.42857142857142855,0.6904761904761905,0.48055555555555546,0.9484578965992645,23.729157935892125,29.16008983756048,0.6626904761904762,0.4034761904761905,0.6385127942550479,0.3256428571428572,0.004295238095238095,0
primary_acoustic,id_like_to_know,48,43,5,0.18604651162790697,0.25,0.5833333333333334,0.2180331521687679,0.9025864774293199,22.11613202665815,25.951339125709012,0.8100624999999999,0.2527083333333333,0.5679026188294581,0.6446041666666668,0.001675,0
primary_acoustic,in_the_meantime,42,40,2,0.325,0.35714285714285715,0.5,0.42600485864430115,0.9243873132760634,25.059524815032717,29.77873486235604,0.9857380952380953,0.3529047619047619,0.08159596559796733,0.9760714285714287,0.0030190476190476196,0
primary_acoustic,lead_me,48,46,2,0.32608695652173914,0.3333333333333333,0.625,0.2735662577182895,0.9036091416815876,23.77059428521607,28.191156748208826,0.8882499999999999,0.31002083333333336,0.38704417940120867,0.7877083333333333,0.009520833333333333,0
primary_acoustic,pouring_room,42,35,7,0.2857142857142857,0.40476190476190477,0.6904761904761905,0.46388888888888885,0.9475832347279288,23.667279322783617,29.14007251106621,0.6350238095238095,0.3992857142857143,0.6546291110062539,0.27035714285714285,0.005461904761904762,0
