stimulus_id,song_id,mix_id,source_mix_id,original_mix_name,bark_pc_01,bark_pc_02,bark_pc_03,bark_pc_04,bark_pc_05,bark_pc_06,bark_pc_07,bark_pc_08,bark_pc_09
Song_1_Mix_1,Song_1,Mix_1,mix_d5b28dfc8a93,PXL-L1,-10.9608109845,1.43088092867,2.16534256444,-2.45561950461,0.300016871343,-0.730121411034,-1.01835878993,-0.54550924207,0.766794539336
Song_1_Mix_2,Song_1,Mix_2,mix_c7d9a071ba25,PXL-L4,0.408087643377,-1.33372203907,-3.97216398355,-2.91495527253,1.40240314641,-0.104283024284,1.00672566455,-0.938322579342,2.13524475494
Song_1_Mix_3,Song_1,Mix_3,mix_d3e3580b6e30,McG-pro2,1.04794035492,-0.27220207694,-2.43986232911,1.93929838398,-0.369932472119,-0.196725541424,-0.302577114505,-0.831801929916,-0.597764007559
Song_2_Mix_1,Song_2,Mix_1,mix_5143d2ee3859,McG-C,2.78432436152,-2.55600295944,-0.401645372593,-7.06254098292,0.918334623552,,,,
Song_2_Mix_2,Song_2,Mix_2,mix_5b76bf1a027d,McG-H,5.5369760599,3.1028867596,-6.86789074967,-0.574337934992,-1.82359927232,,,,
Song_2_Mix_3,Song_2,Mix_3,mix_808780e357c9,McG-pro1,-10.5267561407,-2.53663786758,-2.25005335061,0.577241667266,-0.517422270601,,,,
Song_3_Mix_1,Song_3,Mix_1,mix_56e65a3ce054,DU-K,-4.9118610431,-4.77479706371,-2.01962048164,5.72140107296,-1.7633255248,-0.105395677101,-0.837082903395,-1.37291217534,
Song_3_Mix_2,Song_3,Mix_2,mix_cdaef40f2b94,QUT-pro,7.46134431373,-0.958857658817,1.13184053296,0.859593245704,-1.50910822555,0.39966049251,0.148745600638,0.0417733843802,
Song_3_Mix_3,Song_3,Mix_3,mix_29131e66c9d7,DU-N,-3.26653730994,-3.26308454338,-1.96963325828,-2.75609076506,0.572911641313,-2.02210169047,1.53974587915,-2.33306836391,
Song_4_Mix_1,Song_4,Mix_1,mix_0ba76f420c1d,McG-R,-10.1893907974,-0.437381416239,-0.828316225037,4.04529416296,-1.05134001073,,,,
Song_4_Mix_2,Song_4,Mix_2,mix_be2ccd4c43ff,McG-T,8.43735290981,5.30877644762,-5.66230267333,-0.0901201167,0.428878026398,,,,
Song_4_Mix_3,Song_4,Mix_3,mix_cbf8555ee2b2,McG-X,13.3964086144,-4.4692095812,1.96651592951,1.79206974085,-1.60345244506,,,,
