name,filename,loaded,dimensions,variables,description
raw_diffmst_features,outputs\stimulus_selection\03_feature_extraction\tables\raw_diffmst_features.csv,True,92 rows x 83 columns,"['artist', 'song', 'song_id', 'mix_id', 'mixer_id', 'institution_code', 'institution_name', 'original_dataset_filename', 'original_mix_name', 'institution_category', 'source_path', 'reference_mix_id', 'decoder_backend', 'original_sample_rate', 'target_sample_rate', 'original_channels', 'target_channels', 'approved_aligned_start_seconds', 'approved_aligned_end_seconds', 'alignment_lag_seconds', 'actual_source_start_seconds', 'actual_source_end_seconds', 'decoded_duration_seconds', 'decoded_sample_count', 'feature_extraction_status', 'exclusion_reason', 'extraction_notes', 'rms_left', 'rms_right', 'rms_mean', 'crest_factor_left', 'crest_factor_right', 'crest_factor_mean', 'stereo_width', 'stereo_imbalance', 'bark_mid_01', 'bark_mid_02', 'bark_mid_03', 'bark_mid_04', 'bark_mid_05', 'bark_mid_06', 'bark_mid_07', 'bark_mid_08', 'bark_mid_09', 'bark_mid_10', 'bark_mid_11', 'bark_mid_12', 'bark_mid_13', 'bark_mid_14', 'bark_mid_15', 'bark_mid_16', 'bark_mid_17', 'bark_mid_18', 'bark_mid_19', 'bark_mid_20', 'bark_mid_21', 'bark_mid_22', 'bark_mid_23', 'bark_mid_24', 'bark_side_01', 'bark_side_02', 'bark_side_03', 'bark_side_04', 'bark_side_05', 'bark_side_06', 'bark_side_07', 'bark_side_08', 'bark_side_09', 'bark_side_10', 'bark_side_11', 'bark_side_12', 'bark_side_13', 'bark_side_14', 'bark_side_15', 'bark_side_16', 'bark_side_17', 'bark_side_18', 'bark_side_19', 'bark_side_20', 'bark_side_21', 'bark_side_22', 'bark_side_23', 'bark_side_24']",Raw extracted DIFF-MST features for retained mixes; authoritative raw scalar and Bark-band values.
feature_schema,outputs\stimulus_selection\03_feature_extraction\tables\feature_schema.json,True,81 schema columns,"['artist', 'song', 'song_id', 'mix_id', 'mixer_id', 'institution_code', 'institution_name', 'institution_category', 'source_path', 'reference_mix_id', 'decoder_backend', 'original_sample_rate', 'target_sample_rate', 'original_channels', 'target_channels', 'approved_aligned_start_seconds', 'approved_aligned_end_seconds', 'alignment_lag_seconds', 'actual_source_start_seconds', 'actual_source_end_seconds']",Definitions and extraction parameters for raw DIFF-MST feature columns.
processed_features,outputs\stimulus_selection\04_mix_selection_v2\tables\processed_features_v2.csv,True,92 rows x 113 columns,"['artist', 'song', 'song_id', 'mix_id', 'mixer_id', 'institution_code', 'institution_name', 'original_dataset_filename', 'original_mix_name', 'institution_category', 'source_path', 'reference_mix_id', 'decoder_backend', 'original_sample_rate', 'target_sample_rate', 'original_channels', 'target_channels', 'approved_aligned_start_seconds', 'approved_aligned_end_seconds', 'alignment_lag_seconds', 'actual_source_start_seconds', 'actual_source_end_seconds', 'decoded_duration_seconds', 'decoded_sample_count', 'feature_extraction_status', 'exclusion_reason', 'extraction_notes', 'rms_left', 'rms_right', 'rms_mean', 'crest_factor_left', 'crest_factor_right', 'crest_factor_mean', 'stereo_width', 'stereo_imbalance', 'bark_mid_01', 'bark_mid_02', 'bark_mid_03', 'bark_mid_04', 'bark_mid_05', 'bark_mid_06', 'bark_mid_07', 'bark_mid_08', 'bark_mid_09', 'bark_mid_10', 'bark_mid_11', 'bark_mid_12', 'bark_mid_13', 'bark_mid_14', 'bark_mid_15', 'bark_mid_16', 'bark_mid_17', 'bark_mid_18', 'bark_mid_19', 'bark_mid_20', 'bark_mid_21', 'bark_mid_22', 'bark_mid_23', 'bark_mid_24', 'bark_side_01', 'bark_side_02', 'bark_side_03', 'bark_side_04', 'bark_side_05', 'bark_side_06', 'bark_side_07', 'bark_side_08', 'bark_side_09', 'bark_side_10', 'bark_side_11', 'bark_side_12', 'bark_side_13', 'bark_side_14', 'bark_side_15', 'bark_side_16', 'bark_side_17', 'bark_side_18', 'bark_side_19', 'bark_side_20', 'bark_side_21', 'bark_side_22', 'bark_side_23', 'bark_side_24', 'distance_from_medoid', 'nearest_neighbour_distance', 'acoustic_outlier_score', 'stereo_imbalance_qc_only', 'stereo_imbalance_qc_flag', 'candidate_pool_selected', 'scaled_rms_mean', 'scaled_crest_factor_mean', 'scaled_stereo_width', 'combined_scalar_rms_mean', 'combined_scalar_crest_factor_mean', 'combined_scalar_stereo_width', 'bark_pc_01', 'bark_pc_02', 'bark_pc_03', 'bark_pc_04', 'bark_pc_05', 'bark_pc_06', 'bark_pc_07', 'bark_pc_08', 'bark_pc_09', 'combined_bark_pc_01', 'combined_bark_pc_02', 'combined_bark_pc_03', 'combined_bark_pc_04', 'combined_bark_pc_05', 'combined_bark_pc_06', 'combined_bark_pc_07', 'combined_bark_pc_08', 'combined_bark_pc_09']","Stage 4 within-song robust-scaled scalars, Bark PCA scores, and selection diagnostics."
bark_pca_scores,outputs\stimulus_selection\04_mix_selection_v2\tables\bark_pca_scores_v2.csv,True,92 rows x 14 columns,"['artist', 'song', 'original_dataset_filename', 'original_mix_name', 'mix_id', 'bark_pc_01', 'bark_pc_02', 'bark_pc_03', 'bark_pc_04', 'bark_pc_05', 'bark_pc_06', 'bark_pc_07', 'bark_pc_08', 'bark_pc_09']",Bark-only PCA score table produced during Stage 4 mix selection.
bark_pca_explained_variance,outputs\stimulus_selection\04_mix_selection_v2\tables\bark_pca_explained_variance_v2.csv,True,88 rows x 6 columns,"['artist', 'song', 'component', 'explained_variance_ratio', 'cumulative_explained_variance', 'retained']",Explained variance and retained-component flags for within-song Bark PCA.
bark_pca_loadings,outputs\stimulus_selection\04_mix_selection_v2\tables\bark_pca_loadings_v2.csv,True,4224 rows x 6 columns,"['artist', 'song', 'component', 'feature', 'loading', 'retained']","PCA loadings for Bark components, useful for interpretation but not participant modelling directly."
final_mix_selection_summary,outputs\stimulus_selection\04_mix_selection_v2\tables\acoustic_candidate_pool_summary.csv,True,4 rows x 13 columns,"['artist', 'song', 'retained_mix_count', 'candidate_pool_target', 'candidate_pool_actual', 'bark_pc_count', 'bark_variance_explained', 'medoid_original_name', 'minimum_pairwise_distance_within_pool', 'mean_pairwise_distance_within_pool', 'stereo_imbalance_flags_in_pool', 'unrated_mixes_in_pool', 'notes']",Corrected acoustic candidate-pool summary per song; legacy representative/contrast summaries are archived.
final_selected_mixes,outputs\stimulus_selection\09_current_frontend_integration\tables\current_frontend_stimuli.csv,True,12 rows x 15 columns,"['frontend_group', 'participant_excerpt', 'artist', 'song', 'source_song_id', 'active_category', 'rejected_category', 'slot', 'source_mix', 'internal_mix_id', 'stimulus_id', 'source_wav', 'frontend_wav', 'configuration_version', 'perceptual_approval_status']",Current active frontend-derived 12-stimulus inclusion list; perceptual approval pending.
