artist,song,mix_id,source_path,decoder_backend,soundfile_version,libsndfile_version,decoder_mp3_support,sample_rate,decoded_channels,decoded_frame_count,soundfile_info_frame_count,soundfile_info_frame_count_matches_decoded,soundfile_info_minus_decoded_frames,reported_duration_seconds,decoded_duration_from_frames_seconds,duration_frame_delta_seconds,full_waveform_decode_verified,decode_duration_consistent_with_report,notes
Fredy V,In The Meantime,mix_2eae3034bad8,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\PXL-S1.mp3,soundfile,0.14.0,1.2.2,true,44100,2,3263663,3263663,true,0,74.005964,74.005963719,0.000000000,true,true,full_decode_verified_from_sf_read
Fredy V,In The Meantime,mix_2d589c003982,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\PXL-S2.mp3,soundfile,0.14.0,1.2.2,true,44100,2,3263663,3263663,true,0,74.005964,74.005963719,0.000000000,true,true,full_decode_verified_from_sf_read
Fredy V,In The Meantime,mix_8137541fd01f,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\PXL-S3.mp3,soundfile,0.14.0,1.2.2,true,44100,2,3263663,3263663,true,0,74.005964,74.005963719,0.000000000,true,true,full_decode_verified_from_sf_read
Fredy V,In The Meantime,mix_67624d91340a,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\PXL-S4.mp3,soundfile,0.14.0,1.2.2,true,44100,2,3263663,3263663,true,0,74.005964,74.005963719,0.000000000,true,true,full_decode_verified_from_sf_read
Fredy V,In The Meantime,mix_54ac02ce9456,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\PXL-S5.mp3,soundfile,0.14.0,1.2.2,true,44100,2,3263663,3263663,true,0,74.005964,74.005963719,0.000000000,true,true,full_decode_verified_from_sf_read
Fredy V,In The Meantime,mix_f44b598b8cf8,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\PXL-S6.mp3,soundfile,0.14.0,1.2.2,true,44100,2,3263663,3263663,true,0,74.005964,74.005963719,0.000000000,true,true,full_decode_verified_from_sf_read
Fredy V,In The Meantime,mix_526612c31256,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\PXL-S7.mp3,soundfile,0.14.0,1.2.2,true,44100,2,3263663,3263663,true,0,74.005964,74.005963719,0.000000000,true,true,full_decode_verified_from_sf_read
Fredy V,In The Meantime,mix_13f0eed08780,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\QUT-A.mp3,soundfile,0.14.0,1.2.2,true,44100,2,3306240,3306240,true,0,74.971429,74.971428571,0.000000000,true,true,full_decode_verified_from_sf_read
Fredy V,In The Meantime,mix_c7bdcba64775,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\QUT-B.mp3,soundfile,0.14.0,1.2.2,true,44100,2,3306240,3306240,true,0,74.971429,74.971428571,0.000000000,true,true,full_decode_verified_from_sf_read
Fredy V,In The Meantime,mix_82d5489162f9,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\QUT-C.mp3,soundfile,0.14.0,1.2.2,true,44100,2,3306240,3306240,true,0,74.971429,74.971428571,0.000000000,true,true,full_decode_verified_from_sf_read
Fredy V,In The Meantime,mix_a31f439e1e87,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\QUT-G.mp3,soundfile,0.14.0,1.2.2,true,44100,2,3306240,3306240,true,0,74.971429,74.971428571,0.000000000,true,true,full_decode_verified_from_sf_read
Fredy V,In The Meantime,mix_2f518e7b8633,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\QUT-I.mp3,soundfile,0.14.0,1.2.2,true,44100,2,3306240,3306240,true,0,74.971429,74.971428571,0.000000000,true,true,full_decode_verified_from_sf_read
Fredy V,In The Meantime,mix_8187ac605f62,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\QUT-J.mp3,soundfile,0.14.0,1.2.2,true,44100,2,3306240,3306240,true,0,74.971429,74.971428571,0.000000000,true,true,full_decode_verified_from_sf_read
Fredy V,In The Meantime,mix_cdaef40f2b94,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\QUT-pro.mp3,soundfile,0.14.0,1.2.2,true,44100,2,3306240,3306240,true,0,74.971429,74.971428571,0.000000000,true,true,full_decode_verified_from_sf_read
Fredy V,In The Meantime,mix_3042da8a2eb5,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\UCP-A1.mp3,soundfile,0.14.0,1.2.2,true,44100,2,3308591,3308591,true,0,75.024739,75.024739229,0.000000000,true,true,full_decode_verified_from_sf_read
Fredy V,In The Meantime,mix_20a1372ac49d,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\UCP-A2.mp3,soundfile,0.14.0,1.2.2,true,44100,2,3308591,3308591,true,0,75.024739,75.024739229,0.000000000,true,true,full_decode_verified_from_sf_read
Fredy V,In The Meantime,mix_d58db5dccea3,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\UCP-A3.mp3,soundfile,0.14.0,1.2.2,true,44100,2,3308591,3308591,true,0,75.024739,75.024739229,0.000000000,true,true,full_decode_verified_from_sf_read
Fredy V,In The Meantime,mix_efdedc0a36e7,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\UCP-A4.mp3,soundfile,0.14.0,1.2.2,true,44100,2,3308591,3308591,true,0,75.024739,75.024739229,0.000000000,true,true,full_decode_verified_from_sf_read
Fredy V,In The Meantime,mix_e858d5cf22ea,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\UCP-A5.mp3,soundfile,0.14.0,1.2.2,true,44100,2,3308591,3308591,true,0,75.024739,75.024739229,0.000000000,true,true,full_decode_verified_from_sf_read
The DoneFors,Lead Me,mix_b5102e72a550,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\CNS-5.mp3,soundfile,0.14.0,1.2.2,true,44100,2,3528576,3528576,true,0,80.013061,80.013061224,0.000000000,true,true,full_decode_verified_from_sf_read
The DoneFors,Lead Me,mix_8617440e42f5,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\CNS-A.mp3,soundfile,0.14.0,1.2.2,true,44100,2,3528576,3528576,true,0,80.013061,80.013061224,0.000000000,true,true,full_decode_verified_from_sf_read
The DoneFors,Lead Me,mix_7734100f29f3,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\CNS-B.mp3,soundfile,0.14.0,1.2.2,true,44100,2,3528576,3528576,true,0,80.013061,80.013061224,0.000000000,true,true,full_decode_verified_from_sf_read
The DoneFors,Lead Me,mix_824f6c7e53d0,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\CNS-C.mp3,soundfile,0.14.0,1.2.2,true,44100,2,3528576,3528576,true,0,80.013061,80.013061224,0.000000000,true,true,full_decode_verified_from_sf_read
The DoneFors,Lead Me,mix_e81c71fd1462,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\CNS-D.mp3,soundfile,0.14.0,1.2.2,true,44100,2,3528576,3528576,true,0,80.013061,80.013061224,0.000000000,true,true,full_decode_verified_from_sf_read
The DoneFors,Lead Me,mix_8f1477339518,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\DU-A.mp3,soundfile,0.14.0,1.2.2,true,44100,2,3528623,3528623,true,0,80.014127,80.014126984,0.000000000,true,true,full_decode_verified_from_sf_read
The DoneFors,Lead Me,mix_7cdfb2503e88,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\DU-B.mp3,soundfile,0.14.0,1.2.2,true,44100,2,3528623,3528623,true,0,80.014127,80.014126984,0.000000000,true,true,full_decode_verified_from_sf_read
The DoneFors,Lead Me,mix_a321c1267965,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\DU-C.mp3,soundfile,0.14.0,1.2.2,true,44100,2,3528623,3528623,true,0,80.014127,80.014126984,0.000000000,true,true,full_decode_verified_from_sf_read
The DoneFors,Lead Me,mix_f1f7973e5bac,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\DU-D.mp3,soundfile,0.14.0,1.2.2,true,44100,2,3528623,3528623,true,0,80.014127,80.014126984,0.000000000,true,true,full_decode_verified_from_sf_read
The DoneFors,Lead Me,mix_271852ba8676,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\DU-E.mp3,soundfile,0.14.0,1.2.2,true,44100,2,3528623,3528623,true,0,80.014127,80.014126984,0.000000000,true,true,full_decode_verified_from_sf_read
The DoneFors,Lead Me,mix_3a41a8db47bc,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\DU-F.mp3,soundfile,0.14.0,1.2.2,true,44100,2,3528623,3528623,true,0,80.014127,80.014126984,0.000000000,true,true,full_decode_verified_from_sf_read
The DoneFors,Lead Me,mix_f5d86db961c3,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\DU-G.mp3,soundfile,0.14.0,1.2.2,true,44100,2,3528623,3528623,true,0,80.014127,80.014126984,0.000000000,true,true,full_decode_verified_from_sf_read
