artist,song,selected_original_candidate_rank,selected_aligned_start_seconds,selected_aligned_end_seconds,duration_seconds,boundary_shift_from_candidate_seconds,vocal_activity_coverage,bass_activity_coverage,drum_activity_coverage,other_instrument_activity_coverage,simultaneous_core_activity_coverage,cross_mix_variation_score,cross_mix_consistency,boundary_quality_score,alignment_score_summary,final_score,decision_confidence,selection_rationale,evidence_sources
The DoneFors,Lead Me,1,9.573107,37.573107,28.000000,-3.000000,0.973214,1.000000,1.000000,1.000000,0.973214,1.000000,min=0.717; median=0.856; max=1.000,1.000000,min=0.717; median=0.856; max=1.000,0.989286,0.907197,"source-aware score balances raw-track activity, simultaneous vocal/bass/drums coverage, cross-mix variation, boundary stability and alignment confidence",raw tracks: C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\audio\LeadMeRaw; mappings: 25 tracks; public aligned mixes: 37; source-reference alignment=0.783
Fredy V,In The Meantime,1,35.300431,63.300431,28.000000,0.500000,1.000000,0.928571,0.991071,1.000000,0.919643,1.000000,min=0.748; median=0.870; max=1.000,1.000000,min=0.748; median=0.870; max=1.000,0.972500,0.853055,"source-aware score balances raw-track activity, simultaneous vocal/bass/drums coverage, cross-mix variation, boundary stability and alignment confidence",raw tracks: C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\audio\InTheMeantimeRaw; mappings: 26 tracks; public aligned mixes: 36; source-reference alignment=0.544
Broken Crank,Red To Blue,4,3.005442,31.005442,28.000000,-2.000000,0.883929,0.937500,1.000000,0.758929,0.839286,1.000000,min=0.772; median=0.878; max=1.000,1.000000,min=0.772; median=0.878; max=1.000,0.911071,0.829669,"source-aware score balances raw-track activity, simultaneous vocal/bass/drums coverage, cross-mix variation, boundary stability and alignment confidence",raw tracks: C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\audio\RedToBlueStems\McG-A; mappings: 5 tracks; public aligned mixes: 10; source-reference alignment=0.608
The DoneFors,Pouring Room,2,23.020408,51.020408,28.000000,2.500000,0.758929,0.758929,0.419643,0.812500,0.348214,1.000000,min=0.718; median=0.849; max=1.000,0.825000,min=0.718; median=0.849; max=1.000,0.685714,0.739246,automatic proxy-based source-aware selection from aligned public mixes; no local stems/raw tracks found,"aligned public mix proxies for low-band, mid-band, onset/percussive and broad activity; no validated source stems found"
