artist,song,mix_id,institution,source_path,reference_mix_id,decoder_backend,original_sample_rate,decoded_channels,original_duration_seconds,estimated_lag_seconds,refined_lag_seconds,alignment_score,second_best_score,confidence_margin,alignment_confidence,aligned_start_seconds,aligned_end_seconds,usable_overlap_seconds,retained_for_excerpt_selection,exclusion_reason,notes,soundfile_version,libsndfile_version,decoder_mp3_support,decoded_frame_count,soundfile_info_frame_count,decoded_duration_from_frames_seconds,duration_frame_delta_seconds,full_waveform_decode_verified,decode_duration_consistent_with_report,decode_verification_notes,soundfile_info_frame_count_matches_decoded,soundfile_info_minus_decoded_frames
Fredy V,In The Meantime,mix_ce153583405d,McG,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\McG-F.mp3,mix_13f0eed08780,soundfile,48000,2,75.048000,-0.519456,-0.519456,0.786729,0.453370,0.333359,0.840046,0.519456,75.567456,75.048000,true,,,0.14.0,1.2.2,true,3602304,3606538,75.048000000,0.000000000,true,true,full_decode_verified_from_sf_read; soundfile_info_frame_estimate_differs_by_4234_frames,false,4234
Fredy V,In The Meantime,mix_c45aea9558f2,McG,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\McG-G.mp3,mix_13f0eed08780,soundfile,48000,2,75.048000,-0.529433,-0.529433,0.856023,0.462321,0.393702,0.892017,0.529433,75.577433,75.048000,true,,,0.14.0,1.2.2,true,3602304,3606538,75.048000000,0.000000000,true,true,full_decode_verified_from_sf_read; soundfile_info_frame_estimate_differs_by_4234_frames,false,4234
Fredy V,In The Meantime,mix_96c30e75e4a7,McG,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\McG-H.mp3,mix_13f0eed08780,soundfile,48000,2,75.048000,-0.529433,-0.529433,0.838139,0.486959,0.351181,0.878605,0.529433,75.577433,75.048000,true,,,0.14.0,1.2.2,true,3602304,3606538,75.048000000,0.000000000,true,true,full_decode_verified_from_sf_read; soundfile_info_frame_estimate_differs_by_4234_frames,false,4234
Fredy V,In The Meantime,mix_027ec3f8b8f1,McG,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\McG-pro.mp3,mix_13f0eed08780,soundfile,48000,2,75.048000,-0.519456,-0.519456,0.876764,0.482223,0.394541,0.907573,0.519456,75.567456,75.048000,true,,,0.14.0,1.2.2,true,3602304,3606544,75.048000000,0.000000000,true,true,full_decode_verified_from_sf_read; soundfile_info_frame_estimate_differs_by_4240_frames,false,4240
Fredy V,In The Meantime,mix_690c5c454a9f,McG,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\McG-pro2.mp3,mix_13f0eed08780,soundfile,48000,2,75.048000,-0.519456,-0.519456,0.876764,0.482223,0.394541,0.907573,0.519456,75.567456,75.048000,true,,,0.14.0,1.2.2,true,3602304,3606544,75.048000000,0.000000000,true,true,full_decode_verified_from_sf_read; soundfile_info_frame_estimate_differs_by_4240_frames,false,4240
Fredy V,In The Meantime,mix_2eae3034bad8,PXL,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\PXL-S1.mp3,mix_13f0eed08780,soundfile,44100,2,74.005964,-1.035465,-1.035465,0.679941,0.420846,0.259095,0.759956,1.035465,75.041429,74.005964,true,,duration_mismatch,0.14.0,1.2.2,true,3263663,3263663,74.005963719,0.000000000,true,true,full_decode_verified_from_sf_read,true,0
Fredy V,In The Meantime,mix_2d589c003982,PXL,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\PXL-S2.mp3,mix_13f0eed08780,soundfile,44100,2,74.005964,-1.035465,-1.035465,0.826531,0.470052,0.356479,0.869898,1.035465,75.041429,74.005964,true,,duration_mismatch,0.14.0,1.2.2,true,3263663,3263663,74.005963719,0.000000000,true,true,full_decode_verified_from_sf_read,true,0
Fredy V,In The Meantime,mix_8137541fd01f,PXL,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\PXL-S3.mp3,mix_13f0eed08780,soundfile,44100,2,74.005964,-1.050431,-1.050431,0.746901,0.460224,0.286677,0.810176,1.050431,75.056395,74.005964,true,,duration_mismatch,0.14.0,1.2.2,true,3263663,3263663,74.005963719,0.000000000,true,true,full_decode_verified_from_sf_read,true,0
Fredy V,In The Meantime,mix_67624d91340a,PXL,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\PXL-S4.mp3,mix_13f0eed08780,soundfile,44100,2,74.005964,-1.050431,-1.050431,0.750700,0.436522,0.314178,0.813025,1.050431,75.056395,74.005964,true,,duration_mismatch,0.14.0,1.2.2,true,3263663,3263663,74.005963719,0.000000000,true,true,full_decode_verified_from_sf_read,true,0
Fredy V,In The Meantime,mix_54ac02ce9456,PXL,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\PXL-S5.mp3,mix_13f0eed08780,soundfile,44100,2,74.005964,-1.050431,-1.050431,0.706434,0.456876,0.249559,0.779826,1.050431,75.056395,74.005964,true,,duration_mismatch,0.14.0,1.2.2,true,3263663,3263663,74.005963719,0.000000000,true,true,full_decode_verified_from_sf_read,true,0
