group,group_label,excerpt_id,song_id,song_title,participant_song_label,mix_slot,mix_id,stimulus_id,original_mix_name,selection_category,analytical_role,frontend_audio_path,feature_source_file,stereo_imbalance_qc_only,stereo_imbalance_qc_flag,rms_mean,crest_factor_mean,stereo_width,stereo_imbalance,feature_table_used,feature_evidence,technical_quality_status,confidence_level,manual_listening_confirmation_required,z_RMS,z_CF,z_SW,z_SI,z_SI_role
group_02,Group B,group_02_song_a_in_the_meantime,in_the_meantime,In The Meantime,Song A,mix_01,mix_c7bdcba64775,in_the_meantime_qut_b,QUT-B,Wide Ratings,range_broadening_rating_bridge,assets/audio/study-stimuli/main-study/group_02/song_a_in_the_meantime/qut_b.wav,outputs\stimulus_selection\04_mix_selection_v2\tables\processed_features_v2.csv,0.000562923552934,False,0.0560294315219,17.366355896,0.000543582602404,0.000562923552934,outputs/stimulus_selection/04_mix_selection_v2/tables/processed_features_v2.csv,Existing processed-feature table reused by Phase 2; no raw MST/Diff-MST extraction from WAVs in generate_five_mix_review.py.,REVIEW (alignment_review),medium-high,yes,-0.6698107538710293,-0.1978340618743536,-1.5468197375217057,0.0908009789400507,optional_qc_sensitivity_predictor
group_02,Group B,group_02_song_a_in_the_meantime,in_the_meantime,In The Meantime,Song A,mix_02,mix_302f0efe8a80,in_the_meantime_du_h,DU-H,Similar Ratings,similar_rating_subset,assets/audio/study-stimuli/main-study/group_02/song_a_in_the_meantime/du_h.wav,outputs\stimulus_selection\04_mix_selection_v2\tables\processed_features_v2.csv,0.0354086197913,False,0.0623472034931,18.601518631,0.0428314469755,0.0354086197913,outputs/stimulus_selection/04_mix_selection_v2/tables/processed_features_v2.csv,Existing processed-feature table reused by Phase 2; no raw MST/Diff-MST extraction from WAVs in generate_five_mix_review.py.,REVIEW (alignment_review),medium-high,yes,0.6887214233465396,0.2719152524959843,-0.8693704120952901,0.8234428342152216,optional_qc_sensitivity_predictor
group_02,Group B,group_02_song_a_in_the_meantime,in_the_meantime,In The Meantime,Song A,mix_03,mix_9baa86357fd4,in_the_meantime_du_i,DU-I,Similar Ratings,similar_rating_subset,assets/audio/study-stimuli/main-study/group_02/song_a_in_the_meantime/du_i.wav,outputs\stimulus_selection\04_mix_selection_v2\tables\processed_features_v2.csv,-0.0380811542273,False,0.0503131300211,22.9316368103,0.130904406309,-0.0380811542273,outputs/stimulus_selection/04_mix_selection_v2/tables/processed_features_v2.csv,Existing processed-feature table reused by Phase 2; no raw MST/Diff-MST extraction from WAVs in generate_five_mix_review.py.,REVIEW (alignment_review),medium-high,yes,-1.8990066727669184,1.9187185345499165,0.5415536857115313,-0.721703057329889,optional_qc_sensitivity_predictor
group_02,Group B,group_02_song_a_in_the_meantime,in_the_meantime,In The Meantime,Song A,mix_04,mix_56e65a3ce054,in_the_meantime_du_k,DU-K,Wide Ratings,range_broadening,assets/audio/study-stimuli/main-study/group_02/song_a_in_the_meantime/du_k.wav,outputs\stimulus_selection\04_mix_selection_v2\tables\processed_features_v2.csv,0.0170408543199,False,0.0539390221238,22.5979270935,0.15773075819,0.0170408543199,outputs/stimulus_selection/04_mix_selection_v2/tables/processed_features_v2.csv,Existing processed-feature table reused by Phase 2; no raw MST/Diff-MST extraction from WAVs in generate_five_mix_review.py.,REVIEW (near_clipped_samples|loudness_normalisation_review),medium-high,yes,-1.1193186569455127,1.7918041562064675,0.9713104079970216,0.4372547184671072,optional_qc_sensitivity_predictor
group_02,Group B,group_02_song_a_in_the_meantime,in_the_meantime,In The Meantime,Song A,mix_05,mix_cdaef40f2b94,in_the_meantime_qut_pro,QUT-pro,Similar Ratings,similar_rating_subset,assets/audio/study-stimuli/main-study/group_02/song_a_in_the_meantime/qut_pro.wav,outputs\stimulus_selection\04_mix_selection_v2\tables\processed_features_v2.csv,-0.0385963246226,False,0.0560023784637,14.1143035889,0.212649226189,-0.0385963246226,outputs/stimulus_selection/04_mix_selection_v2/tables/processed_features_v2.csv,Existing processed-feature table reused by Phase 2; no raw MST/Diff-MST extraction from WAVs in generate_five_mix_review.py.,REVIEW (alignment_review),medium-high,yes,-0.6756280657690176,-1.4346341192827423,1.8511013279434223,-0.7325346788768815,optional_qc_sensitivity_predictor
group_02,Group B,group_02_song_b_pouring_room,pouring_room,Pouring Room,Song B,mix_01,mix_0ba76f420c1d,pouring_room_mcg_r,McG-R,Similar Ratings,similar_rating_subset,assets/audio/study-stimuli/main-study/group_02/song_b_pouring_room/mcg_r.wav,outputs\stimulus_selection\04_mix_selection_v2\tables\processed_features_v2.csv,-0.0638295859098,False,0.060190629214,16.5152053833,0.14739459753,-0.0638295859098,outputs/stimulus_selection/04_mix_selection_v2/tables/processed_features_v2.csv,Existing processed-feature table reused by Phase 2; no raw MST/Diff-MST extraction from WAVs in generate_five_mix_review.py.,REVIEW (alignment_review),medium-high,yes,0.2249858589620197,-0.521538265731174,0.8057256670690561,-1.2630720295337683,optional_qc_sensitivity_predictor
group_02,Group B,group_02_song_b_pouring_room,pouring_room,Pouring Room,Song B,mix_02,mix_be2ccd4c43ff,pouring_room_mcg_t,McG-T,Similar Ratings,similar_rating_subset,assets/audio/study-stimuli/main-study/group_02/song_b_pouring_room/mcg_t.wav,outputs\stimulus_selection\04_mix_selection_v2\tables\processed_features_v2.csv,-0.0455747283995,False,0.0587656274438,20.841550827,0.217380493879,-0.0455747283995,outputs/stimulus_selection/04_mix_selection_v2/tables/processed_features_v2.csv,Existing processed-feature table reused by Phase 2; no raw MST/Diff-MST extraction from WAVs in generate_five_mix_review.py.,REVIEW (alignment_review),medium-high,yes,-0.0814371595061495,1.1238301932737935,1.926895983278192,-0.8792578396079359,optional_qc_sensitivity_predictor
group_02,Group B,group_02_song_b_pouring_room,pouring_room,Pouring Room,Song B,mix_03,mix_cbf8555ee2b2,pouring_room_mcg_x,McG-X,Similar Ratings,similar_rating_subset,assets/audio/study-stimuli/main-study/group_02/song_b_pouring_room/mcg_x.wav,outputs\stimulus_selection\04_mix_selection_v2\tables\processed_features_v2.csv,-0.0265915170312,False,0.0612343810499,19.9389343262,0.147577553988,-0.0265915170312,outputs/stimulus_selection/04_mix_selection_v2/tables/processed_features_v2.csv,Existing processed-feature table reused by Phase 2; no raw MST/Diff-MST extraction from WAVs in generate_five_mix_review.py.,REVIEW (alignment_review),medium-high,yes,0.4494273963527286,0.780552768870155,0.8086566197405122,-0.4801297779726206,optional_qc_sensitivity_predictor
group_02,Group B,group_02_song_b_pouring_room,pouring_room,Pouring Room,Song B,mix_04,mix_132e75f34470,pouring_room_mcg_pro1,McG-pro1,Wide Ratings,range_broadening,assets/audio/study-stimuli/main-study/group_02/song_b_pouring_room/mcg_pro1.wav,outputs\stimulus_selection\04_mix_selection_v2\tables\processed_features_v2.csv,-0.0488145165145,False,0.0646217316389,18.2459716797,0.0750391855836,-0.0488145165145,outputs/stimulus_selection/04_mix_selection_v2/tables/processed_features_v2.csv,Existing processed-feature table reused by Phase 2; no raw MST/Diff-MST extraction from WAVs in generate_five_mix_review.py.,REVIEW (alignment_review),medium-high,yes,1.177821012274786,0.1366958746221527,-0.3534041622732912,-0.9473754159948484,optional_qc_sensitivity_predictor
group_02,Group B,group_02_song_b_pouring_room,pouring_room,Pouring Room,Song B,mix_05,mix_e08faaf8bbb3,pouring_room_mcg_v,McG-V,Wide Ratings,range_broadening_rating_bridge,assets/audio/study-stimuli/main-study/group_02/song_b_pouring_room/mcg_v.wav,outputs\stimulus_selection\04_mix_selection_v2\tables\processed_features_v2.csv,-0.0483895651996,False,0.0600788630545,20.8109931946,0.0795278027654,-0.0483895651996,outputs/stimulus_selection/04_mix_selection_v2/tables/processed_features_v2.csv,Existing processed-feature table reused by Phase 2; no raw MST/Diff-MST extraction from WAVs in generate_five_mix_review.py.,REVIEW (alignment_review),medium-high,yes,0.2009523983216312,1.112208706920678,-0.2814967551013548,-0.938440679331238,optional_qc_sensitivity_predictor
