feature,range,iqr,population_sd,near_zero_variance,absolute_z_ge_3_count,restricted_range_flag,usable_for_modelling
rms_mean,0.022691994905499994,0.005308874882774997,0.004650439700397476,False,0,False,True
crest_factor_mean,9.1173048019,3.87760019305,2.629408276317844,False,0,False,True
stereo_width,0.216836911276596,0.1044795792548,0.06242218094538394,False,0,False,True
stereo_imbalance,0.1737605854868,0.07196997990832499,0.04756170561027859,False,0,False,True
