item,value
notebook,statistical-modeling/notebooks/acoustic_feature_extraction.ipynb
n_final_stimuli,20
feature_source,statistical-modeling\data\synthetic\final_5mix_stimulus_metadata_seed42.csv
strongest_pearson,"{""method"":""pearson"",""feature_a"":""z_RMS"",""feature_b"":""z_SW"",""correlation"":-0.2600869224,""abs_correlation"":0.2600869224,""flag"":""""}"
strongest_spearman,"{""method"":""spearman"",""feature_a"":""z_RMS"",""feature_b"":""z_SW"",""correlation"":-0.2766917293,""abs_correlation"":0.2766917293,""flag"":""""}"
bark_recommendation,exclude_from_primary_model
si_recommendation,sensitivity_only
primary_formula,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id)
sensitivity_formula,rating ~ episode + group + z_RMS + z_CF + z_SW + z_SI + (1 | participant_id) + (1 | stimulus_id)
