Model,Condition,Top-1 Accuracy,95% CI,Mean Spearman,MAE,RMSE
GPT-5.5,non_history,0.22727272727272727,"[0.174, 0.291]",-0.020824936936127334,29.767676767676768,35.74333306486482
GPT-5.5,personalised_history,0.3434343434343434,"[0.281, 0.412]",0.3250987693555631,21.747474747474747,30.224680529847014
Claude Sonnet 5,non_history,0.20707070707070707,"[0.156, 0.269]",-0.09153041690161741,29.902020202020203,35.25899842163656
Claude Sonnet 5,personalised_history,0.35858585858585856,"[0.295, 0.427]",0.24803263964439282,24.472727272727273,31.72705565611251
Llama 3.1 70B Instruct,non_history,0.2474747474747475,"[0.193, 0.312]",0.005746900673927717,30.43151515151515,36.56279253530558
Llama 3.1 70B Instruct,personalised_history,0.25757575757575757,"[0.202, 0.323]",0.03895885033254484,29.56222222222222,35.50268733604272
Centaur,non_history,0.2474747474747475,"[0.193, 0.312]",0.001963317723918036,N/A,N/A
Centaur,personalised_history,0.26262626262626265,"[0.206, 0.328]",0.013068311819521885,N/A,N/A
Mixed-effects primary acoustic,baseline,0.3434343434343434,"[0.281, 0.412]",0.3471627749498119,23.001028394865997,27.591188212475792
