method_key,model_key,model_label,condition,paired_examples,llm_accuracy,mixed_effects_accuracy,delta_top1_llm_minus_mixed,delta_top1_ci_low,delta_top1_ci_high,llm_correct_mixed_wrong,llm_wrong_mixed_correct,mcnemar_exact_p,delta_spearman_mean,delta_spearman_ci_low,delta_spearman_ci_high,delta_mae_llm_minus_mixed,delta_mae_ci_low,delta_mae_ci_high
gpt__non_history,gpt,GPT-5.5,non_history,198,0.22727272727272727,0.3434343434343434,-0.11616161616161616,-0.19696969696969696,-0.030303030303030304,19,42,0.004444019471066868,-0.36798771188593926,-0.4966066657121554,-0.24184453560465008,6.766648372810771,4.610277702936716,9.021494386959311
gpt__personalised_history,gpt,GPT-5.5,personalised_history,198,0.3434343434343434,0.3434343434343434,0.0,-0.09595959595959595,0.09595959595959595,34,34,1.0,-0.02206400559424884,-0.10629237459243585,0.06736520071495798,-1.2535536473912496,-3.984970533300541,1.0249472021343078
claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,198,0.20707070707070707,0.3434343434343434,-0.13636363636363635,-0.2222222222222222,-0.050505050505050504,20,47,0.0013071686857636005,-0.43869319185142935,-0.5867605885954054,-0.2868487378673993,6.900991807154205,4.852615450657114,8.913162873557605
claude_sonnet__personalised_history,claude_sonnet,Claude Sonnet 5,personalised_history,198,0.35858585858585856,0.3434343434343434,0.015151515151515138,-0.07575757575757576,0.1111111111111111,41,38,0.8221442424521855,-0.09913013530541911,-0.20229196912923436,0.005081599381274512,1.4716988778612756,-0.7959791466057667,3.446926738106428
llama_3_1_70b_instruct__non_history,llama_3_1_70b_instruct,Llama 3.1 70B Instruct,non_history,198,0.2474747474747475,0.3434343434343434,-0.09595959595959594,-0.1919191919191919,-0.005050505050505051,23,42,0.024811974571552164,-0.3414158742758842,-0.46275321051284163,-0.21867013385090678,7.430486756649154,5.367413298998526,9.627329259334848
llama_3_1_70b_instruct__personalised_history,llama_3_1_70b_instruct,Llama 3.1 70B Instruct,personalised_history,198,0.25757575757575757,0.3434343434343434,-0.08585858585858586,-0.20707070707070707,0.03535353535353535,33,50,0.07841962481580761,-0.3082039246172671,-0.44961552366485563,-0.17649270929163108,6.561193827356225,4.792009390051054,8.36760421894359
centaur__non_history,centaur,Centaur,non_history,198,0.2474747474747475,0.3434343434343434,-0.09595959595959594,-0.18181818181818182,-0.010101010101010102,23,42,0.024811974571552164,-0.3451994572258939,-0.4631995575965515,-0.2234451841775594,,,
centaur__personalised_history,centaur,Centaur,personalised_history,198,0.26262626262626265,0.3434343434343434,-0.08080808080808077,-0.16161616161616163,0.0,28,44,0.07636915467183139,-0.33409446313029006,-0.45216490332278975,-0.2078048432668329,,,
