artist,song,component,feature,loading,retained
Broken Crank,Red To Blue,bark_pc_02,bark_mid_23,0.0234119878784,true
Broken Crank,Red To Blue,bark_pc_02,bark_mid_24,0.0517251222698,true
Broken Crank,Red To Blue,bark_pc_02,bark_side_01,0.0154604577898,true
Broken Crank,Red To Blue,bark_pc_02,bark_side_02,0.0350422077158,true
Broken Crank,Red To Blue,bark_pc_02,bark_side_03,0.0239201140455,true
Broken Crank,Red To Blue,bark_pc_02,bark_side_04,0.00627074318129,true
Broken Crank,Red To Blue,bark_pc_02,bark_side_05,0.00163232178805,true
Broken Crank,Red To Blue,bark_pc_02,bark_side_06,0.0298769720895,true
Broken Crank,Red To Blue,bark_pc_02,bark_side_07,0.0373374060551,true
Broken Crank,Red To Blue,bark_pc_02,bark_side_08,0.0207430765315,true
Broken Crank,Red To Blue,bark_pc_02,bark_side_09,0.0196683470448,true
Broken Crank,Red To Blue,bark_pc_02,bark_side_10,0.016187331997,true
Broken Crank,Red To Blue,bark_pc_02,bark_side_11,0.0364237692924,true
Broken Crank,Red To Blue,bark_pc_02,bark_side_12,0.0429723722256,true
Broken Crank,Red To Blue,bark_pc_02,bark_side_13,0.0288905303554,true
Broken Crank,Red To Blue,bark_pc_02,bark_side_14,0.0270901208403,true
Broken Crank,Red To Blue,bark_pc_02,bark_side_15,0.0262068100062,true
Broken Crank,Red To Blue,bark_pc_02,bark_side_16,0.0373282855416,true
Broken Crank,Red To Blue,bark_pc_02,bark_side_17,0.0305081389024,true
Broken Crank,Red To Blue,bark_pc_02,bark_side_18,0.0345996393251,true
Broken Crank,Red To Blue,bark_pc_02,bark_side_19,0.0922484691204,true
Broken Crank,Red To Blue,bark_pc_02,bark_side_20,0.103712080668,true
Broken Crank,Red To Blue,bark_pc_02,bark_side_21,0.0822296649773,true
Broken Crank,Red To Blue,bark_pc_02,bark_side_22,0.0894884945521,true
Broken Crank,Red To Blue,bark_pc_02,bark_side_23,0.105308551731,true
Broken Crank,Red To Blue,bark_pc_02,bark_side_24,0.0557776558438,true
Broken Crank,Red To Blue,bark_pc_03,bark_mid_01,0.00572925374534,true
Broken Crank,Red To Blue,bark_pc_03,bark_mid_02,-0.0205425681498,true
Broken Crank,Red To Blue,bark_pc_03,bark_mid_03,0.0116722217028,true
Broken Crank,Red To Blue,bark_pc_03,bark_mid_04,0.0146883888736,true
Broken Crank,Red To Blue,bark_pc_03,bark_mid_05,0.109129805829,true
Broken Crank,Red To Blue,bark_pc_03,bark_mid_06,0.159806110127,true
Broken Crank,Red To Blue,bark_pc_03,bark_mid_07,0.406909592196,true
Broken Crank,Red To Blue,bark_pc_03,bark_mid_08,0.123734546959,true
Broken Crank,Red To Blue,bark_pc_03,bark_mid_09,-0.104931498141,true
Broken Crank,Red To Blue,bark_pc_03,bark_mid_10,-0.15575682741,true
Broken Crank,Red To Blue,bark_pc_03,bark_mid_11,-0.110582677433,true
