artist,song,mix_i,mix_i_original_name,mix_j,mix_j_original_name,combined_euclidean_distance,scalar_only_distance,bark_only_distance,rms_excluded_distance,manhattan_distance,near_duplicate_flag
Broken Crank,Red To Blue,mix_8978729ff911,McG-D,mix_b4b312ffa4d6,McG-G,2.53529929995,0.592417269168,2.46511344963,2.53485985871,4.56512678718,0
Broken Crank,Red To Blue,mix_8978729ff911,McG-D,mix_dcc6aef84d67,McG-F,2.42683208672,1.91419583747,1.49176682929,2.47404735155,6.13594177293,0
Broken Crank,Red To Blue,mix_8978729ff911,McG-D,mix_e2654ec905ad,McG-A,1.40760770597,0.687370038861,1.22836553338,1.41023342699,3.36259674623,0
Broken Crank,Red To Blue,mix_8978729ff911,McG-D,mix_f4f9bdec5b71,McG-E,1.6431346488,0.536522392703,1.55307282386,1.64732098879,3.45359468774,0
Broken Crank,Red To Blue,mix_906e7f7daf44,McG-pro,mix_b4b312ffa4d6,McG-G,2.10439877562,0.594739306367,2.01860827411,2.06925482438,4.5576131484,0
Broken Crank,Red To Blue,mix_906e7f7daf44,McG-pro,mix_dcc6aef84d67,McG-F,3.00983848936,2.25288209606,1.99590831284,3.04804358244,7.05499234465,0
Broken Crank,Red To Blue,mix_906e7f7daf44,McG-pro,mix_e2654ec905ad,McG-A,1.50858652104,0.893118368891,1.21580132859,1.33103371866,3.26639988439,0
Broken Crank,Red To Blue,mix_906e7f7daf44,McG-pro,mix_f4f9bdec5b71,McG-E,1.67457596096,0.816326200259,1.46212728029,1.61457624119,3.69191826561,0
Broken Crank,Red To Blue,mix_b4b312ffa4d6,McG-G,mix_dcc6aef84d67,McG-F,2.62709013065,1.83099372287,1.88389610684,2.67387680691,6.66622750325,0
Broken Crank,Red To Blue,mix_b4b312ffa4d6,McG-G,mix_e2654ec905ad,McG-A,1.68906711541,0.472346910964,1.62167694565,1.66056388612,3.45549871857,0
Broken Crank,Red To Blue,mix_b4b312ffa4d6,McG-G,mix_f4f9bdec5b71,McG-E,2.05051930401,0.798407046434,1.88869680053,2.06044927421,4.8895040879,0
Broken Crank,Red To Blue,mix_dcc6aef84d67,McG-F,mix_e2654ec905ad,McG-A,1.97257889429,1.78604446221,0.837324711915,1.99803160209,4.70606501287,0
Broken Crank,Red To Blue,mix_dcc6aef84d67,McG-F,mix_f4f9bdec5b71,McG-E,2.50260678251,2.38250094504,0.765982998989,2.58296230657,5.6051315405,0
Broken Crank,Red To Blue,mix_e2654ec905ad,McG-A,mix_f4f9bdec5b71,McG-E,1.16350401842,1.035998224,0.529574622454,1.17008983477,2.68580902142,0
Fredy V,In The Meantime,mix_027ec3f8b8f1,McG-pro,mix_13f0eed08780,QUT-A,1.62503073912,0.931014528739,1.33189220673,1.60487451724,4.10968570962,0
Fredy V,In The Meantime,mix_027ec3f8b8f1,McG-pro,mix_145577f61939,McG-C,1.30170061677,0.696319764834,1.09980147335,1.20074771514,3.38473975797,0
Fredy V,In The Meantime,mix_027ec3f8b8f1,McG-pro,mix_20a1372ac49d,UCP-A2,0.773457776397,0.34374319005,0.692876288498,0.757628021975,2.29202210253,0
Fredy V,In The Meantime,mix_027ec3f8b8f1,McG-pro,mix_22efc79c8253,DU-J,5.67534202599,5.53211129517,1.26698529189,5.8348980647,8.93192668861,0
Fredy V,In The Meantime,mix_027ec3f8b8f1,McG-pro,mix_29131e66c9d7,DU-N,1.59375382029,0.517631618071,1.50735156738,1.58489463988,4.4251753595,0
Fredy V,In The Meantime,mix_027ec3f8b8f1,McG-pro,mix_2d589c003982,PXL-S2,0.723360485168,0.228862262999,0.686201469015,0.69394393095,1.97419071569,0
Fredy V,In The Meantime,mix_027ec3f8b8f1,McG-pro,mix_2eae3034bad8,PXL-S1,1.3800123832,0.971364696226,0.980247318133,1.39876539609,3.36599349718,0
Fredy V,In The Meantime,mix_027ec3f8b8f1,McG-pro,mix_2f518e7b8633,QUT-I,0.841398491973,0.578233161375,0.611226499247,0.835298932568,2.40035287692,0
Fredy V,In The Meantime,mix_027ec3f8b8f1,McG-pro,mix_302f0efe8a80,DU-H,2.19598926698,1.11918216518,1.88939147395,2.05931198907,4.79050118585,0
Fredy V,In The Meantime,mix_027ec3f8b8f1,McG-pro,mix_3042da8a2eb5,UCP-A1,0.991077914451,0.451976464385,0.882016274314,0.993228730202,2.65813467674,0
Fredy V,In The Meantime,mix_027ec3f8b8f1,McG-pro,mix_526612c31256,PXL-S7,1.05928377983,0.546225157774,0.907590327859,1.06711505067,3.05855932585,0
Fredy V,In The Meantime,mix_027ec3f8b8f1,McG-pro,mix_5383540067d5,McG-B,1.02738632168,0.620810150873,0.818606993951,0.908547515586,2.7384216426,0
Fredy V,In The Meantime,mix_027ec3f8b8f1,McG-pro,mix_54ac02ce9456,PXL-S5,1.77892553018,0.692309914142,1.63868332044,1.74093005316,4.09765946372,0
Fredy V,In The Meantime,mix_027ec3f8b8f1,McG-pro,mix_561c0e17caee,DU-L,0.941581601312,0.204709482386,0.9190592689,0.941471204317,2.35464866386,0
Fredy V,In The Meantime,mix_027ec3f8b8f1,McG-pro,mix_56e65a3ce054,DU-K,2.06919033485,0.915246530942,1.85576734248,2.08100396588,5.39066675163,0
Fredy V,In The Meantime,mix_027ec3f8b8f1,McG-pro,mix_67624d91340a,PXL-S4,0.936782844981,0.341002827084,0.872513134899,0.938485786971,2.49893947793,0
Fredy V,In The Meantime,mix_027ec3f8b8f1,McG-pro,mix_690c5c454a9f,McG-pro2,3.40448045178e-16,0,3.40448045178e-16,3.40448045178e-16,8.50014503229e-16,true
Fredy V,In The Meantime,mix_027ec3f8b8f1,McG-pro,mix_6cfa655049d5,DU-M,1.30334973785,0.618637691256,1.14717389532,1.25930199746,3.46733287793,0
Fredy V,In The Meantime,mix_027ec3f8b8f1,McG-pro,mix_7a5719f17171,McG-E,1.13494895791,0.730028162626,0.869004038444,1.0623218588,3.21338038106,0
Fredy V,In The Meantime,mix_027ec3f8b8f1,McG-pro,mix_8137541fd01f,PXL-S3,1.43130197371,0.897242516668,1.1151597223,1.4243217726,3.96282374017,0
Fredy V,In The Meantime,mix_027ec3f8b8f1,McG-pro,mix_8187ac605f62,QUT-J,0.617171133535,0.348954805017,0.509048870075,0.596932373376,1.85345645157,1
Fredy V,In The Meantime,mix_027ec3f8b8f1,McG-pro,mix_82d5489162f9,QUT-C,1.75321038497,0.48815078645,1.68388107171,1.71740543891,4.62148732192,0
Fredy V,In The Meantime,mix_027ec3f8b8f1,McG-pro,mix_8ffed8205048,McG-A,1.31476811333,0.645023270909,1.14567018457,1.18306529881,3.46866497302,0
Fredy V,In The Meantime,mix_027ec3f8b8f1,McG-pro,mix_96c30e75e4a7,McG-H,0.590396731022,0.368926440855,0.460935549985,0.592054885335,1.69694572981,1
Fredy V,In The Meantime,mix_027ec3f8b8f1,McG-pro,mix_9baa86357fd4,DU-I,1.09255736752,0.703465345839,0.835953412897,1.06624528496,3.25892310884,0
Fredy V,In The Meantime,mix_027ec3f8b8f1,McG-pro,mix_a31f439e1e87,QUT-G,1.45271889028,0.86198372773,1.16934863377,1.43717249049,3.85536541065,0
Fredy V,In The Meantime,mix_027ec3f8b8f1,McG-pro,mix_c45aea9558f2,McG-G,1.18692109543,0.623681675373,1.00985288759,1.06488427217,3.04801795261,0
Fredy V,In The Meantime,mix_027ec3f8b8f1,McG-pro,mix_c7bdcba64775,QUT-B,4.1774280875,0.652562252297,4.1261444392,4.17413978107,6.66634435144,0
Fredy V,In The Meantime,mix_027ec3f8b8f1,McG-pro,mix_cdaef40f2b94,QUT-pro,1.63651497197,0.95884781405,1.32619460223,1.63756596559,4.5656541204,0
Fredy V,In The Meantime,mix_027ec3f8b8f1,McG-pro,mix_ce153583405d,McG-F,1.28731566343,0.809425001059,1.00100588658,1.28303557335,3.82692135146,0
Fredy V,In The Meantime,mix_027ec3f8b8f1,McG-pro,mix_d58db5dccea3,UCP-A3,1.17100691696,0.306238475885,1.13025448261,1.16591871604,2.78899988332,0
Fredy V,In The Meantime,mix_027ec3f8b8f1,McG-pro,mix_da9f94cae537,McG-D,1.07145184369,0.71200381135,0.800661992334,0.915519334543,2.98269188722,0
Fredy V,In The Meantime,mix_027ec3f8b8f1,McG-pro,mix_e858d5cf22ea,UCP-A5,1.08104148045,0.68063644603,0.839871841885,1.08215784868,2.76690519215,0
Fredy V,In The Meantime,mix_027ec3f8b8f1,McG-pro,mix_efdedc0a36e7,UCP-A4,1.10138565799,0.446844739972,1.00666784293,1.09617262332,3.05289615141,0
Fredy V,In The Meantime,mix_027ec3f8b8f1,McG-pro,mix_f44b598b8cf8,PXL-S6,1.07202901164,0.631194980838,0.866509721794,1.04390682908,2.83563060035,0
Fredy V,In The Meantime,mix_13f0eed08780,QUT-A,mix_145577f61939,McG-C,1.32323172042,1.16031081863,0.636098255062,1.34040015686,3.12168818534,0
Fredy V,In The Meantime,mix_13f0eed08780,QUT-A,mix_20a1372ac49d,UCP-A2,1.42728122654,1.09299540619,0.917874033664,1.44283880352,3.89225951198,0
Fredy V,In The Meantime,mix_13f0eed08780,QUT-A,mix_22efc79c8253,DU-J,6.1610881001,6.10876331248,0.801259863783,6.32594501462,9.37937552649,0
Fredy V,In The Meantime,mix_13f0eed08780,QUT-A,mix_29131e66c9d7,DU-N,1.59634694226,1.02309000019,1.2254021428,1.61059055266,4.50371929813,0
