parameter,mean,median,sd,hdi_3%,hdi_97%,mcse_mean,ess_bulk,ess_tail,r_hat,true_value,absolute_error,true_inside_hdi,posterior_sign_matches_true,model
z_RMS,3.969,3.977514922771303,0.681,2.71,5.26,0.02,1215.0,1557.0,1.0,2.6,1.3689999999999998,False,True,primary_feature
z_CF,-1.662,-1.6734694477163232,0.771,-3.06,-0.148,0.025,964.0,1292.0,1.01,-2.1,0.43800000000000017,True,True,primary_feature
z_SW,2.596,2.5847680374671542,0.76,1.143,4.046,0.027,810.0,1219.0,1.01,2.3,0.29600000000000026,True,True,primary_feature
z_RMS,4.022,4.026134178246599,0.736,2.692,5.423,0.023,1020.0,1549.0,1.0,2.6,1.4220000000000002,False,True,si_sensitivity
z_CF,-1.67,-1.6812186578474595,0.792,-3.148,-0.15,0.023,1151.0,1549.0,1.0,-2.1,0.43000000000000016,True,True,si_sensitivity
z_SW,2.603,2.5807137007781953,0.768,1.219,4.149,0.023,1092.0,1499.0,1.0,2.3,0.3030000000000004,True,True,si_sensitivity
z_SI,0.162,0.14797073738800054,0.81,-1.384,1.717,0.025,1054.0,1330.0,1.01,0.0,0.162,True,,si_sensitivity
