parameter,mean,median,sd,hdi_3%,hdi_97%,mcse_mean,ess_bulk,ess_tail,r_hat
Intercept,70.924,70.93360722578345,1.894,67.566,74.551,0.076,648.0,870.0,1.01
episode[EDR-2],-4.392,-4.394796392071755,0.636,-5.589,-3.192,0.011,3663.0,3188.0,1.0
episode[FM-1],-2.247,-2.240667780987723,0.634,-3.368,-1.026,0.01,3704.0,3072.0,1.0
group[group_02],-0.04,-0.03210093416213028,2.754,-4.964,5.185,0.106,680.0,972.0,1.0
z_RMS,4.022,4.026134178246599,0.736,2.692,5.423,0.023,1020.0,1549.0,1.0
z_CF,-1.67,-1.6812186578474595,0.792,-3.148,-0.15,0.023,1151.0,1549.0,1.0
z_SW,2.603,2.5807137007781953,0.768,1.219,4.149,0.023,1092.0,1499.0,1.0
z_SI,0.162,0.14797073738800054,0.81,-1.384,1.717,0.025,1054.0,1330.0,1.01
