factor,level,observed_mean,posterior_predictive_mean,hdi_3%,hdi_97%,absolute_error
episode,EDR-1,70.87106593801815,70.89361290226434,69.6805658674495,72.06838021348445,0.02254696424618885
episode,EDR-2,66.47785396665468,66.479120400957,65.3150491219949,67.65114897067589,0.001266434302323205
episode,FM-1,68.60566541601301,68.60893173177566,67.40192422782988,69.78857538350367,0.003266315762644467
group,group_01,69.13359712625645,69.1459366546655,68.1543025757258,70.12897246938132,0.01233952840905772
group,group_02,68.16945975420077,68.17517336866581,67.24143637935492,69.15493029540222,0.005713614465037153
stimulus_id,lead_me_mcg_pro2,76.13186947283008,76.21807939324638,73.28953395706006,79.22735916523979,0.0862099204163087
stimulus_id,lead_me_pxl_l4,71.62468081779656,71.70981206128899,68.72437919729455,74.70288594706774,0.08513124349242673
stimulus_id,lead_me_du_d,75.18014373493227,75.14545949290589,72.32907219231477,78.09841062921107,0.03468424202638687
stimulus_id,lead_me_du_e,60.462374433290684,60.67024931455856,57.61388803726259,63.54762324312761,0.2078748812678768
stimulus_id,lead_me_pxl_l1,67.3384814321113,67.09458362635733,64.37089167988485,70.29101513868014,0.24389780575396003
stimulus_id,id_like_to_know_pxl_s7,63.845193508133825,64.10361885759312,61.14630951013164,67.07861960466008,0.2584253494592943
stimulus_id,id_like_to_know_pxl_s2,72.73112699519272,72.4178833952368,69.52979490653155,75.32652900153194,0.3132435999559249
stimulus_id,id_like_to_know_pxl_s1,62.087010807660846,62.78024172134045,59.81225602620858,65.69434278221962,0.6932309136796064
stimulus_id,id_like_to_know_pxl_s5,73.60453284230526,72.88403548811822,69.83676901780433,75.941757769576,0.7204973541870459
stimulus_id,id_like_to_know_pxl_s3,68.33055721831096,68.43540319600935,65.20564865668274,71.3426693150521,0.10484597769838899
stimulus_id,in_the_meantime_du_h,71.01653386899783,70.58196460060105,67.56609460973749,73.55771657600249,0.43456926839677124
stimulus_id,in_the_meantime_qut_b,62.00084003831844,62.04881728782911,59.218731164079905,65.21780895962299,0.04797724951067295
stimulus_id,in_the_meantime_du_i,60.72214833150925,60.49814671478483,57.53083765994566,63.4256882667247,0.2240016167244221
stimulus_id,in_the_meantime_qut_pro,71.85365481950399,72.1249050540904,69.0988373900944,75.1599083972189,0.27125023458641806
stimulus_id,in_the_meantime_du_k,64.7815703145645,64.60986359984882,61.72168447480678,67.50484357177373,0.17170671471568255
stimulus_id,pouring_room_mcg_pro1,73.45426579340618,73.2605635071263,70.53136461537615,76.36167034197324,0.19370228627987274
stimulus_id,pouring_room_mcg_t,72.31521323005147,72.18420443998085,69.42051623092945,75.27205988880935,0.1310087900706236
stimulus_id,pouring_room_mcg_v,65.80744770132758,66.00793204229811,62.975067997391825,68.79362191784975,0.20048434097053303
stimulus_id,pouring_room_mcg_r,75.11182779910753,74.6480224504608,71.57278639527404,77.56614928309813,0.46380534864672995
stimulus_id,pouring_room_mcg_x,64.63109564522092,65.78731398963784,62.759105459543086,68.7888686752731,1.1562183444169136
