model,formula,role
stimulus_baseline,rating ~ episode + group + (1 | participant_id) + (1 | stimulus_id),Captures participant variation and unexplained stimulus identity variation.
feature_baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),Adds standardised acoustic associations while retaining residual stimulus partial pooling.
