model_name,formula,draws,tune,chains,target_accept,seed,sampler,runtime_seconds
intercept_only,rating ~ 1 + (1 | participant_id) + (1 | stimulus_id),1000,1000,4,0.95,20260817,bambi_pymc_nutpie,24.53182459998061
final_stimulus,rating ~ episode + group + (1 | participant_id) + (1 | stimulus_id),1000,1000,4,0.95,20260817,bambi_pymc_nutpie,20.077195799996844
