term,mean,sd,hdi_3,hdi_97,mcse,mcse_sd,ess_bulk,ess_tail,r_hat
Intercept,51.388,5.72,40.503,61.826,0.267,0.189,463.0,557.0,1.01
episode[EDR-2],2.147,2.269,-2.119,6.462,0.043,0.03,2769.0,2797.0,1.0
episode[FM-1],-6.292,2.2,-10.39,-2.144,0.041,0.029,2874.0,2828.0,1.0
group[group_02],6.868,7.735,-6.425,22.576,0.349,0.198,492.0,921.0,1.01
