model_name,divergences,max_rhat,min_bulk_ess,min_tail_ess,max_tree_depth,tree_depth_warnings,energy_warnings,runtime_seconds,sampler
intercept_only,0,1.01,463.0,695.0,,0,0,24.53182459998061,bambi_pymc_nutpie
final_stimulus,0,1.01,463.0,557.0,,0,0,20.077195799996844,bambi_pymc_nutpie
