term,mean,sd,hdi_3,hdi_97,mcse,mcse_sd,ess_bulk,ess_tail,r_hat
participant_variance,137.074,46.17,64.248,227.074,1.431,1.037,1001.0,1788.0,1.0
stimulus_variance,198.613,81.875,79.741,351.9,3.296,3.149,629.0,968.0,1.0
residual_variance,765.579,37.611,697.277,836.241,0.516,0.682,5473.0,2824.0,1.0
participant_ICC,0.124,0.037,0.061,0.195,0.001,0.001,893.0,1748.0,1.0
stimulus_ICC,0.177,0.057,0.084,0.287,0.002,0.002,583.0,941.0,1.0
residual_share,0.699,0.056,0.59,0.798,0.002,0.001,806.0,1132.0,1.0
