term,mean,sd,hdi_3,hdi_97,mcse,mcse_sd,ess_bulk,ess_tail,r_hat
1|participant_id_sigma,11.551,1.908,8.198,15.208,0.06,0.035,1001.0,1788.0,1.0
1|stimulus_id_sigma,13.83,2.708,9.029,18.839,0.11,0.074,629.0,968.0,1.0
sigma,27.661,0.678,26.406,28.918,0.009,0.012,5473.0,2824.0,1.0
