song_id,group,episode,stimulus_id,mix_id,observed_winner_credit,observed_winner_trials,tied_winner_rows,song_episode_trials,observed_winner_share_fractional_ties,comparison_scope
lead_me,group_01,FM-1,lead_me_du_d,mix_f1f7973e5bac,6.0,6,0,16,0.375,in-sample descriptive fit only
lead_me,group_01,FM-1,lead_me_mcg_pro2,mix_d3e3580b6e30,5.0,5,0,16,0.3125,in-sample descriptive fit only
lead_me,group_01,FM-1,lead_me_pxl_l1,mix_d5b28dfc8a93,2.0,2,0,16,0.125,in-sample descriptive fit only
lead_me,group_01,FM-1,lead_me_pxl_l4,mix_c7d9a071ba25,2.0,2,0,16,0.125,in-sample descriptive fit only
lead_me,group_01,FM-1,lead_me_du_e,mix_271852ba8676,1.0,1,0,16,0.0625,in-sample descriptive fit only
pouring_room,group_02,EDR-1,pouring_room_mcg_pro1,mix_132e75f34470,4.4,6,2,14,0.31428571428571433,in-sample descriptive fit only
pouring_room,group_02,EDR-1,pouring_room_mcg_r,mix_0ba76f420c1d,4.4,6,2,14,0.31428571428571433,in-sample descriptive fit only
pouring_room,group_02,EDR-1,pouring_room_mcg_v,mix_e08faaf8bbb3,4.4,6,2,14,0.31428571428571433,in-sample descriptive fit only
pouring_room,group_02,EDR-1,pouring_room_mcg_t,mix_be2ccd4c43ff,0.4,2,2,14,0.028571428571428574,in-sample descriptive fit only
pouring_room,group_02,EDR-1,pouring_room_mcg_x,mix_cbf8555ee2b2,0.4,2,2,14,0.028571428571428574,in-sample descriptive fit only
pouring_room,group_02,EDR-2,pouring_room_mcg_pro1,mix_132e75f34470,5.4,7,2,14,0.38571428571428573,in-sample descriptive fit only
pouring_room,group_02,EDR-2,pouring_room_mcg_r,mix_0ba76f420c1d,4.733333333333333,7,3,14,0.3380952380952381,in-sample descriptive fit only
pouring_room,group_02,EDR-2,pouring_room_mcg_t,mix_be2ccd4c43ff,1.7333333333333334,4,3,14,0.12380952380952381,in-sample descriptive fit only
pouring_room,group_02,EDR-2,pouring_room_mcg_x,mix_cbf8555ee2b2,1.4,3,2,14,0.09999999999999999,in-sample descriptive fit only
pouring_room,group_02,EDR-2,pouring_room_mcg_v,mix_e08faaf8bbb3,0.7333333333333334,3,3,14,0.05238095238095238,in-sample descriptive fit only
pouring_room,group_02,FM-1,pouring_room_mcg_x,mix_cbf8555ee2b2,5.4,7,2,14,0.38571428571428573,in-sample descriptive fit only
pouring_room,group_02,FM-1,pouring_room_mcg_r,mix_0ba76f420c1d,3.4,5,2,14,0.24285714285714285,in-sample descriptive fit only
pouring_room,group_02,FM-1,pouring_room_mcg_pro1,mix_132e75f34470,2.4,4,2,14,0.17142857142857143,in-sample descriptive fit only
pouring_room,group_02,FM-1,pouring_room_mcg_v,mix_e08faaf8bbb3,2.4,4,2,14,0.17142857142857143,in-sample descriptive fit only
pouring_room,group_02,FM-1,pouring_room_mcg_t,mix_be2ccd4c43ff,0.4,2,2,14,0.028571428571428574,in-sample descriptive fit only
