summary_type,level,mean,median,sd,hdi_3,hdi_97,probability_above_zero,probability_below_zero
episode_contrast,EDR-2 minus EDR-1,2.1470893322571483,2.1706735576834895,2.269432883708112,-2.1191808672036814,6.462407750988447,0.82175,0.17825
episode_contrast,FM-1 minus EDR-1,-6.291554311183829,-6.276671117606021,2.1998059749713605,-10.38962012459941,-2.1440475089993924,0.002,0.998
episode_contrast,FM-1 minus EDR-2,-8.438643643440978,-8.45662308972528,2.266709825166085,-12.507464450042804,-4.097230988216708,0.0,1.0
