group,episode,song_id,stimulus_id,mix_id,mean,median,sd,hdi_3,hdi_97,probability_above_zero,probability_below_zero
group_01,EDR-1,id_like_to_know,id_like_to_know_pxl_s1,mix_9ffcd672af17,50.781492548404565,50.69260945952228,5.024594018922666,41.260777050788064,59.89884686813052,1.0,0.0
group_01,EDR-1,id_like_to_know,id_like_to_know_pxl_s2,mix_6f8b655d7999,61.416667800901024,61.41196473181622,4.872763967475356,52.4028372729967,70.80484032680907,1.0,0.0
group_01,EDR-1,id_like_to_know,id_like_to_know_pxl_s3,mix_65f41f41d3ab,56.60908766946527,56.62762688663082,4.867825128007152,47.43805445664634,65.61920913008603,1.0,0.0
group_01,EDR-1,id_like_to_know,id_like_to_know_pxl_s5,mix_82d60d7c7fc5,45.45426113881999,45.35272926430095,4.894738396270003,36.22738338134535,54.64894261849198,1.0,0.0
group_01,EDR-1,id_like_to_know,id_like_to_know_pxl_s7,mix_b393d3919c78,52.18325247830936,52.21221349763271,4.820300397382775,42.890504796317174,61.21222535264981,1.0,0.0
group_01,EDR-1,lead_me,lead_me_du_d,mix_f1f7973e5bac,53.500975631331414,53.56836730155276,4.948585422062061,44.36217729540874,63.04818739349807,1.0,0.0
group_01,EDR-1,lead_me,lead_me_du_e,mix_271852ba8676,37.68585907545246,37.699849445666615,4.885200274091965,28.51962743752917,46.774445847281214,1.0,0.0
group_01,EDR-1,lead_me,lead_me_mcg_pro2,mix_d3e3580b6e30,60.11412018689129,60.11724230072429,4.903954408981255,50.44671598964889,69.04879222320471,1.0,0.0
group_01,EDR-1,lead_me,lead_me_pxl_l1,mix_d5b28dfc8a93,47.26064825980736,47.23843854339081,4.919245311674845,37.74209349447099,56.001088201393785,1.0,0.0
group_01,EDR-1,lead_me,lead_me_pxl_l4,mix_c7d9a071ba25,49.20118176548203,49.184757426156224,4.895071892698734,39.854354181217886,58.244284127105935,1.0,0.0
group_01,EDR-2,id_like_to_know,id_like_to_know_pxl_s1,mix_9ffcd672af17,52.92858188066172,52.88370108461554,5.035700698070536,43.58863186452533,62.22962756680086,1.0,0.0
group_01,EDR-2,id_like_to_know,id_like_to_know_pxl_s2,mix_6f8b655d7999,63.56375713315817,63.55564430896392,4.903082944570152,54.675571004779506,73.16009804161342,1.0,0.0
group_01,EDR-2,id_like_to_know,id_like_to_know_pxl_s3,mix_65f41f41d3ab,58.75617700172242,58.807908946072686,4.901612146371836,49.0994332983948,67.50668204900197,1.0,0.0
group_01,EDR-2,id_like_to_know,id_like_to_know_pxl_s5,mix_82d60d7c7fc5,47.60135047107715,47.53160967946005,4.922491139191322,38.13515661712072,56.92443866606602,1.0,0.0
group_01,EDR-2,id_like_to_know,id_like_to_know_pxl_s7,mix_b393d3919c78,54.3303418105665,54.34397109274085,4.815925251261318,45.501554012009834,63.63368570644294,1.0,0.0
group_01,EDR-2,lead_me,lead_me_du_d,mix_f1f7973e5bac,55.64806496358857,55.72043835523593,4.963182784246248,45.87641424238589,64.36141896506271,1.0,0.0
group_01,EDR-2,lead_me,lead_me_du_e,mix_271852ba8676,39.832948407709615,39.87485465397755,4.88188836806554,30.39747619469399,48.90707917765657,1.0,0.0
group_01,EDR-2,lead_me,lead_me_mcg_pro2,mix_d3e3580b6e30,62.26120951914843,62.36283213593528,4.982400269883929,52.987044200096975,71.78405181231919,1.0,0.0
group_01,EDR-2,lead_me,lead_me_pxl_l1,mix_d5b28dfc8a93,49.40773759206451,49.44179330170386,4.940770751980604,40.04389241206185,58.72327054232166,1.0,0.0
group_01,EDR-2,lead_me,lead_me_pxl_l4,mix_c7d9a071ba25,51.348271097739186,51.406926269610906,4.930247097976187,42.24588119567396,60.853617892389266,1.0,0.0
group_01,FM-1,id_like_to_know,id_like_to_know_pxl_s1,mix_9ffcd672af17,44.48993823722075,44.449372485081035,5.034337739642588,35.45405729576632,54.1118640325698,1.0,0.0
