segment_id,rank,candidate_mix,standardised_multivariate_distance,scalar_screen_distance,mono_waveform_corr,side_mid_diff_db,stereo_imbalance_diff_db,crest_diff_db,alignment_offset_ms,alignment_corr,peak_dbfs,is_main_study_mix,recommendation_score
prestudy_segment_01_42_48s,1,DU-M,13.192948352545816,1.567372494987038,0.31371397805473666,0.7620971254382383,0.295421002157841,1.4630566393551803,-0.18140589569160998,0.3137139678001404,-6.628830137110708,False,0.530711308502473
prestudy_segment_01_42_48s,2,UCP-A2,13.699219081920234,1.5928834677116692,0.22308455688551543,0.46716449151909956,0.38618032609619635,0.1715988243995099,-0.18140589569160998,0.22308450937271118,-4.994174129779892,False,0.9648389260100528
prestudy_segment_01_42_48s,3,UCP-A1,12.23705367260129,1.7932039948407044,0.2889675327278501,1.1810187001102808,0.30159004894820124,0.08478233267245017,-0.18140589569160998,0.28896746039390564,-5.08099116508308,False,1.1155801083056964
prestudy_segment_01_42_48s,4,UCP-A4,12.881815364442579,1.265470473878137,0.27510209343376546,3.5210534837160363,0.407060941424444,2.654150464795851,-0.18140589569160998,0.2751021683216095,-7.819922331823099,False,1.1918136121918579
prestudy_segment_01_42_48s,5,UCP-A5,15.020998099831793,0.7770181632720053,0.11971024018898789,1.424587402420153,0.09104138347861435,1.6834924580398685,15.78231292517007,0.11971023678779602,-6.849263781491093,False,2.5207198075207637
prestudy_segment_01_42_48s,6,PXL-S6,10.289716669006625,1.7093986159118004,0.3085221006409058,0.296067586756088,0.1633852446680545,1.0323766788666155,-0.18140589569160998,0.3085220754146576,-4.133395731736692,False,2.7725549131236775
prestudy_segment_01_42_48s,7,DU-N,10.423109218780052,3.041161386030407,0.5519169440681886,1.192412181786942,0.34815432093682036,2.145620379120075,-0.18140589569160998,0.5519169569015503,-7.3113917025712984,True,3.091324175587884
prestudy_segment_01_42_48s,8,DU-K,14.678271862507014,2.243641635247786,0.11286689703305555,5.338641378622025,0.0741223416828436,4.581617597903392,-8.16326530612245,0.11286687850952148,-0.584154812699918,True,3.4991643355333073
prestudy_segment_01_42_48s,9,McG-C,9.235088857950926,0.9087472552277079,0.10276845403019795,1.582597900488567,0.2977790356466017,0.8025864837707708,23.764172335600907,0.10276840627193451,-5.9683599815263,False,4.237332700675259
prestudy_segment_01_42_48s,10,UCP-A3,15.93347384965392,0.7822352094773793,0.1276480831547663,4.59263686816346,0.6058379577540012,0.7748334270106128,15.78231292517007,0.1276480257511139,-5.94060692476614,False,4.476273780435452
prestudy_segment_02_54_60s,1,UCP-A1,13.719760642150774,1.5045428964111414,0.26464284337843624,0.7735900873509891,0.3249715263423928,0.5808112465691657,-0.18140589569160998,0.2646428942680359,-4.558431229376044,False,0.3915316278555101
prestudy_segment_02_54_60s,2,DU-M,12.900221016424082,1.7809220497329323,0.3427141913100613,0.6633471129959307,0.31815726799101546,1.012758118620198,-0.18140589569160998,0.3427141308784485,-6.151998694862173,False,0.9748523409552718
prestudy_segment_02_54_60s,3,UCP-A4,13.086617809106153,1.2908831871760218,0.27018620965454354,2.95006475545809,0.488020654440749,2.8817197714238247,-0.18140589569160998,0.27018630504608154,-8.020963197220812,False,1.5050462505728002
prestudy_segment_02_54_60s,4,McG-H,15.138709517567978,1.0999673860747143,0.12446287879766518,0.3873570261631958,0.5686926897429883,0.8481238343336166,7.800453514739229,0.12446291744709015,-4.291118641611596,False,1.7384803943284832
prestudy_segment_02_54_60s,5,DU-K,13.495405693465036,2.4346754027916626,0.1445738962654611,5.831665697066541,0.12123555683511261,4.827726751741711,-8.16326530612245,0.14457394182682037,-0.3115138245002631,True,2.044717331127438
prestudy_segment_02_54_60s,6,UCP-A5,15.205618171811615,0.8741260209658293,0.1001138703134622,1.9784785428591505,0.1336247439626116,1.0618277903675057,15.78231292517007,0.1001138910651207,-6.201069316461046,False,2.204413273340439
prestudy_segment_02_54_60s,7,UCP-A2,15.839418837225915,1.4412139258610794,0.22103808788789775,0.07183304408471969,0.541212285381633,0.565445581569687,-0.18140589569160998,0.2210381180047989,-4.573797844227301,False,2.3395860465778338
prestudy_segment_02_54_60s,8,PXL-S6,11.177919097126905,1.8516246473779208,0.3041795016917165,0.7427047267693325,0.391849656655937,0.15243241008847264,-0.18140589569160998,0.30417948961257935,-5.291673936182013,False,2.734226174344155
prestudy_segment_02_54_60s,9,DU-N,11.336801767498308,3.124313848480699,0.560748656474448,0.8543689442452358,0.28320839543414733,2.459180370382363,-0.18140589569160998,0.5607487559318542,-7.598421896475903,True,2.7392873421956008
prestudy_segment_02_54_60s,10,McG-D,15.472426362326905,0.9063379373949176,0.10208556925495274,5.1956065647830645,0.5411894824967423,2.697490219379734,7.800453514739229,0.10208557546138763,-2.4417522565654775,False,3.5097215233690457
