segment_id,mix,role,pca1,pca2,standardised_multivariate_distance
prestudy_segment_01_42_48s,DU-H,reference,-9.590559057416495,-5.535291356833578,
prestudy_segment_01_42_48s,DU-I,candidate,8.418990322081985,-5.2965389681955095,19.14263526433666
prestudy_segment_01_42_48s,DU-K,candidate,-5.113420137094069,5.287934958692485,14.678271862507014
prestudy_segment_01_42_48s,DU-L,candidate,5.9413042891124075,-0.6926688773943096,17.823916877460697
prestudy_segment_01_42_48s,DU-M,candidate,-2.3702633662635937,3.7707519116212875,13.192948352545816
prestudy_segment_01_42_48s,DU-N,candidate,-4.092087310599471,-1.8123395907484172,10.423109218780052
prestudy_segment_01_42_48s,McG-B,candidate,5.093269305571779,0.3232357334790854,16.14454572186066
prestudy_segment_01_42_48s,McG-C,candidate,-3.5043742337245156,-0.5037937220578234,9.235088857950926
prestudy_segment_01_42_48s,PXL-S6,candidate,-1.00978790971904,-2.865035944944736,10.289716669006625
prestudy_segment_01_42_48s,UCP-A1,candidate,-0.5857634840236678,-0.9671734275814386,12.23705367260129
prestudy_segment_01_42_48s,UCP-A2,candidate,1.3388573154804286,0.159768715814219,13.699219081920234
prestudy_segment_01_42_48s,UCP-A3,candidate,3.1519062091863304,3.4216734984648256,15.93347384965392
prestudy_segment_01_42_48s,UCP-A4,candidate,0.7470370045480396,1.335805590929025,12.881815364442579
prestudy_segment_01_42_48s,UCP-A5,candidate,1.5748910528598874,3.3736714787548863,15.020998099831793
prestudy_segment_02_54_60s,DU-H,reference,-10.3302475366355,-5.730566708521633,
prestudy_segment_02_54_60s,DU-I,candidate,7.713928130942538,-4.477607267372955,19.34377928328306
prestudy_segment_02_54_60s,DU-K,candidate,-7.146707274484922,2.3778371088528734,13.495405693465036
prestudy_segment_02_54_60s,DU-L,candidate,5.693461467628201,-0.22679876589455644,18.557690564573758
prestudy_segment_02_54_60s,DU-M,candidate,-3.91514165465053,3.9733270395227183,12.900221016424082
prestudy_segment_02_54_60s,DU-N,candidate,-6.364395032281858,0.6908508177143398,11.336801767498308
prestudy_segment_02_54_60s,McG-B,candidate,3.8495021041473523,0.7700649387692683,15.951244735831033
prestudy_segment_02_54_60s,McG-D,candidate,3.505653316740267,-0.1785791823392173,15.472426362326905
prestudy_segment_02_54_60s,McG-H,candidate,2.191783633373763,-1.8151294871544292,15.138709517567978
prestudy_segment_02_54_60s,PXL-S6,candidate,-1.01587707728741,-3.295125382072244,11.177919097126905
prestudy_segment_02_54_60s,UCP-A1,candidate,0.2150390130762012,-1.2860866026510753,13.719760642150774
prestudy_segment_02_54_60s,UCP-A2,candidate,2.5932618986991405,0.37270439376304537,15.839418837225915
prestudy_segment_02_54_60s,UCP-A3,candidate,1.9581962892435238,3.989241628551052,16.039886435194422
prestudy_segment_02_54_60s,UCP-A4,candidate,0.06685189385294359,1.5157184416816212,13.086617809106153
prestudy_segment_02_54_60s,UCP-A5,candidate,0.9846908276362821,3.3201490271511953,15.205618171811615
