model,divergences,max_rhat,min_bulk_ess,min_tail_ess,max_treedepth_warnings,min_bfmi
intercept_only,0,1.01,361.0,725.0,0,0.5806642004956757
additive_stimulus,0,1.02,275.0,523.0,0,0.6457919241436011
