parameter,mean,median,sd,hdi_3%,hdi_97%,mcse_mean,ess_bulk,ess_tail,r_hat,true_value,absolute_error,true_inside_hdi
Intercept,70.71,70.72886381257516,1.959,67.203,74.497,0.107,334.0,839.0,1.01,68.0,2.7099999999999937,True
episode[EDR-2],-2.982,-2.9728575769981918,0.715,-4.233,-1.565,0.013,3120.0,2771.0,1.0,-3.5,0.5179999999999998,True
episode[FM-1],-0.325,-0.30529889669917154,0.725,-1.724,0.957,0.013,3194.0,3191.0,1.0,-1.0,0.675,True
group[group_02],-3.828,-3.877924505276609,2.519,-8.832,0.79,0.152,275.0,523.0,1.01,1.5,5.327999999999999,False
