parameter,mean,median,sd,hdi_3%,hdi_97%
participant_ICC,0.2803799662989799,0.27608975075820286,0.05238269856150814,0.18665211644351207,0.38123648778697805
stimulus_ICC,0.07531922377849311,0.0702494713556068,0.02909759960125116,0.029816235953290735,0.1321553875031963
residual_share,0.644300809922527,0.6487605022882839,0.05212456289192389,0.544711897410821,0.7370304588542075
