song,bark_channel,bark_band,column,count,mean,standard_deviation
Fredy V - In The Meantime,mid,18,bark_mid_18,36,7.7818125089,0.212609381983
Fredy V - In The Meantime,mid,19,bark_mid_19,36,8.12254807684,0.240204043676
Fredy V - In The Meantime,mid,20,bark_mid_20,36,8.11581925551,0.279353155939
Fredy V - In The Meantime,mid,21,bark_mid_21,36,8.08945850531,0.321992040512
Fredy V - In The Meantime,mid,22,bark_mid_22,36,8.19828111596,0.378683966344
Fredy V - In The Meantime,mid,23,bark_mid_23,36,8.07088854578,0.479538202411
Fredy V - In The Meantime,mid,24,bark_mid_24,36,6.71642536587,0.765721911815
Fredy V - In The Meantime,side,1,bark_side_01,36,5.7111174994,0.784394610102
Fredy V - In The Meantime,side,2,bark_side_02,36,6.41187515524,0.5893730919
Fredy V - In The Meantime,side,3,bark_side_03,36,6.39540139834,0.485116370886
Fredy V - In The Meantime,side,4,bark_side_04,36,6.28295469284,0.442036721702
Fredy V - In The Meantime,side,5,bark_side_05,36,6.27764442232,0.42824228135
Fredy V - In The Meantime,side,6,bark_side_06,36,6.34973229302,0.449018081587
Fredy V - In The Meantime,side,7,bark_side_07,36,6.419565373,0.475226695312
Fredy V - In The Meantime,side,8,bark_side_08,36,6.59234378073,0.501320229063
Fredy V - In The Meantime,side,9,bark_side_09,36,6.76627198855,0.555372979004
Fredy V - In The Meantime,side,10,bark_side_10,36,6.59402351909,0.475989072696
Fredy V - In The Meantime,side,11,bark_side_11,36,6.42514234119,0.477728192713
Fredy V - In The Meantime,side,12,bark_side_12,36,6.20655915472,0.444599919614
Fredy V - In The Meantime,side,13,bark_side_13,36,6.24910538726,0.448230213036
Fredy V - In The Meantime,side,14,bark_side_14,36,6.16568117672,0.404271608212
Fredy V - In The Meantime,side,15,bark_side_15,36,6.26974003845,0.435110634912
Fredy V - In The Meantime,side,16,bark_side_16,36,6.35519333681,0.464232583835
Fredy V - In The Meantime,side,17,bark_side_17,36,6.54589588112,0.482977731077
Fredy V - In The Meantime,side,18,bark_side_18,36,6.60912280613,0.498821646735
Fredy V - In The Meantime,side,19,bark_side_19,36,6.96066115962,0.515920840982
Fredy V - In The Meantime,side,20,bark_side_20,36,6.95861710442,0.543170266757
Fredy V - In The Meantime,side,21,bark_side_21,36,6.95629109277,0.600466150711
Fredy V - In The Meantime,side,22,bark_side_22,36,7.11413966285,0.711932455348
Fredy V - In The Meantime,side,23,bark_side_23,36,7.08930657307,0.904706968112
Fredy V - In The Meantime,side,24,bark_side_24,36,5.73743497001,1.31134601131
The DoneFors - Lead Me,mid,1,bark_mid_01,37,8.60428723773,0.301418549429
The DoneFors - Lead Me,mid,2,bark_mid_02,37,8.38735293053,0.208571207411
The DoneFors - Lead Me,mid,3,bark_mid_03,37,7.89459278777,0.143565138401
The DoneFors - Lead Me,mid,4,bark_mid_04,37,7.54805974703,0.220037273999
The DoneFors - Lead Me,mid,5,bark_mid_05,37,7.88195125477,0.17803498701
The DoneFors - Lead Me,mid,6,bark_mid_06,37,7.73947393572,0.170866889867
The DoneFors - Lead Me,mid,7,bark_mid_07,37,7.46271691451,0.148383689178
The DoneFors - Lead Me,mid,8,bark_mid_08,37,7.37337934649,0.169389754618
