song,feature,count,mean,standard_deviation,minimum,percentile_25,median,percentile_75,maximum,iqr
Broken Crank - Red To Blue,rms_left,10,0.0481552217156,0.00375315042246,0.0425793379545,0.0443902602419,0.0495290234685,0.0513786608353,0.052255127579,0.0069884005934
Broken Crank - Red To Blue,rms_right,10,0.0488481476903,0.00324067854511,0.0435291752219,0.0482407258823,0.0493030492217,0.0504133841023,0.0530042499304,0.0021726582199
Broken Crank - Red To Blue,rms_mean,10,0.0485016848892,0.00324604282291,0.0437414124608,0.0461302995682,0.0489511303604,0.0507879462094,0.0524239987135,0.00465764664115
Broken Crank - Red To Blue,crest_factor_left,10,15.9004089355,1.15011669191,14.3211317062,15.4014053345,15.6831221581,16.2363491058,18.4334812164,0.8349437713
Broken Crank - Red To Blue,crest_factor_right,10,15.7605003357,0.951852842476,14.0399637222,15.1556913853,16.0988178253,16.5216503144,16.80534935,1.36595892908
Broken Crank - Red To Blue,crest_factor_mean,10,15.8304546356,0.934065688744,14.4258899689,15.5014309883,15.9809007645,16.1965475082,17.6194152832,0.695116519925
Broken Crank - Red To Blue,stereo_width,10,0.0960128184408,0.0662522297825,0.0225380174816,0.0566343562677,0.0925892367959,0.115516869351,0.249741911888,0.0588825130835
Broken Crank - Red To Blue,stereo_imbalance,10,0.0149401640286,0.0561149418011,-0.049148414284,-0.0100495459046,-0.00363032508176,0.0215078686597,0.126785472035,0.0315574145643
Fredy V - In The Meantime,rms_left,36,0.0557603063062,0.00442394535381,0.0351480692625,0.0547592760995,0.0559861753136,0.0578683456406,0.0612430460751,0.00310906954108
Fredy V - In The Meantime,rms_right,36,0.0557784218755,0.00379716620167,0.0493547916412,0.0536917224526,0.0553407296538,0.0575463129207,0.0698106661439,0.0038545904681
Fredy V - In The Meantime,rms_mean,36,0.0557693637287,0.00270866742981,0.0503131300211,0.0539336726069,0.0556295216083,0.0575443198905,0.0623472034931,0.00361064728353
Fredy V - In The Meantime,crest_factor_left,36,18.7277985944,2.20127741166,12.9845914841,17.5307116508,18.7803878785,19.8755178452,23.3778266907,2.34480619435
Fredy V - In The Meantime,crest_factor_right,36,18.5175264676,2.01439781601,13.8831949234,17.2684845924,18.6198186874,19.5033402443,22.9501895905,2.23485565185
Fredy V - In The Meantime,crest_factor_mean,36,18.6226624913,2.07246182546,13.4338932037,17.6007623672,18.673746109,20.109295845,22.9316368103,2.50853347775
Fredy V - In The Meantime,stereo_width,36,0.0867661520056,0.0512372727922,0.000543582602404,0.0502111306414,0.0711502581835,0.117553152144,0.220763251185,0.0673420215026
Fredy V - In The Meantime,stereo_imbalance,36,-0.000627753119468,0.107323945279,-0.122862748802,-0.0356172407046,-0.019067209214,0.00280225794995,0.595546245575,0.0384194986545
The DoneFors - Lead Me,rms_left,37,0.0648368261754,0.004715935785,0.0531910397112,0.0613025464118,0.0654166862369,0.0681688711047,0.0730575472116,0.0068663246929
The DoneFors - Lead Me,rms_right,37,0.0665128038743,0.00506604494046,0.0555637106299,0.062625721097,0.066340200603,0.0706217885017,0.0755444020033,0.0079960674047
The DoneFors - Lead Me,rms_mean,37,0.0656748146221,0.00432023744339,0.0543773770332,0.0632263720036,0.0656963214278,0.0685282424092,0.0730311721563,0.0053018704056
The DoneFors - Lead Me,crest_factor_left,37,17.1245439117,2.07178168512,11.0320415497,15.7080497742,17.7300643921,18.2668972015,20.6876869202,2.5588474273
The DoneFors - Lead Me,crest_factor_right,37,16.9906284487,2.1806519461,11.5191764832,15.641254425,17.5248985291,18.5120239258,20.5632019043,2.8707695008
The DoneFors - Lead Me,crest_factor_mean,37,17.0575861287,2.09032345639,11.2756090164,15.6746520996,17.6423492432,18.4289340973,20.6254444122,2.7542819977
The DoneFors - Lead Me,stereo_width,37,0.063372566415,0.0340414298749,0.0144364489242,0.0392760001123,0.0534347854555,0.0777368620038,0.149041607976,0.0384608618915
The DoneFors - Lead Me,stereo_imbalance,37,0.0251475403627,0.0699766323897,-0.112906612456,-0.0219697598368,0.00736099667847,0.0728241205215,0.181385606527,0.0947938803583
The DoneFors - Pouring Room,rms_left,9,0.0610103979707,0.0037560407166,0.0549233555794,0.0583395026624,0.0615333095193,0.0621135607362,0.0661999061704,0.0037740580738
The DoneFors - Pouring Room,rms_right,9,0.0607313517895,0.00249342058999,0.0574258193374,0.0586244165897,0.0604200810194,0.0630435496569,0.0648361667991,0.0044191330672
The DoneFors - Pouring Room,rms_mean,9,0.0608708759149,0.0022422053237,0.0587656274438,0.0592991933227,0.0600788630545,0.0612343810499,0.0646217316389,0.0019351877272
The DoneFors - Pouring Room,crest_factor_left,9,18.7113234202,1.79711630329,15.3441104889,17.9887866974,19.3371353149,19.8457813263,20.7986221313,1.8569946289
The DoneFors - Pouring Room,crest_factor_right,9,18.9385990567,1.44017377972,17.0481700897,18.2210197449,18.5031585693,20.1419143677,21.1562919617,1.9208946228
The DoneFors - Pouring Room,crest_factor_mean,9,18.8249607086,1.53019712346,16.5152053833,18.2459716797,18.8200149536,19.9389343262,20.841550827,1.6929626465
The DoneFors - Pouring Room,stereo_width,9,0.12478307469,0.0540105648595,0.0750391855836,0.0795278027654,0.0962855145335,0.147577553988,0.217380493879,0.0680497512226
The DoneFors - Pouring Room,stereo_imbalance,9,-0.00378614063892,0.0748149457124,-0.0638295859098,-0.0488145165145,-0.0455747283995,0.0272651258856,0.164418786764,0.0760796424001
