artist,song,song_id,original_mix_name,original_dataset_filename,mix_id,institution_code,selected_in_acoustic_pool_v2,acoustic_pool_rank,rating_count,unique_participant_count,unique_session_count,unique_experiment_count,evaluator_institution_count,evaluator_institution_codes,years,mean_preference,median_preference,standard_deviation,variance,standard_error,percentile_25,percentile_75,interquartile_range,minimum,maximum,range,confidence_interval_95_lower,confidence_interval_95_upper,confidence_interval_method,missing_rating_count,low_count_warning,aggregation_status,notes,within_song_mean_rank,within_song_percentile_rank,within_song_z_score,within_song_robust_z_score,mean_centered_rating_within_song,uncertainty_weight
Filthybird,I'd Like To Know,song_idliketoknow,PXL-S3,PXL-S3.mp3,mix_65f41f41d3ab,PXL,true,1,30,30,30,3,3,PXL|QM|SMC,2015,0.387103869155,0.349450549451,0.21120339804,0.0446068753437,0.0385602884428,0.215247252747,0.528743388781,0.313496136034,0.0879120879121,0.956593406593,0.868681318681,0.308239224222,0.465968514087,student_t,0,false,ok,All available ratings included.,1,0.142857142857,-1.3407007521,-1.77133927994,-0.110175235131,0.835921163627
Filthybird,I'd Like To Know,song_idliketoknow,PXL-S4,PXL-S4.mp3,mix_b05651ab273c,PXL,true,6,30,30,30,3,3,PXL|QM|SMC,2015,0.514907096891,0.529945054945,0.220938658736,0.0488138909241,0.0403376957382,0.373763736264,0.628708791209,0.254945054945,0.0130922693267,0.883169934641,0.870077665314,0.432407245872,0.597406947911,student_t,0,false,ok,All available ratings included.,4,0.571428571429,0.214511572549,0,0.0176279926053,0.799087815875
Filthybird,I'd Like To Know,song_idliketoknow,PXL-S5,PXL-S5.mp3,mix_82d60d7c7fc5,PXL,true,3,30,30,30,3,3,PXL|QM|SMC,2015,0.41830605239,0.350628481108,0.229111236952,0.0524919588976,0.0418297975521,0.226373626374,0.549283384944,0.322909758571,0.0978021978022,0.917032967033,0.819230769231,0.332754510512,0.503857594269,student_t,0,false,ok,All available ratings included.,2,0.285714285714,-0.961007525383,-1.33888030559,-0.0789730518956,0.770583724311
Filthybird,I'd Like To Know,song_idliketoknow,PXL-S6,PXL-S6.mp3,mix_ab8babdfa183,PXL,true,5,30,30,30,3,3,PXL|QM|SMC,2015,0.539234467089,0.528021978022,0.176549390252,0.0311696871983,0.0322333611849,0.374614845938,0.662225274725,0.287610428787,0.225274725275,0.937912087912,0.712637362637,0.473309841328,0.60515909285,student_t,0,false,ok,All available ratings included.,6,0.857142857143,0.510546552472,0.33717478949,0.0419553628027,1
Filthybird,I'd Like To Know,song_idliketoknow,PXL-S7,PXL-S7.mp3,mix_b393d3919c78,PXL,true,7,30,30,30,3,3,PXL|QM|SMC,2015,0.633314256387,0.669230769231,0.209275096187,0.0437960658841,0.0382082303019,0.510756228504,0.794400304414,0.28364407591,0.113736263736,0.953296703297,0.83956043956,0.5551696512,0.711458861574,student_t,0,false,ok,All available ratings included.,7,1,1.65538499207,1.64111076344,0.136035152101,0.843623505464
The Districts,Vermont,song_vermont,DU-O2,DU-O2.mp3,mix_94dea4d9516e,DU,true,4,13,13,13,2,2,QM|SMC,2015,0.428549602072,0.369298245614,0.200352672302,0.0401411932986,0.0555678333201,0.274175824176,0.609493670886,0.33531784671,0.12032967033,0.757692307692,0.637362637363,0.307477693918,0.549621510227,student_t,0,false,ok,All available ratings included.,3,0.428571428571,-0.459704099455,-0.890625803665,-0.0612578714317,0.56631798524
The Districts,Vermont,song_vermont,DU-P2,DU-P2.mp3,mix_394fbfb78a5d,DU,true,2,13,13,13,2,2,QM|SMC,2015,0.599074775962,0.643745427944,0.208800752227,0.0435977541305,0.0579109091161,0.457692307692,0.692307692308,0.234615384615,0.238461538462,0.920918367347,0.682456828885,0.472897744202,0.725251807721,student_t,0,false,ok,All available ratings included.,5,0.714285714286,0.819986488302,0.506172195117,0.109267302458,0.543404755517
The Districts,Vermont,song_vermont,PXL-L1,PXL-L1.mp3,mix_0ae655011992,PXL,true,1,29,29,29,3,3,PXL|QM|SMC,2015,0.537279797972,0.539010989011,0.169466092789,0.0287187566052,0.03146906341,0.432278481013,0.637912087912,0.205633606899,0.136813186813,0.869230769231,0.732417582418,0.472818343738,0.601741252207,student_t,0,false,ok,All available ratings included.,4,0.571428571429,0.356251721757,0,0.0474723244683,1
The Districts,Vermont,song_vermont,PXL-L2,PXL-L2.mp3,mix_66c12fb63344,PXL,true,3,29,29,29,3,3,PXL|QM|SMC,2015,0.619623597252,0.691208791209,0.172701169693,0.0298256940133,0.0320698021097,0.577848101266,0.725274725275,0.147426624009,0.105494505495,0.81978021978,0.714285714286,0.553931585575,0.68531560893,student_t,0,false,ok,All available ratings included.,7,1,0.974193240276,0.674490759477,0.129816123748,0.981267776532
The Districts,Vermont,song_vermont,PXL-L3,PXL-L3.mp3,mix_de21d14989c8,PXL,true,7,29,29,29,3,3,PXL|QM|SMC,2015,0.354412668198,0.346703296703,0.191610571311,0.0367146110381,0.0355811898379,0.235746606335,0.481318681319,0.245572074984,0,0.928021978022,0.928021978022,0.28152790482,0.427297431575,student_t,0,false,ok,All available ratings included.,2,0.285714285714,-1.01605794634,-1.49789286289,-0.135394805306,0.884429766216
The Districts,Vermont,song_vermont,PXL-L4,PXL-L4.mp3,mix_9b6f253d1335,PXL,true,5,29,29,29,3,3,PXL|QM|SMC,2015,0.601971536478,0.632417582418,0.175596571844,0.0308341560434,0.0326074647913,0.484693877551,0.746703296703,0.262009419152,0.15,0.875824175824,0.725824175824,0.535178172724,0.668764900233,student_t,0,false,ok,All available ratings included.,6,0.857142857143,0.841724962942,0.529900007264,0.112164062974,0.965087706493
The Districts,Vermont,song_vermont,PXL-L5,PXL-L5.mp3,mix_bd4d7c6e0ea0,PXL,true,6,29,29,29,3,3,PXL|QM|SMC,2015,0.287740336593,0.282967032967,0.198640648032,0.0394581070508,0.0368866423121,0.111394557823,0.448901098901,0.337506541078,0,0.66978021978,0.66978021978,0.212181475045,0.363299198142,student_t,0,false,ok,All available ratings included.,1,0.142857142857,-1.51639436748,-2.04401621368,-0.202067136911,0.85312897671
Torres,New Skin,song_newskin,DU-O,DU-O.mp3,mix_48521615c4db,DU,true,3,53,53,53,3,3,DU|QM|SMC,2015,0.593891829683,0.612637362637,0.181287126863,0.0328650223662,0.0249017019825,0.471978021978,0.718681318681,0.246703296703,0.0769230769231,0.946703296703,0.86978021978,0.543922908959,0.643860750407,student_t,0,false,ok,All available ratings included.,5,0.714285714286,0.460288527754,0.176484551807,0.0664732231717,0.831095381198
Torres,New Skin,song_newskin,DU-P,DU-P.mp3,mix_59ac406eef54,DU,true,4,53,53,53,3,3,DU|QM|SMC,2015,0.581709683903,0.619230769231,0.201917662412,0.040770742394,0.0277355239801,0.464835164835,0.718681318681,0.253846153846,0.177287581699,0.932417582418,0.755130000718,0.526054283322,0.637365084485,student_t,0,false,ok,All available ratings included.,3,0.428571428571,0.375934231719,-0.135136189357,0.054291077392,0.746179863646
Torres,New Skin,song_newskin,DU-Q,DU-Q.mp3,mix_221967d4097c,DU,true,1,53,53,53,3,3,DU|QM|SMC,2015,0.586992543936,0.589198036007,0.168284286528,0.0283196010923,0.0231156245012,0.472527472527,0.704945054945,0.232417582418,0.286263736264,0.892857142857,0.606593406593,0.540607649883,0.633377437988,student_t,0,false,ok,All available ratings included.,4,0.571428571429,0.412514974321,0,0.0595739374248,0.895311718729
Torres,New Skin,song_newskin,DU-R,DU-R.mp3,mix_42350ee2e7ab,DU,true,2,53,53,53,3,3,DU|QM|SMC,2015,0.273389503017,0.26978021978,0.16185872932,0.026198248257,0.0222330063394,0.143956043956,0.35632183908,0.212365795124,0.0373626373626,0.832417582418,0.795054945055,0.228775711879,0.318003294155,student_t,0,false,ok,All available ratings included.,1,0.142857142857,-1.75900424975,-8.02200316838,-0.254029103494,0.930854297693
Torres,New Skin,song_newskin,DU-S,DU-S.mp3,mix_c512d63997c6,DU,true,7,53,53,53,3,3,DU|QM|SMC,2015,0.666602427163,0.68733982573,0.161938889473,0.0262242039237,0.0222440171832,0.607692307692,0.779120879121,0.171428571429,0.267582417582,0.91043956044,0.642857142857,0.621966541151,0.711238313176,student_t,0,false,ok,All available ratings included.,7,1,0.963767256022,2.03643030251,0.139183820652,0.930393522501
Torres,New Skin,song_newskin,DU-T,DU-T.mp3,mix_c09620e345d0,DU,true,6,53,53,53,3,3,DU|QM|SMC,2015,0.375983941601,0.388461538462,0.160660851927,0.0258119093418,0.0220684652251,0.238461538462,0.478021978022,0.23956043956,0.0796703296703,0.796048438496,0.716378108826,0.331700326364,0.420267556838,student_t,0,false,ok,All available ratings included.,2,0.285714285714,-1.04859724919,-5.39762520008,-0.15143466491,0.937794689868
Torres,New Skin,song_newskin,DU-U,DU-U.mp3,mix_768a004d1c8d,DU,true,5,53,53,53,3,3,DU|QM|SMC,2015,0.613360316274,0.630769230769,0.150666893806,0.0227005128893,0.0206956895017,0.491013071895,0.714757709251,0.223744637356,0.295054945055,0.963736263736,0.668681318681,0.571831377057,0.654889255492,student_t,0,false,ok,All available ratings included.,6,0.857142857143,0.595096509123,0.674490759477,0.0859417097634,1
