artist,song,six_mix_order,pairwise_comparisons,maximum_offset_ms,automatic_status,rapid_switch_path,notes
The DoneFors,Lead Me,DU-D|DU-E|QUT-F|PXL-L1|PXL-L4|McG-pro2,15,46.4399092971,FAIL,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\alignment_review\Lead Me_SixMix_RapidSwitch.wav,"Rapid-switch uses 2-second segments, original-name order, 5 ms crossfades and loudness-normalised review WAVs."
Fredy V,In The Meantime,QUT-B|DU-H|DU-I|DU-K|QUT-pro|DU-N,15,34.8299319728,FAIL,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\alignment_review\In The Meantime_SixMix_RapidSwitch.wav,"Rapid-switch uses 2-second segments, original-name order, 5 ms crossfades and loudness-normalised review WAVs."
Broken Crank,Red To Blue,McG-B|McG-G|McG-F|McG-C|McG-H|McG-pro1,15,11.6099773243,REVIEW,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\alignment_review\Red To Blue_SixMix_RapidSwitch.wav,"Rapid-switch uses 2-second segments, original-name order, 5 ms crossfades and loudness-normalised review WAVs."
The DoneFors,Pouring Room,McG-R|McG-T|McG-X|McG-pro1|McG-U|McG-V,15,58.0498866213,FAIL,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\alignment_review\Pouring Room_SixMix_RapidSwitch.wav,"Rapid-switch uses 2-second segments, original-name order, 5 ms crossfades and loudness-normalised review WAVs."
