participant_id,group,song_id,episode,trial_id,trial_index,candidate_count,unique_candidate_count,rating_count,comment_count,distinct_comment_count,max_rating,n_tied_winners,tie_flag,preferred_mix_id,preferred_stimulus_id,preferred_presentation_label,expected_five_candidates,comments_present
P006,group_01,lead_me,EDR-2,P006__trial_04,4,5,5,5,5,1,93,1,False,mix_f1f7973e5bac,lead_me_du_d,A,True,True
P006,group_01,lead_me,FM-1,P006__trial_06,6,5,5,5,5,1,60,1,False,mix_f1f7973e5bac,lead_me_du_d,B,True,True
P007,group_02,in_the_meantime,EDR-1,P007__trial_01,1,5,5,5,5,1,100,1,False,mix_302f0efe8a80,in_the_meantime_du_h,C,True,True
P007,group_02,in_the_meantime,EDR-2,P007__trial_05,5,5,5,5,5,1,100,1,False,mix_302f0efe8a80,in_the_meantime_du_h,C,True,True
P007,group_02,in_the_meantime,FM-1,P007__trial_04,4,5,5,5,5,1,100,1,False,mix_cdaef40f2b94,in_the_meantime_qut_pro,E,True,True
P007,group_02,pouring_room,EDR-1,P007__trial_02,2,5,5,5,5,1,100,1,False,mix_e08faaf8bbb3,pouring_room_mcg_v,A,True,True
P007,group_02,pouring_room,EDR-2,P007__trial_06,6,5,5,5,5,1,100,1,False,mix_132e75f34470,pouring_room_mcg_pro1,A,True,True
P007,group_02,pouring_room,FM-1,P007__trial_03,3,5,5,5,5,1,100,1,False,mix_cbf8555ee2b2,pouring_room_mcg_x,C,True,True
P008,group_01,id_like_to_know,EDR-1,P008__trial_05,5,5,5,5,5,1,90,1,False,mix_9ffcd672af17,id_like_to_know_pxl_s1,A,True,True
P008,group_01,id_like_to_know,EDR-2,P008__trial_04,4,5,5,5,5,1,77,1,False,mix_6f8b655d7999,id_like_to_know_pxl_s2,D,True,True
P008,group_01,id_like_to_know,FM-1,P008__trial_02,2,5,5,5,5,1,66,1,False,mix_65f41f41d3ab,id_like_to_know_pxl_s3,A,True,True
