column_name,dtype,missing_count,missing_fraction,non_missing_count,unique_non_missing,duplicate_column_name,obviously_empty,column_role,json_parse_errors,workbook_sheets
trial_order_json,object,0,0.0,30,30,False,False,trial_randomisation_or_response_json,0,"[{""sheet_name"": ""listening-study-5mix"", ""row_count"": 30, ""column_count"": 40}, {""sheet_name"": ""Hoja1"", ""row_count"": 0, ""column_count"": 0}]"
mix_mapping_json,object,0,0.0,30,30,False,False,trial_randomisation_or_response_json,0,"[{""sheet_name"": ""listening-study-5mix"", ""row_count"": 30, ""column_count"": 40}, {""sheet_name"": ""Hoja1"", ""row_count"": 0, ""column_count"": 0}]"
presentation_order_json,object,0,0.0,30,26,False,False,trial_randomisation_or_response_json,0,"[{""sheet_name"": ""listening-study-5mix"", ""row_count"": 30, ""column_count"": 40}, {""sheet_name"": ""Hoja1"", ""row_count"": 0, ""column_count"": 0}]"
trial_records_json,object,0,0.0,30,30,False,False,trial_randomisation_or_response_json,0,"[{""sheet_name"": ""listening-study-5mix"", ""row_count"": 30, ""column_count"": 40}, {""sheet_name"": ""Hoja1"", ""row_count"": 0, ""column_count"": 0}]"
responses_json,object,0,0.0,30,30,False,False,trial_randomisation_or_response_json,0,"[{""sheet_name"": ""listening-study-5mix"", ""row_count"": 30, ""column_count"": 40}, {""sheet_name"": ""Hoja1"", ""row_count"": 0, ""column_count"": 0}]"
derived_preferences_json,object,0,0.0,30,30,False,False,structured_json,0,"[{""sheet_name"": ""listening-study-5mix"", ""row_count"": 30, ""column_count"": 40}, {""sheet_name"": ""Hoja1"", ""row_count"": 0, ""column_count"": 0}]"
timing_json,object,0,0.0,30,30,False,False,structured_json,0,"[{""sheet_name"": ""listening-study-5mix"", ""row_count"": 30, ""column_count"": 40}, {""sheet_name"": ""Hoja1"", ""row_count"": 0, ""column_count"": 0}]"
device_browser_json,object,0,0.0,30,22,False,False,structured_json,0,"[{""sheet_name"": ""listening-study-5mix"", ""row_count"": 30, ""column_count"": 40}, {""sheet_name"": ""Hoja1"", ""row_count"": 0, ""column_count"": 0}]"
client_validation_json,object,0,0.0,30,1,False,False,structured_json,0,"[{""sheet_name"": ""listening-study-5mix"", ""row_count"": 30, ""column_count"": 40}, {""sheet_name"": ""Hoja1"", ""row_count"": 0, ""column_count"": 0}]"
final_payload_json,object,0,0.0,30,30,False,False,structured_json,30,"[{""sheet_name"": ""listening-study-5mix"", ""row_count"": 30, ""column_count"": 40}, {""sheet_name"": ""Hoja1"", ""row_count"": 0, ""column_count"": 0}]"
ip,object,0,0.0,30,24,False,False,backend_or_browser_metadata,0,"[{""sheet_name"": ""listening-study-5mix"", ""row_count"": 30, ""column_count"": 40}, {""sheet_name"": ""Hoja1"", ""row_count"": 0, ""column_count"": 0}]"
user_agent,object,0,0.0,30,16,False,False,backend_or_browser_metadata,0,"[{""sheet_name"": ""listening-study-5mix"", ""row_count"": 30, ""column_count"": 40}, {""sheet_name"": ""Hoja1"", ""row_count"": 0, ""column_count"": 0}]"
referrer,object,0,0.0,30,1,False,False,backend_or_browser_metadata,0,"[{""sheet_name"": ""listening-study-5mix"", ""row_count"": 30, ""column_count"": 40}, {""sheet_name"": ""Hoja1"", ""row_count"": 0, ""column_count"": 0}]"
created_at,datetime64[ns],0,0.0,30,30,False,False,timestamp,0,"[{""sheet_name"": ""listening-study-5mix"", ""row_count"": 30, ""column_count"": 40}, {""sheet_name"": ""Hoja1"", ""row_count"": 0, ""column_count"": 0}]"
