model,quantity,observed,ppc_mean,hdi_3%,hdi_97%
additive,overall_mean,65.60475,65.60432680644244,64.94382516581165,66.23900924611786
additive,overall_sd,10.914447156625894,10.9510659774072,10.417916804591918,11.490092338376328
additive,ppc_outside_0_100_proportion,0.0,0.0007139583333333334,,
additive,episode_mean:Relaxation,64.57375,64.56734510297346,63.103841327748675,66.03020444344938
additive,episode_mean:Distraction,62.4225,62.48860270331121,61.00803670349608,63.969489754830924
additive,episode_mean:Enjoyment,66.98958333333333,66.96269106534784,65.47340141165364,68.37395734206511
additive,episode_mean:Focus,67.23208333333334,67.20560605291975,65.7524003847693,68.6828204356774
additive,episode_mean:Motivation,66.80583333333333,66.79738910765995,65.32239097540133,68.2223297926273
additive,stimulus_mean:Song_1_Mix_1,67.355,67.44587312947044,65.42580750849754,69.46128316883619
additive,stimulus_mean:Song_1_Mix_2,63.51399999999999,63.97365832960611,62.169693599433685,65.75718363797473
additive,stimulus_mean:Song_1_Mix_3,74.35799999999999,73.89372566824255,71.8019217800017,75.94663421402288
additive,stimulus_mean:Song_2_Mix_1,63.96899999999999,63.51763697284028,61.66539070914608,65.33810209727288
additive,stimulus_mean:Song_2_Mix_2,60.607,60.4893843413118,58.4783887987797,62.54845052035822
additive,stimulus_mean:Song_2_Mix_3,70.447,70.64803225600551,68.63061540443354,72.68236470761418
additive,stimulus_mean:Song_3_Mix_1,62.692,63.91021274841042,62.111716130605444,65.79534773939885
additive,stimulus_mean:Song_3_Mix_2,63.738000000000014,63.78642573198916,61.43141230715254,66.16286168228713
additive,stimulus_mean:Song_3_Mix_3,60.809,60.15013579709387,58.21790115950218,62.134562842687075
additive,stimulus_mean:Song_4_Mix_1,67.733,67.48316033890973,65.62078803249965,69.3667336395704
additive,stimulus_mean:Song_4_Mix_2,66.073,66.4708608259267,64.69319914407262,68.21543840376131
additive,stimulus_mean:Song_4_Mix_3,65.962,65.48281553750272,63.509578482791206,67.4287401402629
reduced_interaction,overall_mean,65.60475,65.61208019156655,64.98032235544791,66.26069156869826
reduced_interaction,overall_sd,10.914447156625894,10.982893448454568,10.42837498598471,11.52023572052556
reduced_interaction,ppc_outside_0_100_proportion,0.0,0.0007654166666666666,,
reduced_interaction,episode_mean:Relaxation,64.57375,64.57086425561084,63.16378723055673,66.01534630971018
reduced_interaction,episode_mean:Distraction,62.4225,62.50330316041317,61.05389204133082,63.925528709822345
reduced_interaction,episode_mean:Enjoyment,66.98958333333333,66.9669004822033,65.55722460021525,68.40580171628213
reduced_interaction,episode_mean:Focus,67.23208333333334,67.21037094214451,65.75016080778236,68.63071851951872
reduced_interaction,episode_mean:Motivation,66.80583333333333,66.80896211746094,65.40341463063486,68.29507639470062
reduced_interaction,stimulus_mean:Song_1_Mix_1,67.355,67.4644084940601,65.52414587189648,69.44286186466857
reduced_interaction,stimulus_mean:Song_1_Mix_2,63.51399999999999,63.99328891428988,62.18872875602226,65.81857321262707
reduced_interaction,stimulus_mean:Song_1_Mix_3,74.35799999999999,73.88492064141369,71.85980760346777,75.92360606817061
reduced_interaction,stimulus_mean:Song_2_Mix_1,63.96899999999999,63.532256050388185,61.737840975842346,65.3734451699326
reduced_interaction,stimulus_mean:Song_2_Mix_2,60.607,60.5118997693545,58.544882223717345,62.557405565100765
reduced_interaction,stimulus_mean:Song_2_Mix_3,70.447,70.64139391599524,68.63789984443638,72.66361445747361
reduced_interaction,stimulus_mean:Song_3_Mix_1,62.692,63.90913398919536,62.11867235477264,65.70884910791723
reduced_interaction,stimulus_mean:Song_3_Mix_2,63.738000000000014,63.805786195856385,61.57387752287968,65.99901593287441
reduced_interaction,stimulus_mean:Song_3_Mix_3,60.809,60.16053452229968,58.24998656446795,62.08636949651873
reduced_interaction,stimulus_mean:Song_4_Mix_1,67.733,67.48247462946877,65.62267883214018,69.32322253007142
reduced_interaction,stimulus_mean:Song_4_Mix_2,66.073,66.47273834520689,64.68046762047271,68.28848693617805
reduced_interaction,stimulus_mean:Song_4_Mix_3,65.962,65.48612683126991,63.516163339845306,67.35757615996248
