model,elpd_loo,se,p_loo,pareto_k_gt_0_7,pareto_k_max
additive,-4293.736883922798,24.702973332104666,45.57993901325699,0,0.4902666535632996
reduced_interaction,-4282.3860726231605,24.632084378378345,53.209059191139204,0,0.33237009760514385
