,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu[671],58.061,1.64,55.002,61.178,0.019,0.026,7600.0,3107.0,1.0
mu[672],61.391,1.591,58.38,64.41,0.018,0.026,7834.0,3105.0,1.0
mu[673],57.636,1.626,54.76,60.928,0.018,0.026,7864.0,3202.0,1.0
mu[674],61.299,1.764,57.956,64.585,0.02,0.028,7557.0,3276.0,1.0
mu[675],62.76,1.643,59.656,65.735,0.019,0.026,7895.0,3368.0,1.0
mu[676],61.756,1.614,58.737,64.749,0.018,0.025,8264.0,3273.0,1.0
mu[677],60.746,1.656,57.716,63.891,0.019,0.026,7404.0,3397.0,1.0
mu[678],60.701,1.647,57.634,63.825,0.022,0.026,5621.0,3223.0,1.0
mu[679],58.687,1.661,55.509,61.825,0.023,0.026,5398.0,3180.0,1.0
mu[680],59.697,1.618,56.814,62.977,0.021,0.026,5850.0,3235.0,1.0
mu[681],65.166,1.644,61.959,68.126,0.018,0.027,8058.0,3251.0,1.0
mu[682],63.152,1.658,60.145,66.343,0.019,0.026,7554.0,3254.0,1.0
mu[683],64.162,1.616,61.203,67.242,0.018,0.026,8425.0,3252.0,1.0
mu[684],64.401,1.614,61.34,67.384,0.018,0.026,8346.0,2915.0,1.0
mu[685],63.391,1.662,60.353,66.636,0.019,0.027,7425.0,3086.0,1.0
mu[686],65.405,1.651,62.365,68.633,0.019,0.027,7959.0,2941.0,1.0
mu[687],63.976,1.592,60.968,67.049,0.018,0.027,8278.0,2998.0,1.0
mu[688],62.966,1.628,59.913,66.118,0.019,0.027,7294.0,3209.0,1.0
mu[689],64.98,1.615,61.864,68.018,0.018,0.027,7754.0,3028.0,1.0
mu[690],62.964,1.637,59.906,66.103,0.019,0.027,7681.0,2992.0,1.0
mu[691],66.627,1.782,63.314,69.914,0.021,0.028,6945.0,3163.0,1.0
mu[692],66.719,1.598,63.771,69.771,0.018,0.027,7742.0,2825.0,1.0
mu[693],64.567,1.782,61.285,67.992,0.024,0.027,5595.0,3280.0,1.0
mu[694],60.905,1.639,57.827,63.969,0.021,0.026,5864.0,3187.0,1.0
mu[695],64.66,1.599,61.731,67.742,0.021,0.025,5671.0,2945.0,1.0
mu[696],69.033,1.745,65.68,72.216,0.02,0.028,7373.0,2777.0,1.0
mu[697],69.125,1.574,66.205,72.153,0.018,0.027,7410.0,2826.0,1.0
mu[698],65.37,1.611,62.506,68.672,0.019,0.027,7496.0,2875.0,1.0
mu[699],65.609,1.646,62.607,68.743,0.019,0.029,7581.0,3094.0,1.0
mu[700],69.364,1.612,66.318,72.37,0.019,0.028,7467.0,3121.0,1.0
mu[701],69.272,1.805,66.191,72.989,0.021,0.029,7328.0,2928.0,1.0
mu[702],68.847,1.778,65.671,72.307,0.022,0.027,6746.0,3132.0,1.0
mu[703],68.939,1.607,65.83,71.825,0.019,0.027,6931.0,3078.0,1.0
mu[704],65.184,1.646,62.142,68.328,0.019,0.028,7216.0,3122.0,1.0
mu[705],70.308,1.62,67.316,73.271,0.019,0.027,7073.0,2840.0,1.0
mu[706],69.304,1.587,66.305,72.162,0.018,0.027,7983.0,3023.0,1.0
mu[707],68.294,1.635,65.34,71.366,0.02,0.027,6867.0,2853.0,1.0
mu[708],66.235,1.637,63.354,69.481,0.022,0.026,5506.0,3024.0,1.0
mu[709],67.245,1.589,64.226,70.159,0.021,0.025,5910.0,3423.0,1.0
mu[710],68.249,1.621,65.424,71.464,0.022,0.026,5634.0,3164.0,1.0
mu[711],70.7,1.611,67.428,73.484,0.019,0.027,7289.0,2934.0,1.0
mu[712],72.714,1.595,69.721,75.703,0.018,0.027,7540.0,3017.0,1.0
mu[713],71.71,1.563,68.874,74.683,0.017,0.026,7991.0,3278.0,1.0
mu[714],72.953,1.642,69.991,76.07,0.019,0.028,7861.0,2982.0,1.0
mu[715],71.949,1.601,68.969,74.951,0.018,0.028,7949.0,3084.0,1.0
mu[716],70.939,1.654,67.789,73.943,0.019,0.028,7479.0,2990.0,1.0
mu[717],70.515,1.635,67.578,73.749,0.02,0.027,6514.0,2910.0,1.0
mu[718],72.528,1.621,69.371,75.468,0.02,0.027,6559.0,3062.0,1.0
mu[719],71.524,1.595,68.561,74.535,0.019,0.027,7359.0,3146.0,1.0
mu[720],45.137,1.691,41.866,48.202,0.019,0.026,7549.0,3526.0,1.0
mu[721],48.892,1.65,45.759,51.971,0.019,0.026,7788.0,3415.0,1.0
mu[722],48.8,1.821,45.238,52.066,0.021,0.03,7237.0,3431.0,1.0
mu[723],46.74,1.818,43.449,50.269,0.024,0.029,5714.0,3212.0,1.0
mu[724],46.832,1.649,43.826,49.925,0.022,0.024,5624.0,3350.0,1.0
mu[725],43.078,1.69,39.951,46.161,0.022,0.024,5725.0,3054.0,1.0
mu[726],47.543,1.698,44.304,50.665,0.02,0.024,7227.0,3443.0,1.0
mu[727],51.205,1.815,47.816,54.56,0.022,0.029,7101.0,3096.0,1.0
mu[728],51.298,1.661,48.251,54.494,0.02,0.025,7222.0,3243.0,1.0
mu[729],51.445,1.832,48.119,55.041,0.022,0.032,7063.0,3187.0,1.0
mu[730],51.537,1.652,48.605,54.769,0.019,0.026,7546.0,3103.0,1.0
mu[731],47.782,1.687,44.553,50.849,0.02,0.026,7307.0,3135.0,1.0
mu[732],51.02,1.812,47.419,54.261,0.022,0.03,6968.0,3314.0,1.0
mu[733],47.357,1.694,44.013,50.357,0.02,0.026,7373.0,3204.0,1.0
mu[734],51.112,1.653,48.056,54.256,0.019,0.026,7585.0,3197.0,1.0
mu[735],50.467,1.677,47.371,53.65,0.019,0.026,7737.0,3270.0,1.0
mu[736],51.477,1.634,48.548,54.738,0.018,0.027,8162.0,3127.0,1.0
mu[737],52.481,1.662,49.345,55.531,0.019,0.027,8026.0,3251.0,1.0
mu[738],50.422,1.661,47.507,53.683,0.022,0.024,5704.0,3410.0,1.0
mu[739],49.417,1.633,46.424,52.492,0.021,0.024,5893.0,3382.0,1.0
mu[740],48.408,1.677,45.408,51.7,0.022,0.024,5624.0,3320.0,1.0
mu[741],54.887,1.672,51.707,57.938,0.019,0.026,7739.0,3386.0,1.0
mu[742],53.883,1.644,50.83,57.004,0.018,0.025,7902.0,3408.0,1.0
mu[743],52.873,1.687,49.78,56.046,0.019,0.026,7555.0,3332.0,1.0
mu[744],55.126,1.672,52.076,58.365,0.019,0.027,7850.0,3176.0,1.0
mu[745],54.122,1.635,51.064,57.221,0.018,0.027,7935.0,3057.0,1.0
mu[746],53.112,1.684,49.94,56.312,0.019,0.026,7565.0,3528.0,1.0
mu[747],53.697,1.635,50.577,56.722,0.018,0.025,7840.0,3237.0,1.0
mu[748],52.687,1.672,49.599,55.97,0.019,0.025,7690.0,3375.0,1.0
mu[749],54.701,1.658,51.506,57.729,0.019,0.026,7731.0,3089.0,1.0
mu[750],66.638,1.611,63.589,69.681,0.019,0.027,7490.0,2723.0,1.0
mu[751],66.546,1.779,63.026,69.644,0.022,0.034,6590.0,2919.0,1.0
mu[752],62.883,1.659,59.777,66.035,0.02,0.028,7076.0,2967.0,1.0
mu[753],64.487,1.778,60.985,67.59,0.024,0.032,5360.0,2744.0,1.0
mu[754],64.579,1.612,61.627,67.728,0.021,0.027,5801.0,2749.0,1.0
mu[755],60.824,1.66,57.681,63.979,0.022,0.028,5639.0,2754.0,1.0
mu[756],68.952,1.761,65.671,72.353,0.022,0.031,6666.0,3211.0,1.0
mu[757],65.289,1.654,62.206,68.423,0.02,0.027,7072.0,2979.0,1.0
mu[758],69.044,1.61,66.039,72.097,0.019,0.027,7468.0,3151.0,1.0
mu[759],69.283,1.604,66.276,72.318,0.019,0.027,7454.0,2728.0,1.0
mu[760],65.528,1.646,62.39,68.571,0.02,0.028,6963.0,2757.0,1.0
mu[761],69.191,1.782,65.917,72.529,0.022,0.032,6655.0,2739.0,1.0
mu[762],65.103,1.64,62.136,68.263,0.019,0.028,7261.0,2847.0,1.0
mu[763],68.766,1.748,65.298,71.783,0.022,0.034,6589.0,2850.0,1.0
mu[764],68.858,1.591,65.952,71.947,0.018,0.027,7580.0,2843.0,1.0
mu[765],68.214,1.635,65.112,71.297,0.019,0.027,7329.0,3078.0,1.0
mu[766],69.223,1.586,66.294,72.286,0.018,0.027,7475.0,2931.0,1.0
mu[767],70.228,1.615,67.042,73.163,0.019,0.028,7615.0,3017.0,1.0
mu[768],68.168,1.616,65.21,71.26,0.021,0.028,5757.0,2852.0,1.0
mu[769],67.164,1.588,64.17,70.184,0.021,0.027,5742.0,2731.0,1.0
mu[770],66.155,1.637,63.035,69.141,0.022,0.027,5624.0,2794.0,1.0
mu[771],72.633,1.613,69.624,75.63,0.018,0.027,7710.0,2975.0,1.0
mu[772],70.62,1.634,67.559,73.646,0.019,0.027,7438.0,3038.0,1.0
mu[773],71.629,1.585,68.613,74.589,0.018,0.026,7593.0,3172.0,1.0
mu[774],70.859,1.634,67.694,73.831,0.019,0.027,7272.0,3075.0,1.0
mu[775],71.868,1.579,68.681,74.692,0.018,0.026,7505.0,2912.0,1.0
mu[776],72.872,1.616,69.721,75.821,0.019,0.027,7554.0,2960.0,1.0
mu[777],71.443,1.565,68.545,74.422,0.018,0.027,7658.0,3070.0,1.0
mu[778],72.448,1.588,69.425,75.383,0.018,0.028,7606.0,3169.0,1.0
mu[779],70.434,1.608,67.31,73.299,0.019,0.027,7362.0,3079.0,1.0
mu[780],53.895,1.589,50.989,56.892,0.017,0.027,8463.0,2877.0,1.0
mu[781],53.803,1.733,50.792,57.249,0.02,0.029,7159.0,2769.0,1.0
mu[782],50.14,1.642,47.117,53.24,0.019,0.028,7752.0,3001.0,1.0
mu[783],51.835,1.587,48.672,54.64,0.021,0.025,5794.0,2854.0,1.0
mu[784],48.081,1.64,44.802,50.954,0.022,0.026,5619.0,3046.0,1.0
mu[785],51.743,1.73,48.616,55.147,0.023,0.026,5441.0,3227.0,1.0
mu[786],56.301,1.569,53.414,59.328,0.017,0.025,8285.0,3133.0,1.0
mu[787],52.546,1.619,49.433,55.492,0.019,0.026,7602.0,3483.0,1.0
mu[788],56.208,1.699,52.881,59.287,0.02,0.027,7279.0,3489.0,1.0
mu[789],56.54,1.584,53.693,59.548,0.017,0.027,8413.0,3111.0,1.0
mu[790],56.448,1.738,53.104,59.651,0.021,0.028,7152.0,3204.0,1.0
mu[791],52.785,1.63,49.708,55.673,0.019,0.027,7651.0,3152.0,1.0
mu[792],52.36,1.637,49.235,55.339,0.018,0.029,7850.0,2869.0,1.0
mu[793],56.023,1.715,52.938,59.346,0.02,0.027,7168.0,3153.0,1.0
mu[794],56.115,1.584,53.337,59.266,0.017,0.027,8492.0,3084.0,1.0
mu[795],57.484,1.587,54.64,60.609,0.016,0.027,9302.0,2981.0,1.0
mu[796],55.47,1.61,52.643,58.7,0.017,0.027,8726.0,3112.0,1.0
mu[797],56.48,1.582,53.518,59.433,0.017,0.027,9170.0,2682.0,1.0
mu[798],53.411,1.609,50.327,56.313,0.021,0.024,6015.0,3193.0,1.0
mu[799],55.425,1.586,52.475,58.364,0.02,0.024,6212.0,3187.0,1.0
mu[800],54.421,1.581,51.472,57.383,0.02,0.024,6137.0,3269.0,1.0
mu[801],58.886,1.562,56.004,61.897,0.016,0.025,9218.0,3340.0,1.0
mu[802],57.876,1.591,54.735,60.745,0.017,0.025,8639.0,3182.0,1.0
mu[803],59.89,1.567,56.717,62.634,0.016,0.025,9151.0,3333.0,1.0
mu[804],60.129,1.59,57.178,63.104,0.016,0.026,9645.0,3347.0,1.0
mu[805],59.125,1.576,56.161,61.971,0.016,0.026,9277.0,3426.0,1.0
mu[806],58.115,1.61,55.106,61.183,0.017,0.026,9139.0,3434.0,1.0
mu[807],57.69,1.596,54.67,60.743,0.017,0.026,8980.0,3199.0,1.0
mu[808],59.704,1.575,56.802,62.74,0.016,0.025,9282.0,3282.0,1.0
mu[809],58.7,1.575,55.849,61.742,0.016,0.026,9267.0,3240.0,1.0
mu[810],54.486,1.647,51.36,57.575,0.019,0.029,7777.0,3049.0,1.0
mu[811],58.149,1.765,54.952,61.528,0.022,0.031,6740.0,2956.0,1.0
mu[812],58.241,1.595,55.347,61.369,0.018,0.028,7919.0,2973.0,1.0
mu[813],56.182,1.578,53.318,59.202,0.021,0.026,5700.0,2978.0,1.0
mu[814],52.427,1.631,49.415,55.488,0.022,0.027,5528.0,3089.0,1.0
mu[815],56.09,1.749,52.823,59.306,0.024,0.027,5410.0,3088.0,1.0
mu[816],56.892,1.632,53.801,59.901,0.02,0.026,6743.0,2902.0,1.0
mu[817],60.555,1.739,57.257,63.651,0.021,0.028,6821.0,3096.0,1.0
mu[818],60.647,1.583,57.61,63.465,0.019,0.025,7124.0,3064.0,1.0
mu[819],57.131,1.598,54.088,60.009,0.019,0.025,6880.0,3302.0,1.0
mu[820],60.794,1.735,57.448,63.939,0.021,0.027,6889.0,3326.0,1.0
mu[821],60.886,1.551,57.89,63.63,0.018,0.025,7400.0,3413.0,1.0
mu[822],60.461,1.584,57.625,63.472,0.018,0.027,7576.0,2844.0,1.0
mu[823],60.369,1.743,57.35,63.951,0.02,0.031,7356.0,3101.0,1.0
mu[824],56.707,1.637,53.779,59.792,0.019,0.028,7395.0,2866.0,1.0
mu[825],61.831,1.596,58.794,64.825,0.017,0.029,8660.0,2766.0,1.0
mu[826],59.817,1.614,56.964,63.047,0.017,0.029,8544.0,2822.0,1.0
mu[827],60.826,1.583,57.915,63.919,0.017,0.028,8507.0,2783.0,1.0
mu[828],59.771,1.58,56.965,62.799,0.021,0.025,5904.0,3263.0,1.0
mu[829],57.758,1.599,54.89,60.822,0.021,0.026,5645.0,3100.0,1.0
mu[830],58.767,1.567,55.833,61.698,0.02,0.025,5887.0,3148.0,1.0
mu[831],64.236,1.584,61.325,67.152,0.018,0.026,7912.0,2943.0,1.0
mu[832],63.232,1.571,60.199,66.013,0.018,0.026,7627.0,2743.0,1.0
mu[833],62.223,1.603,59.357,65.259,0.018,0.027,7447.0,2733.0,1.0
mu[834],63.471,1.537,60.566,66.316,0.018,0.025,7456.0,3257.0,1.0
mu[835],62.462,1.576,59.575,65.419,0.018,0.027,7436.0,3001.0,1.0
mu[836],64.475,1.56,61.543,67.396,0.017,0.026,8001.0,3188.0,1.0
mu[837],62.037,1.595,59.157,65.135,0.018,0.028,7733.0,2955.0,1.0
mu[838],63.046,1.571,60.174,66.016,0.017,0.027,8606.0,2909.0,1.0
mu[839],64.051,1.578,61.127,66.977,0.018,0.028,8034.0,2979.0,1.0
mu[840],68.0,1.644,65.027,71.169,0.02,0.025,6983.0,3516.0,1.0
mu[841],71.663,1.751,68.258,74.787,0.021,0.027,6801.0,3317.0,1.0
mu[842],71.755,1.603,68.801,74.803,0.019,0.024,7421.0,3236.0,1.0
mu[843],65.941,1.643,62.914,69.078,0.021,0.024,6049.0,3462.0,1.0
mu[844],69.696,1.602,66.774,72.781,0.02,0.023,6102.0,3175.0,1.0
mu[845],69.604,1.749,66.141,72.642,0.023,0.027,5871.0,3143.0,1.0
mu[846],70.406,1.652,67.167,73.409,0.02,0.026,6964.0,3403.0,1.0
mu[847],74.069,1.746,70.934,77.522,0.021,0.029,6998.0,3208.0,1.0
mu[848],74.161,1.615,71.105,77.2,0.019,0.025,7386.0,3038.0,1.0
mu[849],70.645,1.629,67.721,73.871,0.019,0.026,7177.0,3218.0,1.0
mu[850],74.308,1.753,70.849,77.506,0.021,0.029,6971.0,3369.0,1.0
mu[851],74.4,1.594,71.29,77.354,0.018,0.025,7710.0,3242.0,1.0
mu[852],70.22,1.651,67.171,73.22,0.019,0.026,7422.0,3300.0,1.0
mu[853],73.883,1.745,70.662,77.08,0.021,0.028,7076.0,3223.0,1.0
mu[854],73.975,1.61,70.974,76.946,0.018,0.024,7789.0,2975.0,1.0
mu[855],75.345,1.622,72.118,78.25,0.018,0.025,8224.0,3070.0,1.0
mu[856],73.331,1.642,70.475,76.698,0.018,0.026,7894.0,2995.0,1.0
mu[857],74.34,1.608,71.435,77.447,0.018,0.025,8283.0,3200.0,1.0
mu[858],73.285,1.621,70.252,76.329,0.02,0.024,6643.0,3487.0,1.0
mu[859],71.272,1.643,68.198,74.365,0.021,0.024,6355.0,3520.0,1.0
mu[860],72.281,1.608,69.399,75.394,0.02,0.024,6614.0,3466.0,1.0
mu[861],77.75,1.633,74.619,80.737,0.018,0.026,8300.0,3313.0,1.0
mu[862],75.737,1.654,72.608,78.766,0.018,0.025,8026.0,3310.0,1.0
mu[863],76.746,1.62,73.859,79.891,0.018,0.026,8458.0,3283.0,1.0
mu[864],77.989,1.621,74.926,81.065,0.018,0.027,8434.0,3202.0,1.0
mu[865],75.976,1.639,72.946,79.172,0.018,0.027,8078.0,3217.0,1.0
mu[866],76.985,1.599,73.887,79.925,0.017,0.026,8675.0,3217.0,1.0
mu[867],75.551,1.641,72.535,78.674,0.018,0.025,7869.0,3424.0,1.0
mu[868],76.56,1.614,73.497,79.448,0.017,0.025,8898.0,2900.0,1.0
mu[869],77.565,1.622,74.56,80.59,0.018,0.025,8316.0,3366.0,1.0
mu[870],62.925,1.63,59.888,66.005,0.018,0.029,8217.0,3006.0,1.0
mu[871],59.17,1.671,56.169,62.362,0.019,0.03,7934.0,2801.0,1.0
mu[872],62.833,1.771,59.461,66.051,0.021,0.028,6820.0,2966.0,1.0
mu[873],60.774,1.765,57.538,64.16,0.024,0.025,5391.0,3238.0,1.0
mu[874],57.111,1.665,53.91,60.094,0.022,0.026,5947.0,2894.0,1.0
mu[875],60.866,1.624,57.798,63.852,0.021,0.026,6013.0,2829.0,1.0
mu[876],65.239,1.768,61.932,68.524,0.022,0.028,6675.0,3134.0,1.0
mu[877],61.576,1.681,58.555,64.978,0.019,0.029,7473.0,2998.0,1.0
mu[878],65.331,1.644,62.3,68.522,0.019,0.028,7617.0,3133.0,1.0
mu[879],65.478,1.768,62.034,68.761,0.022,0.027,6368.0,3274.0,1.0
mu[880],65.57,1.616,62.595,68.666,0.019,0.028,7375.0,3033.0,1.0
mu[881],61.815,1.651,58.853,64.986,0.019,0.028,7236.0,3113.0,1.0
mu[882],65.053,1.76,61.731,68.27,0.022,0.027,6369.0,3478.0,1.0
mu[883],61.39,1.672,58.393,64.615,0.02,0.028,7365.0,3103.0,1.0
mu[884],65.145,1.631,62.097,68.208,0.019,0.027,7406.0,2999.0,1.0
mu[885],66.514,1.632,63.606,69.78,0.018,0.028,8468.0,2892.0,1.0
mu[886],65.51,1.611,62.47,68.526,0.017,0.029,8517.0,3052.0,1.0
mu[887],64.501,1.648,61.231,67.459,0.018,0.029,7985.0,2774.0,1.0
mu[888],62.441,1.644,59.448,65.559,0.021,0.025,5957.0,3088.0,1.0
mu[889],63.451,1.606,60.57,66.604,0.021,0.025,6150.0,2847.0,1.0
mu[890],64.455,1.627,61.296,67.352,0.021,0.025,6076.0,2966.0,1.0
mu[891],67.916,1.625,64.726,70.874,0.018,0.027,8135.0,3130.0,1.0
mu[892],66.907,1.662,63.576,69.823,0.019,0.027,7956.0,3275.0,1.0
mu[893],68.92,1.645,65.698,71.847,0.018,0.027,8061.0,3235.0,1.0
mu[894],69.159,1.626,66.265,72.337,0.019,0.026,7703.0,3295.0,1.0
mu[895],68.155,1.596,65.292,71.223,0.018,0.026,7759.0,2969.0,1.0
mu[896],67.146,1.64,64.112,70.234,0.019,0.026,7564.0,3199.0,1.0
mu[897],66.721,1.642,63.866,69.995,0.019,0.025,7244.0,3070.0,1.0
mu[898],68.734,1.626,65.673,71.776,0.019,0.026,7407.0,3231.0,1.0
mu[899],67.73,1.611,64.764,70.8,0.018,0.026,7771.0,3086.0,1.0
mu[900],61.778,1.58,58.761,64.757,0.019,0.027,7285.0,2933.0,1.0
mu[901],61.686,1.737,58.695,65.07,0.021,0.029,6899.0,3244.0,1.0
mu[902],58.023,1.625,54.925,61.012,0.019,0.028,7128.0,2979.0,1.0
mu[903],59.627,1.708,56.432,62.719,0.024,0.027,5120.0,3081.0,1.0
mu[904],59.719,1.549,56.957,62.747,0.02,0.025,5786.0,2979.0,1.0
mu[905],55.964,1.596,53.068,58.963,0.021,0.026,5614.0,3055.0,1.0
mu[906],64.184,1.571,61.307,67.17,0.018,0.026,7838.0,3078.0,1.0
mu[907],64.092,1.713,61.043,67.447,0.021,0.029,6937.0,3292.0,1.0
mu[908],60.429,1.613,57.523,63.47,0.018,0.026,7437.0,3035.0,1.0
mu[909],64.331,1.751,61.171,67.633,0.022,0.03,6591.0,3012.0,1.0
mu[910],60.668,1.622,57.593,63.63,0.019,0.028,7304.0,3057.0,1.0
mu[911],64.423,1.583,61.465,67.394,0.018,0.027,7413.0,3026.0,1.0
mu[912],60.243,1.606,57.279,63.237,0.019,0.026,7395.0,3152.0,1.0
mu[913],63.998,1.56,61.108,66.96,0.018,0.025,7277.0,3402.0,1.0
mu[914],63.906,1.707,60.682,66.927,0.021,0.028,6402.0,3305.0,1.0
mu[915],64.363,1.575,61.307,67.204,0.018,0.027,7784.0,2745.0,1.0
mu[916],65.367,1.593,62.425,68.426,0.019,0.028,7345.0,2691.0,1.0
mu[917],63.354,1.614,60.404,66.503,0.019,0.028,7012.0,2764.0,1.0
mu[918],61.294,1.586,58.157,64.085,0.022,0.026,5405.0,2581.0,1.0
mu[919],62.304,1.545,59.492,65.192,0.02,0.026,6087.0,2699.0,1.0
mu[920],63.308,1.563,60.593,66.41,0.021,0.026,5586.0,2650.0,1.0
mu[921],66.769,1.565,63.981,69.756,0.017,0.027,8948.0,3118.0,1.0
mu[922],67.773,1.583,64.58,70.548,0.018,0.027,7652.0,2857.0,1.0
mu[923],65.759,1.605,62.577,68.625,0.019,0.027,7297.0,2876.0,1.0
mu[924],65.999,1.623,62.79,68.846,0.019,0.027,7137.0,3165.0,1.0
mu[925],67.008,1.578,64.15,69.949,0.018,0.028,8015.0,3232.0,1.0
mu[926],68.012,1.605,64.973,70.965,0.018,0.027,7518.0,3133.0,1.0
mu[927],67.587,1.566,64.652,70.505,0.018,0.025,7214.0,3143.0,1.0
mu[928],66.583,1.554,63.817,69.586,0.017,0.026,7905.0,3152.0,1.0
mu[929],65.574,1.587,62.542,68.455,0.019,0.025,6914.0,3157.0,1.0
mu[930],59.014,1.666,55.983,62.151,0.02,0.028,7187.0,2851.0,1.0
mu[931],62.676,1.79,59.384,66.002,0.022,0.03,6570.0,2642.0,1.0
mu[932],62.769,1.62,59.694,65.729,0.019,0.028,7113.0,2671.0,1.0
mu[933],60.617,1.787,57.324,63.928,0.023,0.029,5799.0,2939.0,1.0
mu[934],56.955,1.664,53.901,60.06,0.021,0.026,6072.0,2881.0,1.0
mu[935],60.709,1.617,57.612,63.632,0.021,0.025,6007.0,3011.0,1.0
mu[936],65.174,1.595,62.029,67.984,0.019,0.027,6823.0,2787.0,1.0
mu[937],61.42,1.639,58.145,64.317,0.02,0.027,6894.0,2548.0,1.0
mu[938],65.082,1.753,61.827,68.354,0.022,0.03,6503.0,3264.0,1.0
mu[939],65.413,1.61,62.386,68.351,0.019,0.026,7287.0,3095.0,1.0
mu[940],65.321,1.792,61.983,68.615,0.022,0.03,6724.0,3131.0,1.0
mu[941],61.659,1.651,58.52,64.756,0.019,0.026,7337.0,3273.0,1.0
mu[942],64.896,1.79,61.428,68.099,0.022,0.031,6895.0,2982.0,1.0
mu[943],61.234,1.678,58.254,64.432,0.02,0.027,7463.0,3108.0,1.0
mu[944],64.989,1.632,62.022,68.026,0.019,0.027,7617.0,2898.0,1.0
mu[945],65.354,1.627,62.275,68.425,0.019,0.029,7537.0,2591.0,1.0
mu[946],64.344,1.664,61.116,67.344,0.02,0.029,7123.0,2621.0,1.0
mu[947],66.358,1.642,63.219,69.374,0.019,0.029,7244.0,2468.0,1.0
mu[948],62.285,1.663,59.232,65.432,0.022,0.026,5950.0,2910.0,1.0
mu[949],64.299,1.64,61.246,67.394,0.021,0.027,6048.0,2912.0,1.0
mu[950],63.294,1.625,60.372,66.442,0.02,0.026,6257.0,3063.0,1.0
mu[951],68.764,1.617,65.841,71.885,0.019,0.029,7123.0,2848.0,1.0
mu[952],66.75,1.64,63.546,69.654,0.02,0.029,6969.0,2750.0,1.0
mu[953],67.759,1.602,64.669,70.625,0.019,0.028,7314.0,2788.0,1.0
mu[954],69.003,1.641,66.143,72.16,0.019,0.026,7444.0,2487.0,1.0
mu[955],67.998,1.617,65.039,70.98,0.018,0.026,7796.0,2886.0,1.0
mu[956],66.989,1.66,64.038,70.11,0.019,0.026,7336.0,2796.0,1.0
mu[957],67.574,1.638,64.757,70.835,0.018,0.027,7943.0,2943.0,1.0
mu[958],66.564,1.668,63.51,69.654,0.019,0.027,7518.0,2849.0,1.0
mu[959],68.578,1.648,65.644,71.706,0.019,0.028,7713.0,2810.0,1.0
mu[960],61.886,1.624,58.862,64.949,0.018,0.026,7890.0,3216.0,1.0
mu[961],58.131,1.673,55.002,61.319,0.019,0.027,7687.0,3244.0,1.0
mu[962],61.794,1.774,58.56,65.197,0.022,0.028,6674.0,3142.0,1.0
mu[963],56.072,1.688,52.812,59.186,0.021,0.026,6385.0,3243.0,1.0
mu[964],59.827,1.639,56.625,62.706,0.021,0.025,5858.0,3361.0,1.0
mu[965],59.735,1.786,56.266,62.892,0.024,0.028,5456.0,3187.0,1.0
mu[966],64.2,1.762,60.987,67.617,0.021,0.029,6973.0,3211.0,1.0
mu[967],60.537,1.675,57.41,63.672,0.019,0.028,7900.0,3074.0,1.0
mu[968],64.292,1.628,61.16,67.286,0.018,0.027,8163.0,3129.0,1.0
mu[969],64.439,1.79,61.215,67.876,0.021,0.03,7110.0,3297.0,1.0
mu[970],64.531,1.631,61.523,67.642,0.018,0.026,8457.0,3418.0,1.0
mu[971],60.776,1.675,57.569,63.846,0.019,0.026,8174.0,3353.0,1.0
mu[972],64.106,1.621,61.19,67.226,0.019,0.026,7651.0,2987.0,1.0
mu[973],60.351,1.671,57.231,63.456,0.019,0.027,7558.0,3158.0,1.0
mu[974],64.014,1.759,60.623,67.22,0.022,0.029,6691.0,2999.0,1.0
mu[975],64.471,1.623,61.519,67.594,0.017,0.026,8945.0,3110.0,1.0
mu[976],63.462,1.67,60.285,66.588,0.019,0.027,7623.0,3050.0,1.0
mu[977],65.475,1.641,62.473,68.667,0.019,0.027,7597.0,3111.0,1.0
mu[978],62.412,1.639,59.179,65.246,0.021,0.025,6254.0,3290.0,1.0
mu[979],63.416,1.656,60.448,66.569,0.022,0.026,5714.0,3166.0,1.0
mu[980],61.402,1.686,58.232,64.5,0.022,0.026,5739.0,3057.0,1.0
mu[981],67.881,1.644,64.922,71.089,0.018,0.028,7889.0,3102.0,1.0
mu[982],66.877,1.628,63.871,69.968,0.017,0.028,9218.0,3242.0,1.0
mu[983],65.868,1.675,62.801,69.076,0.019,0.029,7950.0,3317.0,1.0
mu[984],66.107,1.683,63.014,69.343,0.019,0.028,8169.0,3252.0,1.0
mu[985],67.116,1.63,64.121,70.132,0.017,0.026,9535.0,3299.0,1.0
mu[986],68.12,1.656,64.94,71.151,0.018,0.027,8133.0,3388.0,1.0
mu[987],66.691,1.619,63.765,69.751,0.017,0.026,8745.0,2942.0,1.0
mu[988],67.695,1.63,64.683,70.79,0.019,0.028,7276.0,2980.0,1.0
mu[989],65.682,1.659,62.645,68.904,0.02,0.029,7204.0,2842.0,1.0
mu[990],57.513,1.609,54.492,60.427,0.018,0.028,7579.0,3093.0,1.01
mu[991],57.421,1.773,54.253,60.825,0.022,0.027,6649.0,3341.0,1.0
mu[992],53.758,1.654,50.656,56.79,0.019,0.027,7455.0,3413.0,1.0
mu[993],51.699,1.651,48.608,54.786,0.021,0.025,6299.0,3264.0,1.0
mu[994],55.454,1.605,52.447,58.473,0.021,0.026,5806.0,3075.0,1.0
