,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu[440],64.034,1.597,60.91,66.871,0.021,0.028,5706.0,2981.0,1.0
mu[441],65.483,1.691,62.373,68.723,0.021,0.028,6298.0,3052.0,1.0
mu[442],75.649,1.702,72.558,78.94,0.021,0.03,6765.0,3007.0,1.0
mu[443],68.5,1.613,65.688,71.694,0.018,0.029,7829.0,2908.0,1.0
mu[444],68.739,1.602,65.66,71.608,0.018,0.029,7603.0,2790.0,1.0
mu[445],75.888,1.7,72.707,79.026,0.021,0.031,6650.0,2659.0,1.0
mu[446],65.722,1.689,62.605,68.87,0.022,0.028,6082.0,3014.0,1.0
mu[447],75.463,1.69,72.386,78.616,0.021,0.033,6462.0,2464.0,1.0
mu[448],65.297,1.677,62.22,68.471,0.022,0.031,5672.0,2592.0,1.0
mu[449],68.314,1.606,65.317,71.32,0.019,0.032,7558.0,2430.0,1.0
mu[450],68.615,1.655,65.794,71.986,0.02,0.027,6859.0,3016.0,1.0
mu[451],65.138,1.601,62.03,68.004,0.019,0.026,7478.0,3053.0,1.0
mu[452],75.042,1.648,72.003,78.012,0.02,0.028,6668.0,2853.0,1.0
mu[453],66.555,1.661,63.426,69.681,0.023,0.026,5261.0,3191.0,1.0
mu[454],72.983,1.651,70.091,76.238,0.023,0.027,5338.0,3091.0,1.0
mu[455],63.078,1.606,60.24,66.249,0.022,0.025,5587.0,3324.0,1.0
mu[456],71.02,1.656,68.051,74.274,0.02,0.026,7130.0,3156.0,1.0
mu[457],67.543,1.6,64.405,70.454,0.018,0.026,7734.0,3083.0,1.0
mu[458],77.448,1.652,74.197,80.375,0.02,0.028,6887.0,3060.0,1.0
mu[459],71.26,1.654,68.204,74.497,0.02,0.027,7143.0,3423.0,1.0
mu[460],67.783,1.594,64.938,70.904,0.018,0.026,7884.0,3036.0,1.0
mu[461],77.687,1.646,74.49,80.674,0.02,0.028,7039.0,3172.0,1.0
mu[462],77.262,1.659,74.133,80.33,0.02,0.029,6901.0,2963.0,1.0
mu[463],70.835,1.655,67.81,73.968,0.02,0.028,7075.0,3062.0,1.0
mu[464],67.358,1.605,64.261,70.21,0.018,0.028,7847.0,2856.0,1.0
mu[465],71.803,1.633,68.898,75.029,0.02,0.028,6789.0,2756.0,1.0
mu[466],61.638,1.655,58.476,64.628,0.021,0.026,6298.0,2964.0,1.0
mu[467],64.654,1.584,61.566,67.53,0.018,0.026,7556.0,3236.0,1.0
mu[468],62.595,1.588,59.607,65.566,0.021,0.025,5625.0,3315.0,1.0
mu[469],59.578,1.659,56.534,62.786,0.023,0.026,4977.0,2956.0,1.0
mu[470],69.744,1.635,66.613,72.728,0.022,0.028,5312.0,3125.0,1.0
mu[471],67.06,1.583,63.953,69.971,0.018,0.026,7868.0,3106.0,1.0
mu[472],64.043,1.652,60.866,67.16,0.02,0.026,6840.0,3066.0,1.0
mu[473],74.209,1.636,71.154,77.326,0.02,0.028,6994.0,2833.0,1.0
mu[474],74.448,1.641,71.454,77.581,0.019,0.028,7118.0,3139.0,1.0
mu[475],67.299,1.579,64.523,70.398,0.018,0.026,7982.0,3309.0,1.0
mu[476],64.283,1.657,61.292,67.472,0.02,0.027,6856.0,3169.0,1.0
mu[477],66.874,1.588,63.919,69.901,0.018,0.029,7867.0,2804.0,1.0
mu[478],74.024,1.636,70.989,77.076,0.02,0.03,6851.0,2612.0,1.0
mu[479],63.858,1.65,60.721,66.854,0.02,0.028,6723.0,2865.0,1.0
mu[480],59.339,1.648,56.115,62.282,0.02,0.027,6535.0,3205.0,1.0
