quantity,parameterisation,true_value,posterior_mean,hdi_3%,hdi_97%,absolute_error,credible_interval_contains_true
z_RMS_main_slope,direct coefficient,2.5,3.039444966926644,2.469937610591916,3.6222329458771494,0.5394449669266441,True
z_CF_main_slope,direct coefficient,-1.8,-2.206586923294498,-2.7903435060266233,-1.6150745502100583,0.40658692329449786,True
z_SW_slope_in_Relaxation,derived model-implied episode-specific slope,2.2,1.6768357736717778,0.4482784200915175,2.881375081865599,0.5231642263282223,True
z_SI_slope_in_Relaxation,derived model-implied episode-specific slope,-1.2,-0.9704823585337949,-2.2515859018123763,0.3056410470701528,0.229517641466205,True
z_SW_slope_in_Distraction,derived model-implied episode-specific slope,2.2,2.1828254425302767,1.0382708609428994,3.3590960738686384,0.017174557469723517,True
z_SI_slope_in_Distraction,derived model-implied episode-specific slope,0.6000000000000001,0.8002292234403175,-0.3978562104763691,1.9247118111701074,0.20022922344031746,True
z_SW_slope_in_Enjoyment,derived model-implied episode-specific slope,2.2,2.331684842593289,1.0940508934336235,3.4454806748413125,0.13168484259328883,True
z_SI_slope_in_Enjoyment,derived model-implied episode-specific slope,-1.2,-1.3264088514734687,-2.567409734977163,-0.1694731838927478,0.1264088514734687,True
z_SW_slope_in_Focus,derived model-implied episode-specific slope,4.2,3.6388902320460175,2.4738176485094865,4.8838651422763455,0.5611097679539827,True
z_SI_slope_in_Focus,derived model-implied episode-specific slope,-1.2,-1.2079845294323655,-2.468818888436463,-0.01728300509288594,0.007984529432365495,True
z_SW_slope_in_Motivation,derived model-implied episode-specific slope,4.7,5.240805361324808,3.9251769111850976,6.421385404482083,0.540805361324808,True
z_SI_slope_in_Motivation,derived model-implied episode-specific slope,-1.2,-0.6438926017091585,-1.882820295121484,0.5865798082527196,0.5561073982908414,True
