,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
reduced_interaction,0,-4282.3860726231605,53.209059191139204,0.0,0.8178000304530866,24.632084378378345,0.0,False,log
additive,1,-4293.736883922798,45.57993901325699,11.350811299636877,0.18219996954691356,24.702973332104666,6.037611769742145,False,log
