model,formula
additive,rating ~ episode + z_RMS + z_CF + z_SW + z_SI + (1 | participant_id)
reduced_interaction,rating ~ episode + z_RMS + z_CF + z_SW + z_SI + episode:z_SW + episode:z_SI + (1 | participant_id)
