,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu[598],65.907,1.651,62.717,68.898,0.021,0.025,5971.0,3135.0,1.0
mu[599],66.53,1.634,63.315,69.455,0.02,0.026,6765.0,2968.0,1.0
mu[600],65.302,1.776,61.904,68.467,0.023,0.027,5733.0,3209.0,1.0
mu[601],63.988,2.271,59.824,68.306,0.03,0.031,5845.0,3417.0,1.0
mu[602],67.477,1.576,64.465,70.323,0.021,0.024,5566.0,3006.0,1.0
mu[603],61.863,1.762,58.685,65.292,0.037,0.024,2249.0,3279.0,1.0
mu[604],68.224,2.25,64.013,72.403,0.055,0.033,1700.0,2634.0,1.0
mu[605],64.449,1.58,61.41,67.264,0.024,0.024,4428.0,2936.0,1.0
mu[606],69.834,1.583,66.839,72.683,0.02,0.025,6039.0,3054.0,1.0
mu[607],66.835,1.784,63.432,70.009,0.022,0.026,6377.0,3170.0,1.0
mu[608],66.204,2.303,61.814,70.386,0.029,0.035,6347.0,3249.0,1.0
mu[609],65.041,1.791,61.645,68.44,0.023,0.027,5927.0,2854.0,1.0
mu[610],68.67,2.253,64.388,72.86,0.029,0.035,5884.0,3449.0,1.0
mu[611],69.592,1.613,66.501,72.515,0.021,0.026,5934.0,3077.0,1.0
mu[612],61.985,1.79,58.215,65.076,0.024,0.029,5499.0,2920.0,1.0
mu[613],72.297,2.293,68.128,76.815,0.029,0.033,6058.0,3363.0,1.0
mu[614],68.392,1.586,65.331,71.329,0.021,0.026,5853.0,3171.0,1.0
mu[615],70.389,1.57,67.551,73.443,0.02,0.025,6173.0,2861.0,1.0
mu[616],69.081,1.678,66.105,72.35,0.022,0.026,5943.0,3033.0,1.0
mu[617],68.047,1.658,65.05,71.221,0.022,0.026,5896.0,2864.0,1.0
mu[618],66.94,1.581,64.032,69.899,0.023,0.024,4613.0,3088.0,1.0
mu[619],65.32,1.655,62.176,68.461,0.029,0.025,3274.0,2869.0,1.0
mu[620],67.529,1.69,64.414,70.702,0.031,0.025,2937.0,2742.0,1.0
mu[621],72.19,1.675,69.097,75.341,0.022,0.027,5905.0,3263.0,1.0
mu[622],72.677,1.581,69.67,75.547,0.019,0.026,6728.0,3204.0,1.0
mu[623],70.924,1.648,67.77,73.953,0.021,0.027,5941.0,3320.0,1.0
mu[624],73.811,1.725,70.585,77.083,0.022,0.028,6246.0,3267.0,1.0
mu[625],71.679,1.695,68.711,75.086,0.022,0.028,6229.0,3157.0,1.0
mu[626],72.15,1.608,69.106,75.077,0.02,0.026,6673.0,3307.0,1.0
mu[627],71.679,1.669,68.384,74.725,0.021,0.028,6226.0,3125.0,1.0
mu[628],75.077,1.704,71.837,78.259,0.022,0.029,6150.0,3164.0,1.0
mu[629],70.524,1.58,67.228,73.25,0.02,0.027,6539.0,3075.0,1.0
mu[630],57.922,1.558,54.933,60.803,0.02,0.026,5814.0,2960.0,1.0
mu[631],54.433,2.346,50.008,58.846,0.029,0.036,6445.0,3279.0,1.0
mu[632],55.747,1.785,52.15,58.899,0.023,0.028,5960.0,3007.0,1.0
mu[633],58.67,2.248,54.35,62.811,0.056,0.029,1599.0,2656.0,1.0
mu[634],54.894,1.56,51.849,57.713,0.023,0.025,4766.0,2788.0,1.0
mu[635],52.309,1.758,49.11,55.56,0.034,0.026,2605.0,2906.0,1.0
mu[636],57.28,1.769,54.122,60.691,0.022,0.027,6415.0,3190.0,1.0
mu[637],56.65,2.306,52.349,61.103,0.031,0.034,5408.0,3499.0,1.0
mu[638],60.279,1.557,57.294,63.168,0.019,0.025,6440.0,2886.0,1.0
mu[639],59.116,2.236,54.723,63.053,0.029,0.031,6019.0,3388.0,1.0
mu[640],60.038,1.576,57.092,63.004,0.02,0.026,6389.0,3212.0,1.0
mu[641],55.487,1.769,52.313,58.945,0.023,0.028,6153.0,3334.0,1.0
mu[642],58.838,1.587,55.92,61.941,0.02,0.026,6615.0,3073.0,1.0
mu[643],52.43,1.802,49.071,55.887,0.024,0.03,5858.0,2979.0,1.0
mu[644],62.743,2.236,58.269,66.629,0.029,0.033,5843.0,2944.0,1.0
mu[645],58.493,1.634,55.392,61.458,0.021,0.026,6016.0,2663.0,1.0
mu[646],60.834,1.558,58.048,63.939,0.02,0.025,6246.0,2809.0,1.0
mu[647],59.527,1.662,56.533,62.743,0.022,0.027,5973.0,3030.0,1.0
mu[648],55.766,1.634,52.612,58.75,0.03,0.024,3033.0,2889.0,1.0
mu[649],57.386,1.571,54.506,60.329,0.022,0.024,5039.0,2785.0,1.0
mu[650],57.975,1.665,54.755,61.019,0.032,0.024,2663.0,2715.0,1.0
mu[651],62.635,1.654,59.576,65.911,0.02,0.026,6584.0,3411.0,1.0
mu[652],61.369,1.627,58.271,64.382,0.02,0.025,6789.0,3424.0,1.0
mu[653],63.122,1.565,60.108,65.997,0.019,0.024,6695.0,3334.0,1.0
mu[654],62.124,1.661,59.103,65.342,0.02,0.025,6841.0,3566.0,1.0
mu[655],62.595,1.581,59.569,65.448,0.019,0.025,6775.0,3190.0,1.0
mu[656],64.257,1.688,61.298,67.509,0.021,0.025,6568.0,3359.0,1.0
mu[657],62.125,1.672,58.917,65.259,0.02,0.027,6967.0,3361.0,1.0
mu[658],60.97,1.597,58.065,64.083,0.019,0.026,6947.0,2954.0,1.0
mu[659],65.523,1.69,62.326,68.715,0.021,0.028,6716.0,3280.0,1.0
mu[660],57.546,1.848,54.057,61.044,0.023,0.029,6186.0,2843.0,1.0
mu[661],59.721,1.637,56.706,62.861,0.021,0.026,6127.0,3224.0,1.0
mu[662],56.232,2.37,51.74,60.631,0.03,0.035,6419.0,3380.0,1.0
mu[663],56.693,1.61,53.714,59.697,0.024,0.024,4657.0,3296.0,1.0
mu[664],60.468,2.23,56.355,64.542,0.055,0.033,1663.0,2710.0,1.0
mu[665],54.107,1.795,50.728,57.416,0.033,0.025,2943.0,3314.0,1.0
mu[666],59.079,1.826,55.633,62.437,0.023,0.027,6358.0,3371.0,1.0
mu[667],58.448,2.319,54.086,62.731,0.03,0.035,5763.0,3787.0,1.0
mu[668],62.078,1.618,58.995,65.117,0.02,0.024,6738.0,3392.0,1.0
mu[669],60.914,2.277,56.881,65.443,0.03,0.036,5947.0,3283.0,1.0
mu[670],61.836,1.628,58.929,65.025,0.021,0.025,6300.0,3260.0,1.0
mu[671],57.285,1.823,53.835,60.662,0.023,0.026,6193.0,3467.0,1.0
mu[672],60.636,1.629,57.511,63.548,0.021,0.025,6261.0,3089.0,1.0
mu[673],54.229,1.812,50.996,57.795,0.023,0.026,6346.0,3209.0,1.0
mu[674],64.542,2.298,60.145,68.685,0.028,0.033,6679.0,3541.0,1.0
mu[675],61.326,1.731,57.977,64.453,0.021,0.027,6553.0,3190.0,1.0
mu[676],62.633,1.628,59.553,65.68,0.019,0.027,7043.0,3108.0,1.0
mu[677],60.291,1.706,57.238,63.589,0.021,0.028,6621.0,3104.0,1.0
mu[678],59.773,1.704,56.675,63.023,0.035,0.025,2361.0,2914.0,1.0
mu[679],57.565,1.681,54.393,60.645,0.032,0.025,2765.0,3057.0,1.0
mu[680],59.185,1.613,56.306,62.263,0.023,0.024,5070.0,3358.0,1.0
mu[681],64.434,1.696,61.189,67.581,0.02,0.026,7119.0,3339.0,1.0
mu[682],63.168,1.676,60.154,66.418,0.02,0.026,7265.0,3402.0,1.0
mu[683],64.921,1.617,62.028,68.1,0.018,0.025,7763.0,3271.0,1.0
mu[684],64.394,1.623,61.439,67.525,0.019,0.026,7130.0,3248.0,1.0
mu[685],63.923,1.699,60.787,67.13,0.021,0.027,6794.0,3069.0,1.0
mu[686],66.056,1.725,62.924,69.378,0.021,0.027,6522.0,3051.0,1.0
mu[687],62.768,1.622,59.466,65.501,0.019,0.025,7391.0,3271.0,1.0
mu[688],63.923,1.722,60.749,67.132,0.021,0.027,6537.0,3043.0,1.0
mu[689],67.322,1.755,64.293,70.842,0.022,0.027,6356.0,3198.0,1.0
mu[690],65.162,1.773,61.781,68.389,0.024,0.026,5342.0,3289.0,1.0
mu[691],63.848,2.329,59.829,68.477,0.031,0.033,5648.0,3325.0,1.0
mu[692],67.337,1.575,64.367,70.246,0.021,0.026,5629.0,2956.0,1.0
mu[693],68.085,2.245,63.642,72.054,0.055,0.03,1645.0,2700.0,1.0
mu[694],61.724,1.792,58.381,65.068,0.037,0.026,2404.0,2658.0,1.0
mu[695],64.309,1.605,61.188,67.182,0.024,0.025,4329.0,2862.0,1.0
mu[696],66.065,2.36,61.499,70.418,0.03,0.035,5985.0,3206.0,1.0
mu[697],69.694,1.597,66.567,72.565,0.02,0.027,6307.0,2778.0,1.0
mu[698],66.695,1.788,63.148,69.924,0.023,0.029,5940.0,3260.0,1.0
