,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu[830],58.283,1.634,55.222,61.346,0.022,0.025,5618.0,3375.0,1.0
mu[831],63.533,1.699,60.461,66.888,0.02,0.028,7269.0,3110.0,1.0
mu[832],64.02,1.651,60.886,67.114,0.019,0.027,7431.0,2871.0,1.0
mu[833],62.266,1.688,58.813,65.132,0.02,0.028,6999.0,2971.0,1.0
mu[834],63.492,1.629,60.244,66.348,0.018,0.027,7865.0,3269.0,1.0
mu[835],63.021,1.703,60.106,66.445,0.02,0.03,7078.0,2823.0,1.0
mu[836],65.154,1.737,62.094,68.4,0.021,0.03,7077.0,3030.0,1.0
mu[837],63.022,1.692,59.746,66.118,0.02,0.027,7146.0,2784.0,1.0
mu[838],61.867,1.607,58.76,64.724,0.019,0.027,7448.0,3120.0,1.0
mu[839],66.42,1.728,63.027,69.512,0.02,0.026,7257.0,2867.0,1.0
mu[840],70.161,1.84,66.792,73.64,0.022,0.029,7030.0,3295.0,1.0
mu[841],68.847,2.37,64.297,73.097,0.03,0.036,6362.0,3416.0,1.0
mu[842],72.336,1.637,69.486,75.589,0.02,0.027,6920.0,3140.0,1.0
mu[843],66.722,1.829,62.999,69.784,0.036,0.027,2545.0,2614.0,1.0
mu[844],69.308,1.617,66.376,72.368,0.023,0.026,4923.0,3048.0,1.0
mu[845],73.083,2.311,68.977,77.699,0.058,0.035,1610.0,2264.0,1.0
mu[846],71.694,1.773,68.461,75.164,0.022,0.026,6707.0,3275.0,1.0
mu[847],71.063,2.289,66.742,75.367,0.028,0.034,6683.0,3309.0,1.0
mu[848],74.693,1.597,71.754,77.729,0.02,0.025,6610.0,3074.0,1.0
mu[849],69.9,1.869,66.495,73.53,0.022,0.031,6863.0,3048.0,1.0
mu[850],73.529,2.285,69.049,77.552,0.029,0.034,6244.0,3305.0,1.0
mu[851],74.451,1.642,71.467,77.609,0.02,0.027,6921.0,3010.0,1.0
mu[852],66.844,1.831,63.188,70.12,0.023,0.031,6504.0,3247.0,1.0
mu[853],77.157,2.381,72.71,81.597,0.029,0.038,6699.0,3167.0,1.0
mu[854],73.251,1.606,70.282,76.41,0.019,0.029,6977.0,2736.0,1.0
mu[855],73.941,1.74,70.608,77.115,0.022,0.03,6338.0,2917.0,1.0
mu[856],72.906,1.713,69.591,76.036,0.021,0.03,6374.0,2882.0,1.0
mu[857],75.248,1.625,72.299,78.4,0.02,0.029,6944.0,2950.0,1.0
mu[858],72.388,1.698,69.318,75.605,0.03,0.027,3119.0,2793.0,1.0
mu[859],70.18,1.669,67.069,73.234,0.028,0.027,3657.0,2816.0,1.0
mu[860],71.8,1.615,68.806,74.709,0.023,0.026,4789.0,2903.0,1.0
mu[861],77.049,1.707,73.875,80.353,0.021,0.027,6289.0,2915.0,1.0
mu[862],75.783,1.679,72.733,79.084,0.021,0.027,6260.0,3003.0,1.0
mu[863],77.536,1.591,74.734,80.706,0.02,0.026,6406.0,3222.0,1.0
mu[864],78.671,1.704,75.708,82.071,0.021,0.026,6483.0,3116.0,1.0
mu[865],76.538,1.691,73.369,79.717,0.021,0.027,6596.0,2783.0,1.0
mu[866],77.009,1.639,74.019,80.206,0.02,0.028,6783.0,3105.0,1.0
mu[867],76.538,1.676,73.422,79.713,0.021,0.03,6515.0,3049.0,1.0
mu[868],75.383,1.594,72.457,78.487,0.019,0.03,6852.0,2923.0,1.0
mu[869],79.937,1.717,76.873,83.289,0.022,0.03,6302.0,2779.0,1.0
mu[870],63.494,1.589,60.488,66.395,0.02,0.027,6030.0,3107.0,1.0
mu[871],61.319,1.77,58.05,64.759,0.023,0.027,5784.0,3405.0,1.0
mu[872],60.005,2.313,55.747,64.257,0.029,0.033,6205.0,3437.0,1.0
mu[873],64.242,2.24,60.03,68.459,0.057,0.034,1521.0,2341.0,1.0
mu[874],57.881,1.76,54.36,60.99,0.036,0.025,2399.0,3201.0,1.0
mu[875],60.466,1.568,57.307,63.219,0.023,0.025,4818.0,3287.0,1.0
mu[876],62.222,2.33,58.008,66.805,0.029,0.033,6290.0,3590.0,1.0
mu[877],62.852,1.786,59.287,65.973,0.023,0.025,5818.0,3380.0,1.0
mu[878],65.851,1.574,62.836,68.757,0.02,0.024,6100.0,3235.0,1.0
mu[879],64.688,2.335,60.405,69.204,0.03,0.036,5848.0,3255.0,1.0
mu[880],65.61,1.567,62.63,68.525,0.02,0.025,6124.0,3211.0,1.0
mu[881],61.059,1.796,57.624,64.392,0.024,0.03,5625.0,3316.0,1.0
mu[882],68.315,2.256,64.022,72.532,0.028,0.035,6548.0,3235.0,1.0
mu[883],58.002,1.806,54.695,61.531,0.024,0.031,5689.0,2834.0,1.0
mu[884],64.41,1.596,61.268,67.29,0.021,0.026,5900.0,3121.0,1.0
mu[885],65.099,1.716,61.956,68.435,0.022,0.029,6363.0,3238.0,1.0
mu[886],66.406,1.583,63.34,69.367,0.02,0.027,6385.0,3051.0,1.0
mu[887],64.065,1.684,60.868,67.223,0.021,0.029,6310.0,3100.0,1.0
mu[888],61.338,1.639,58.251,64.369,0.028,0.025,3346.0,3167.0,1.0
mu[889],62.958,1.574,59.829,65.812,0.022,0.026,5040.0,3395.0,1.0
mu[890],63.547,1.671,60.258,66.543,0.031,0.025,2904.0,2755.0,1.0
mu[891],68.694,1.576,65.55,71.422,0.02,0.025,6392.0,3215.0,1.0
mu[892],66.941,1.635,64.025,70.077,0.021,0.025,6356.0,3289.0,1.0
mu[893],68.207,1.665,65.259,71.449,0.021,0.026,6451.0,3338.0,1.0
mu[894],69.829,1.662,66.846,73.054,0.02,0.026,6574.0,3293.0,1.0
mu[895],68.167,1.563,65.367,71.26,0.019,0.025,6580.0,3091.0,1.0
mu[896],67.696,1.623,64.727,70.872,0.02,0.025,6551.0,3403.0,1.0
mu[897],67.697,1.677,64.454,70.736,0.022,0.025,5981.0,3066.0,1.0
mu[898],71.095,1.7,67.978,74.403,0.022,0.025,6072.0,3126.0,1.0
mu[899],66.542,1.599,63.44,69.432,0.02,0.026,6080.0,3439.0,1.0
mu[900],62.344,1.597,59.354,65.33,0.021,0.025,5709.0,2646.0,1.0
mu[901],58.855,2.346,54.531,63.264,0.03,0.037,6114.0,3252.0,1.0
mu[902],60.169,1.816,56.739,63.51,0.024,0.027,6012.0,3245.0,1.0
mu[903],63.092,2.224,58.894,67.208,0.057,0.033,1539.0,1836.0,1.0
mu[904],59.316,1.594,56.345,62.326,0.023,0.024,4777.0,3156.0,1.0
mu[905],56.731,1.798,53.014,59.84,0.037,0.025,2331.0,3174.0,1.0
mu[906],64.701,1.595,61.647,67.626,0.021,0.026,5910.0,2975.0,1.0
mu[907],61.072,2.286,56.764,65.276,0.031,0.032,5490.0,3279.0,1.0
mu[908],61.702,1.789,58.208,64.937,0.023,0.029,5913.0,3110.0,1.0
mu[909],63.537,2.246,59.435,67.846,0.029,0.031,5882.0,3519.0,1.0
mu[910],59.908,1.808,56.61,63.405,0.024,0.031,5898.0,3227.0,1.0
mu[911],64.46,1.608,61.261,67.24,0.021,0.025,5876.0,3374.0,1.0
mu[912],56.852,1.839,53.122,60.012,0.024,0.03,5711.0,2819.0,1.0
mu[913],63.259,1.622,60.244,66.312,0.021,0.026,6080.0,3139.0,1.0
mu[914],67.165,2.331,62.932,71.688,0.03,0.035,6107.0,3410.0,1.0
mu[915],65.256,1.605,62.292,68.249,0.02,0.025,6384.0,3019.0,1.0
mu[916],63.949,1.698,60.821,67.137,0.022,0.027,5771.0,3097.0,1.0
mu[917],62.915,1.675,59.785,66.003,0.022,0.027,5803.0,3071.0,1.0
mu[918],60.188,1.663,56.99,63.164,0.029,0.024,3291.0,3110.0,1.0
mu[919],61.808,1.615,58.605,64.677,0.023,0.024,5082.0,3302.0,1.0
mu[920],62.396,1.68,59.268,65.508,0.031,0.025,2884.0,2550.0,1.0
mu[921],67.544,1.61,64.522,70.513,0.02,0.026,6550.0,3037.0,1.0
mu[922],67.057,1.694,63.906,70.243,0.022,0.027,6049.0,2972.0,1.0
mu[923],65.791,1.674,62.717,68.935,0.022,0.028,6080.0,3067.0,1.0
mu[924],66.546,1.688,63.433,69.7,0.022,0.026,6081.0,3323.0,1.0
mu[925],67.017,1.621,63.866,69.928,0.02,0.026,6557.0,3388.0,1.0
mu[926],68.679,1.708,65.434,71.843,0.022,0.025,6089.0,3450.0,1.0
mu[927],69.945,1.732,66.638,73.098,0.022,0.027,6287.0,3270.0,1.0
mu[928],65.391,1.632,62.313,68.454,0.02,0.026,6610.0,3275.0,1.0
mu[929],66.547,1.703,63.145,69.55,0.022,0.027,6253.0,3384.0,1.0
mu[930],61.159,1.846,57.745,64.618,0.024,0.029,5857.0,2725.0,1.0
mu[931],59.845,2.3,55.717,64.422,0.03,0.033,5882.0,3599.0,1.0
mu[932],63.334,1.61,60.241,66.308,0.022,0.027,5610.0,2697.0,1.0
mu[933],64.082,2.238,59.906,68.266,0.055,0.031,1673.0,2160.0,1.0
mu[934],57.721,1.786,54.536,61.257,0.034,0.026,2733.0,3148.0,1.0
mu[935],60.306,1.598,57.145,63.142,0.025,0.025,4209.0,3144.0,1.0
mu[936],65.691,1.601,62.482,68.45,0.021,0.027,5986.0,3077.0,1.0
mu[937],62.692,1.802,59.403,66.09,0.024,0.028,5834.0,3190.0,1.0
mu[938],62.062,2.305,57.562,66.19,0.03,0.035,5837.0,3399.0,1.0
mu[939],65.45,1.611,62.396,68.519,0.022,0.029,5535.0,2688.0,1.0
mu[940],64.528,2.285,60.25,68.819,0.031,0.034,5422.0,3234.0,1.0
mu[941],60.899,1.84,57.4,64.343,0.026,0.031,5126.0,2722.0,1.0
mu[942],68.155,2.27,64.193,72.796,0.031,0.033,5266.0,3280.0,1.0
mu[943],57.842,1.809,54.502,61.208,0.024,0.028,5495.0,3192.0,1.0
mu[944],64.25,1.6,61.234,67.247,0.021,0.025,6052.0,3120.0,1.0
mu[945],66.246,1.601,63.185,69.173,0.021,0.027,5872.0,2882.0,1.0
mu[946],63.905,1.663,60.779,67.085,0.023,0.027,5287.0,2917.0,1.0
mu[947],64.939,1.67,61.801,68.094,0.023,0.027,5458.0,3091.0,1.0
mu[948],61.178,1.664,58.14,64.306,0.036,0.025,2113.0,3017.0,1.0
mu[949],63.387,1.691,60.309,66.562,0.04,0.024,1827.0,2806.0,1.0
mu[950],62.798,1.593,59.841,65.801,0.024,0.025,4322.0,3106.0,1.0
mu[951],68.047,1.685,65.038,71.348,0.023,0.028,5598.0,2808.0,1.0
mu[952],66.781,1.662,63.773,69.932,0.023,0.028,5461.0,2917.0,1.0
mu[953],68.534,1.592,65.517,71.436,0.02,0.027,6359.0,3228.0,1.0
mu[954],69.669,1.678,66.57,72.724,0.022,0.03,5816.0,3129.0,1.0
mu[955],68.007,1.601,64.994,71.067,0.021,0.028,5661.0,2717.0,1.0
mu[956],67.536,1.658,64.357,70.523,0.022,0.03,5732.0,2820.0,1.0
mu[957],66.382,1.589,63.498,69.352,0.02,0.027,6095.0,2965.0,1.0
mu[958],67.537,1.676,64.381,70.653,0.022,0.028,5676.0,3096.0,1.0
mu[959],70.935,1.701,67.496,73.838,0.023,0.028,5685.0,3011.0,1.0
mu[960],62.401,1.588,59.351,65.193,0.019,0.025,6955.0,3310.0,1.0
mu[961],60.226,1.797,57.021,63.653,0.022,0.028,6718.0,3514.0,1.0
mu[962],58.912,2.356,54.669,63.305,0.03,0.031,5954.0,3506.0,1.0
mu[963],56.788,1.791,53.626,60.294,0.036,0.025,2488.0,2581.0,1.0
mu[964],59.373,1.585,56.611,62.498,0.022,0.024,5382.0,3565.0,1.0
mu[965],63.149,2.259,58.937,67.458,0.056,0.033,1619.0,2209.0,1.0
mu[966],61.128,2.319,57.032,65.584,0.03,0.034,6151.0,3543.0,1.0
mu[967],61.759,1.794,58.356,65.06,0.021,0.027,7257.0,2957.0,1.0
mu[968],64.758,1.611,61.541,67.588,0.019,0.025,7251.0,3341.0,1.0
mu[969],63.594,2.279,59.065,67.555,0.031,0.032,5348.0,3446.0,1.0
mu[970],64.517,1.589,61.616,67.356,0.019,0.025,7170.0,3253.0,1.0
mu[971],59.965,1.787,56.61,63.288,0.021,0.026,7209.0,3394.0,1.0
mu[972],63.316,1.581,60.504,66.396,0.018,0.025,7692.0,3366.0,1.0
mu[973],56.909,1.773,53.711,60.411,0.022,0.029,6680.0,3633.0,1.0
mu[974],67.222,2.364,62.848,71.733,0.03,0.036,6103.0,3228.0,1.0
mu[975],65.313,1.612,62.261,68.224,0.02,0.025,6659.0,3120.0,1.0
mu[976],62.972,1.689,59.893,66.134,0.022,0.026,6161.0,3033.0,1.0
mu[977],64.006,1.716,60.784,67.094,0.021,0.027,6423.0,3197.0,1.0
mu[978],61.865,1.621,58.845,64.847,0.022,0.024,5259.0,3029.0,1.0
mu[979],62.453,1.69,59.426,65.667,0.031,0.025,3050.0,2728.0,1.0
mu[980],60.245,1.668,57.105,63.281,0.028,0.025,3446.0,2995.0,1.0
mu[981],67.114,1.735,63.91,70.351,0.022,0.029,6247.0,2829.0,1.0
mu[982],67.601,1.642,64.509,70.756,0.02,0.026,6990.0,2641.0,1.0
mu[983],65.848,1.71,62.659,68.995,0.022,0.029,6079.0,3087.0,1.0
mu[984],66.603,1.686,63.454,69.585,0.021,0.027,6225.0,3142.0,1.0
mu[985],67.074,1.616,64.156,70.088,0.019,0.025,6976.0,3156.0,1.0
mu[986],68.736,1.713,65.374,71.7,0.022,0.028,6310.0,3217.0,1.0
mu[987],65.448,1.602,62.542,68.53,0.019,0.025,7226.0,3028.0,1.0
mu[988],70.002,1.746,66.78,73.271,0.022,0.028,6484.0,3186.0,1.0
mu[989],66.604,1.699,63.648,69.935,0.021,0.027,6425.0,3056.0,1.0
mu[990],58.091,1.62,55.13,61.182,0.021,0.029,6164.0,3014.0,1.0
mu[991],54.602,2.341,49.955,58.702,0.03,0.035,6013.0,3075.0,1.0
mu[992],55.916,1.831,52.555,59.385,0.024,0.028,6051.0,2981.0,1.0
mu[993],52.477,1.811,49.32,56.167,0.037,0.028,2462.0,2612.0,1.0
mu[994],55.063,1.619,52.162,58.177,0.025,0.026,4099.0,2818.0,1.0
mu[995],58.838,2.221,54.668,62.909,0.054,0.031,1671.0,2715.0,1.0
mu[996],60.448,1.62,57.54,63.62,0.02,0.026,6571.0,2776.0,1.0
mu[997],56.818,2.325,52.088,60.962,0.03,0.036,6117.0,3335.0,1.0
mu[998],57.449,1.823,54.089,60.822,0.023,0.028,6248.0,3172.0,1.0
mu[999],55.655,1.827,52.146,59.01,0.023,0.031,6194.0,2853.0,1.0
mu[1000],60.206,1.631,57.046,63.147,0.02,0.028,6548.0,2830.0,1.0
mu[1001],59.284,2.288,55.089,63.605,0.033,0.034,4786.0,3225.0,1.0
mu[1002],62.912,2.337,58.403,67.083,0.031,0.038,5587.0,3106.0,1.0
mu[1003],52.599,1.823,49.354,56.124,0.024,0.029,5909.0,3196.0,1.0
mu[1004],59.006,1.61,55.993,61.94,0.02,0.027,6455.0,2887.0,1.0
mu[1005],61.003,1.608,57.952,63.937,0.02,0.029,6510.0,2726.0,1.0
mu[1006],58.661,1.69,55.478,61.888,0.021,0.032,6360.0,2907.0,1.0
mu[1007],59.696,1.712,56.624,63.085,0.022,0.032,6404.0,2885.0,1.0
mu[1008],55.935,1.682,52.831,59.108,0.032,0.028,2707.0,3003.0,1.0
mu[1009],57.555,1.62,54.53,60.593,0.025,0.028,4086.0,2795.0,1.0
mu[1010],58.143,1.701,55.041,61.374,0.034,0.027,2499.0,2902.0,1.0
mu[1011],62.804,1.703,59.505,65.799,0.021,0.027,6538.0,2979.0,1.0
mu[1012],61.538,1.68,58.429,64.757,0.021,0.028,6541.0,3044.0,1.0
mu[1013],63.291,1.615,60.181,66.25,0.02,0.026,6694.0,2872.0,1.0
mu[1014],62.293,1.699,59.281,65.584,0.021,0.031,6624.0,3093.0,1.0
mu[1015],62.764,1.621,59.841,65.935,0.02,0.029,6871.0,2741.0,1.0
mu[1016],64.426,1.725,61.449,67.892,0.021,0.03,6775.0,3076.0,1.0
mu[1017],62.293,1.685,59.121,65.47,0.021,0.03,6390.0,3110.0,1.0
mu[1018],65.692,1.72,62.361,68.797,0.022,0.031,6285.0,2808.0,1.0
mu[1019],61.138,1.598,58.133,64.045,0.02,0.028,6663.0,3065.0,1.0
mu[1020],61.924,1.871,58.282,65.168,0.023,0.035,6457.0,2977.0,1.0
mu[1021],64.099,1.611,61.084,67.008,0.02,0.029,6282.0,2762.0,1.0
mu[1022],60.61,2.383,56.423,65.324,0.03,0.035,6232.0,3437.0,1.0
mu[1023],61.071,1.578,58.218,64.155,0.023,0.027,4648.0,3022.0,1.0
mu[1024],64.846,2.266,60.56,68.956,0.054,0.034,1740.0,2423.0,1.0
mu[1025],58.485,1.784,55.048,61.754,0.034,0.027,2688.0,2755.0,1.0
mu[1026],66.456,1.578,63.577,69.495,0.021,0.028,5698.0,2760.0,1.0
mu[1027],62.826,2.27,58.32,66.885,0.029,0.032,6040.0,3427.0,1.0
mu[1028],63.457,1.789,60.053,66.806,0.023,0.03,6017.0,2784.0,1.0
mu[1029],61.663,1.789,58.225,64.908,0.023,0.028,5930.0,3456.0,1.0
mu[1030],66.214,1.573,63.402,69.233,0.021,0.027,5742.0,2875.0,1.0
mu[1031],65.292,2.305,61.288,69.879,0.03,0.034,6003.0,3622.0,1.0
mu[1032],65.014,1.6,62.018,68.055,0.02,0.029,6306.0,2679.0,1.0
mu[1033],68.92,2.335,64.759,73.495,0.03,0.036,6102.0,3064.0,1.0
mu[1034],58.607,1.78,55.311,61.96,0.024,0.029,5675.0,2898.0,1.0
mu[1035],64.669,1.657,61.452,67.727,0.021,0.027,6491.0,2914.0,1.0
mu[1036],65.704,1.67,62.7,68.971,0.021,0.027,6323.0,2971.0,1.0
mu[1037],67.011,1.61,64.146,70.169,0.019,0.03,6927.0,3029.0,1.0
mu[1038],61.942,1.647,58.968,65.127,0.029,0.026,3121.0,2785.0,1.0
mu[1039],64.151,1.674,60.937,67.29,0.033,0.027,2634.0,2733.0,1.0
mu[1040],63.563,1.585,60.525,66.489,0.023,0.027,4900.0,2983.0,1.0
mu[1041],68.812,1.661,65.784,71.982,0.022,0.03,5720.0,2663.0,1.0
mu[1042],69.299,1.585,66.364,72.341,0.02,0.029,6166.0,2660.0,1.0
mu[1043],67.546,1.647,64.593,70.756,0.022,0.029,5749.0,2677.0,1.0
mu[1044],70.434,1.678,67.293,73.644,0.022,0.03,5971.0,2715.0,1.0
mu[1045],68.772,1.571,65.64,71.525,0.02,0.027,6332.0,2964.0,1.0
mu[1046],68.301,1.646,65.082,71.303,0.021,0.028,6037.0,3112.0,1.0
mu[1047],68.301,1.708,65.026,71.467,0.021,0.03,6732.0,2613.0,1.0
mu[1048],71.7,1.752,68.413,75.038,0.022,0.031,6616.0,2708.0,1.0
mu[1049],67.146,1.594,64.212,70.191,0.019,0.028,6825.0,2791.0,1.0
mu[1050],73.201,2.36,68.521,77.535,0.03,0.036,6004.0,3306.0,1.0
mu[1051],74.515,1.844,71.072,77.983,0.024,0.027,5971.0,3331.0,1.0
mu[1052],76.69,1.631,73.669,79.853,0.021,0.024,6202.0,3258.0,1.0
mu[1053],77.437,2.275,73.223,81.725,0.057,0.032,1600.0,2840.0,1.0
mu[1054],71.077,1.812,67.859,74.663,0.034,0.026,2766.0,2880.0,1.0
mu[1055],73.662,1.62,70.562,76.576,0.023,0.024,4885.0,3410.0,1.0
mu[1056],76.048,1.82,72.726,79.566,0.023,0.028,6196.0,3357.0,1.0
mu[1057],75.417,2.345,70.911,79.705,0.031,0.034,5755.0,3553.0,1.0
mu[1058],79.047,1.639,75.914,82.039,0.02,0.027,6642.0,3204.0,1.0
mu[1059],77.883,2.326,73.286,81.961,0.031,0.037,5775.0,3621.0,1.0
mu[1060],78.806,1.625,75.715,81.878,0.02,0.025,6373.0,3424.0,1.0
mu[1061],74.254,1.806,70.935,77.693,0.023,0.027,6234.0,3519.0,1.0
mu[1062],77.605,1.633,74.404,80.587,0.02,0.026,6507.0,3383.0,1.0
mu[1063],71.198,1.852,67.596,74.573,0.024,0.028,6158.0,3459.0,1.0
mu[1064],81.511,2.327,77.374,86.121,0.029,0.034,6443.0,3456.0,1.0
mu[1065],78.295,1.73,75.006,81.535,0.022,0.027,6106.0,3393.0,1.0
mu[1066],79.602,1.644,76.583,82.753,0.02,0.025,6540.0,3498.0,1.0
mu[1067],77.261,1.706,73.932,80.346,0.022,0.026,6047.0,3428.0,1.0
mu[1068],76.154,1.643,73.064,79.22,0.023,0.025,5082.0,3453.0,1.0
mu[1069],74.534,1.691,71.466,77.714,0.029,0.025,3315.0,3275.0,1.0
mu[1070],76.742,1.72,73.58,80.011,0.034,0.025,2616.0,3225.0,1.0
mu[1071],81.89,1.657,78.69,84.929,0.02,0.028,7029.0,3265.0,1.0
mu[1072],80.137,1.72,76.719,83.272,0.021,0.028,6589.0,3037.0,1.0
mu[1073],81.403,1.75,78.107,84.66,0.021,0.028,6932.0,3111.0,1.0
mu[1074],83.025,1.753,79.846,86.437,0.022,0.028,6075.0,3259.0,1.0
mu[1075],80.892,1.712,77.628,84.059,0.022,0.027,6110.0,3493.0,1.0
mu[1076],81.363,1.636,78.176,84.362,0.02,0.026,6547.0,3503.0,1.0
mu[1077],84.291,1.735,81.102,87.593,0.022,0.029,6020.0,3279.0,1.0
mu[1078],79.737,1.649,76.407,82.595,0.02,0.027,6608.0,3335.0,1.0
mu[1079],80.892,1.708,77.796,84.243,0.022,0.028,5943.0,3315.0,1.0
mu[1080],64.193,2.25,59.998,68.285,0.029,0.031,6080.0,3465.0,1.0
mu[1081],67.682,1.568,64.752,70.677,0.021,0.026,5426.0,3154.0,1.0
mu[1082],65.507,1.762,62.305,68.915,0.024,0.027,5586.0,3281.0,1.0
mu[1083],64.654,1.565,61.679,67.436,0.022,0.025,5065.0,2988.0,1.0
mu[1084],68.43,2.252,64.32,72.746,0.056,0.033,1592.0,2561.0,1.0
mu[1085],62.069,1.757,58.913,65.4,0.037,0.025,2196.0,2884.0,1.0
mu[1086],70.039,1.587,67.009,72.934,0.021,0.026,5588.0,2703.0,1.0
mu[1087],66.409,2.294,61.984,70.739,0.03,0.037,5912.0,3274.0,1.0
mu[1088],67.04,1.799,63.672,70.375,0.024,0.03,5875.0,3018.0,1.0
mu[1089],65.246,1.765,62.104,68.725,0.023,0.027,6084.0,3326.0,1.0
mu[1090],68.875,2.27,64.684,73.214,0.031,0.033,5460.0,3312.0,1.0
mu[1091],69.798,1.592,66.973,72.901,0.02,0.027,6396.0,3045.0,1.0
mu[1092],62.19,1.787,58.703,65.466,0.025,0.027,5288.0,3035.0,1.0
mu[1093],68.597,1.583,65.588,71.435,0.021,0.027,5750.0,3252.0,1.0
mu[1094],72.503,2.314,68.392,77.048,0.03,0.031,5925.0,3805.0,1.0
mu[1095],70.594,1.578,67.641,73.564,0.02,0.025,5987.0,3485.0,1.0
mu[1096],68.253,1.666,65.106,71.329,0.022,0.027,5778.0,2962.0,1.0
mu[1097],69.287,1.683,66.082,72.315,0.023,0.028,5592.0,2637.0,1.0
mu[1098],65.526,1.646,62.513,68.625,0.027,0.025,3690.0,3172.0,1.0
mu[1099],67.734,1.679,64.574,70.837,0.03,0.025,3222.0,2937.0,1.0
mu[1100],67.146,1.581,64.259,70.083,0.022,0.025,5239.0,3138.0,1.0
mu[1101],72.395,1.673,69.225,75.463,0.022,0.026,6023.0,3256.0,1.0
mu[1102],71.129,1.655,68.004,74.162,0.021,0.025,6076.0,3198.0,1.0
mu[1103],72.882,1.602,69.83,75.757,0.02,0.026,6093.0,3028.0,1.0
mu[1104],74.017,1.727,70.715,77.267,0.021,0.028,6523.0,3155.0,1.0
mu[1105],71.884,1.691,68.7,75.06,0.021,0.027,6655.0,3188.0,1.0
mu[1106],72.355,1.599,69.437,75.4,0.019,0.026,6772.0,3223.0,1.0
mu[1107],75.283,1.715,72.054,78.497,0.022,0.026,6234.0,3276.0,1.0
mu[1108],71.885,1.679,68.756,75.097,0.021,0.027,6252.0,3089.0,1.0
mu[1109],70.729,1.591,67.673,73.581,0.02,0.026,6094.0,2943.0,1.0
mu[1110],65.501,1.658,62.479,68.64,0.02,0.03,6578.0,3180.0,1.0
mu[1111],62.011,2.386,57.601,66.424,0.028,0.034,7002.0,3586.0,1.0
mu[1112],63.325,1.849,59.962,66.916,0.023,0.033,6396.0,3026.0,1.0
mu[1113],66.248,2.302,62.049,70.676,0.06,0.034,1490.0,2128.0,1.0
mu[1114],59.887,1.838,56.247,63.164,0.035,0.029,2717.0,2736.0,1.0
mu[1115],62.472,1.641,59.303,65.447,0.023,0.028,4864.0,3512.0,1.0
mu[1116],67.857,1.637,64.705,70.914,0.02,0.028,6979.0,2994.0,1.0
mu[1117],64.859,1.816,61.668,68.562,0.022,0.03,7019.0,3365.0,1.0
mu[1118],64.228,2.339,59.896,68.47,0.027,0.034,7483.0,3557.0,1.0
mu[1119],63.065,1.864,59.483,66.619,0.024,0.031,6215.0,2963.0,1.0
mu[1120],67.616,1.657,64.443,70.589,0.02,0.03,6617.0,3071.0,1.0
mu[1121],66.694,2.285,62.567,71.059,0.03,0.029,5770.0,3245.0,1.0
mu[1122],60.008,1.836,56.66,63.491,0.022,0.031,6711.0,3234.0,1.0
mu[1123],70.321,2.299,65.895,74.524,0.028,0.036,6522.0,3484.0,1.0
mu[1124],66.416,1.64,63.375,69.46,0.02,0.029,6870.0,3187.0,1.0
mu[1125],67.105,1.783,63.932,70.55,0.021,0.029,6857.0,2877.0,1.0
mu[1126],68.412,1.663,65.528,71.696,0.02,0.029,6896.0,3134.0,1.0
mu[1127],66.071,1.76,62.809,69.326,0.021,0.029,6760.0,2910.0,1.0
mu[1128],63.344,1.723,60.045,66.444,0.031,0.029,3029.0,3298.0,1.0
mu[1129],65.553,1.743,62.438,68.932,0.035,0.028,2492.0,2428.0,1.0
mu[1130],64.964,1.658,61.881,68.027,0.023,0.028,5096.0,3019.0,1.0
mu[1131],70.213,1.756,66.883,73.407,0.022,0.027,6462.0,3443.0,1.0
mu[1132],68.947,1.734,65.774,72.234,0.021,0.027,6584.0,3245.0,1.0
mu[1133],70.701,1.649,67.604,73.766,0.02,0.027,6757.0,3238.0,1.0
mu[1134],69.702,1.737,66.334,72.731,0.022,0.028,6309.0,3150.0,1.0
mu[1135],71.835,1.748,68.615,75.085,0.022,0.028,6270.0,3252.0,1.0
mu[1136],70.173,1.67,67.194,73.313,0.02,0.029,6644.0,2935.0,1.0
mu[1137],73.101,1.764,69.682,76.186,0.021,0.027,6731.0,3164.0,1.0
mu[1138],69.703,1.744,66.31,72.813,0.021,0.029,6866.0,3457.0,1.0
mu[1139],68.548,1.651,65.42,71.586,0.019,0.028,7209.0,3047.0,1.0
mu[1140],60.121,1.803,56.649,63.443,0.024,0.03,5599.0,3178.0,1.0
mu[1141],58.807,2.324,54.645,63.344,0.028,0.037,6994.0,2740.0,1.0
mu[1142],62.296,1.611,59.346,65.407,0.022,0.028,5312.0,2833.0,1.0
mu[1143],59.268,1.605,56.302,62.269,0.025,0.027,4024.0,2805.0,1.0
mu[1144],56.683,1.796,53.163,59.81,0.037,0.028,2317.0,2117.0,1.0
mu[1145],63.044,2.279,58.796,67.431,0.056,0.033,1638.0,2306.0,1.0
mu[1146],61.654,1.827,58.432,65.214,0.024,0.027,5988.0,3478.0,1.0
mu[1147],61.024,2.324,56.751,65.35,0.031,0.033,5724.0,3812.0,1.0
mu[1148],64.653,1.618,61.673,67.653,0.022,0.027,5599.0,2984.0,1.0
mu[1149],63.49,2.315,59.047,67.7,0.033,0.033,4973.0,3269.0,1.0
