model,divergences,max_rhat,min_bulk_ess,min_tail_ess,max_tree_depth,reached_max_treedepth,finite_energy
additive,0,1.01,345.0,720.0,,,True
reduced_interaction,0,1.01,353.0,667.0,,,True
