artist,song,mix_i_original_name,mix_j_original_name,condition_i,condition_j,combined_euclidean_distance,scalar_only_distance,bark_only_distance,rms_excluded_distance,combined_manhattan_distance,near_duplicate_flag,notes
Fredy V,In The Meantime,QUT-pro,DU-N,Wide Ratings,Wide Ratings,2.70420301636,1.92970984824,1.89444816643,2.98428090955,6.74797927096,false,canonical corrected v2 pairwise distance; stereo imbalance excluded
Broken Crank,Red To Blue,McG-B,McG-G,Similar Ratings,Similar Ratings,2.59969815564,1.90202493155,1.7722109525,2.68017678936,6.09098972619,false,canonical corrected v2 pairwise distance; stereo imbalance excluded
Broken Crank,Red To Blue,McG-B,McG-F,Similar Ratings,Similar Ratings,2.92361081332,2.78384688893,0.893138671612,3.10865776282,5.61729765179,false,canonical corrected v2 pairwise distance; stereo imbalance excluded
Broken Crank,Red To Blue,McG-B,McG-C,Similar Ratings,Wide Ratings,1.70609122427,1.34695070336,1.04712514451,1.5515810424,3.86962422326,false,canonical corrected v2 pairwise distance; stereo imbalance excluded
Broken Crank,Red To Blue,McG-B,McG-H,Similar Ratings,Wide Ratings,2.90122899903,2.62477034197,1.23600580772,3.00419243079,5.92520299178,false,canonical corrected v2 pairwise distance; stereo imbalance excluded
Broken Crank,Red To Blue,McG-B,McG-pro1,Similar Ratings,Wide Ratings,2.25877221386,1.68804025311,1.50085709445,2.34624581495,5.11069682368,false,canonical corrected v2 pairwise distance; stereo imbalance excluded
Broken Crank,Red To Blue,McG-G,McG-F,Similar Ratings,Similar Ratings,2.69815536873,1.9315739314,1.88389610684,2.80523516898,6.20790435923,false,canonical corrected v2 pairwise distance; stereo imbalance excluded
Broken Crank,Red To Blue,McG-G,McG-C,Similar Ratings,Wide Ratings,2.23642122835,0.933738419745,2.03216940094,2.21049336232,5.32300431048,false,canonical corrected v2 pairwise distance; stereo imbalance excluded
Broken Crank,Red To Blue,McG-G,McG-H,Similar Ratings,Wide Ratings,2.19547731062,0.959231709083,1.9748405378,2.2067518686,5.1029224656,false,canonical corrected v2 pairwise distance; stereo imbalance excluded
Broken Crank,Red To Blue,McG-G,McG-pro1,Similar Ratings,Wide Ratings,2.17469013793,0.809010402733,2.01860827411,2.1128096909,4.80564140704,false,canonical corrected v2 pairwise distance; stereo imbalance excluded
Broken Crank,Red To Blue,McG-F,McG-C,Similar Ratings,Wide Ratings,2.48587532029,2.14578289975,1.2550664744,2.5697657957,5.74787169145,false,canonical corrected v2 pairwise distance; stereo imbalance excluded
Broken Crank,Red To Blue,McG-F,McG-H,Similar Ratings,Wide Ratings,1.58101498685,1.34102117373,0.837419011174,1.62946861819,3.09860336886,false,canonical corrected v2 pairwise distance; stereo imbalance excluded
Broken Crank,Red To Blue,McG-F,McG-pro1,Similar Ratings,Wide Ratings,3.21748310589,2.5235981343,1.99590831284,3.32433513638,6.81796061839,false,canonical corrected v2 pairwise distance; stereo imbalance excluded
Broken Crank,Red To Blue,McG-C,McG-H,Wide Ratings,Wide Ratings,1.94841652108,1.53718672687,1.19724012058,2.03316956982,4.3371531968,false,canonical corrected v2 pairwise distance; stereo imbalance excluded
Broken Crank,Red To Blue,McG-C,McG-pro1,Wide Ratings,Wide Ratings,2.07673702912,1.29463395177,1.62381021644,1.82868028341,4.58627299313,false,canonical corrected v2 pairwise distance; stereo imbalance excluded
Broken Crank,Red To Blue,McG-H,McG-pro1,Wide Ratings,Wide Ratings,2.52566192791,1.71514051924,1.85398521391,2.4501080262,5.93058340525,false,canonical corrected v2 pairwise distance; stereo imbalance excluded
The DoneFors,Pouring Room,McG-R,McG-T,Similar Ratings,Similar Ratings,2.92699986494,1.69728156061,2.38465165451,3.29826875001,6.61091223145,false,canonical corrected v2 pairwise distance; stereo imbalance excluded
The DoneFors,Pouring Room,McG-R,McG-X,Similar Ratings,Similar Ratings,3.07136962966,1.24586053133,2.80733733963,3.26794733386,5.37956071583,false,canonical corrected v2 pairwise distance; stereo imbalance excluded
The DoneFors,Pouring Room,McG-R,McG-pro1,Similar Ratings,Wide Ratings,2.12138547376,1.62128540223,1.36810451823,1.83313116218,5.09069917059,false,canonical corrected v2 pairwise distance; stereo imbalance excluded
The DoneFors,Pouring Room,McG-R,McG-U,Similar Ratings,Wide Ratings,1.50639550314,0.573567979833,1.39292755891,1.54147597579,3.73080306542,false,canonical corrected v2 pairwise distance; stereo imbalance excluded
