episode,song_id,mix_id,stimulus_id,posterior_mean,hdi_3%,hdi_97%
Relaxation,Song_1,Mix_1,Song_1_Mix_1,64.83128783657725,60.172608986491696,70.27652368986838
Relaxation,Song_1,Mix_2,Song_1_Mix_2,63.19190114887248,58.21320019221949,68.01148109037533
Relaxation,Song_1,Mix_3,Song_1_Mix_3,56.897076810298884,51.57223104463674,61.655080477489456
Relaxation,Song_2,Mix_1,Song_2_Mix_1,64.7011991123257,59.73850839792978,69.63331769716405
Relaxation,Song_2,Mix_2,Song_2_Mix_2,67.12825598750173,62.3259452437681,72.47097435114563
Relaxation,Song_2,Mix_3,Song_2_Mix_3,62.23788522440762,56.691783253249746,66.7869489284333
Relaxation,Song_3,Mix_1,Song_3_Mix_1,78.57546136855288,73.3454340813428,83.65948263979969
Relaxation,Song_3,Mix_2,Song_3_Mix_2,74.12421715143908,69.1197739603596,79.19185492985027
Relaxation,Song_3,Mix_3,Song_3_Mix_3,69.88203102356583,65.04296060761091,75.1913862113168
Relaxation,Song_4,Mix_1,Song_4_Mix_1,64.33069168306575,59.33566278340729,69.18380506788708
Relaxation,Song_4,Mix_2,Song_4_Mix_2,64.77238521799465,59.94820158158235,70.10364265048935
Relaxation,Song_4,Mix_3,Song_4_Mix_3,56.23323997083963,51.03286776570223,61.109227702846
Distraction,Song_1,Mix_1,Song_1_Mix_1,59.75271730090666,55.03810152534323,65.00203887709542
Distraction,Song_1,Mix_2,Song_1_Mix_2,62.29778987219729,57.04766616335511,67.15385048742311
Distraction,Song_1,Mix_3,Song_1_Mix_3,54.61063050338234,49.94538802278116,60.087184698671635
Distraction,Song_2,Mix_1,Song_2_Mix_1,63.77099381197231,58.696745948327845,68.93175374162854
Distraction,Song_2,Mix_2,Song_2_Mix_2,64.35910194121399,59.470678113432236,69.45109324015434
Distraction,Song_2,Mix_3,Song_2_Mix_3,59.73271816957293,54.7178723037451,64.81470260003219
Distraction,Song_3,Mix_1,Song_3_Mix_1,70.34675113663316,65.22370525885141,75.35785477716476
Distraction,Song_3,Mix_2,Song_3_Mix_2,73.65757514846625,68.5371340561085,78.86360409565135
Distraction,Song_3,Mix_3,Song_3_Mix_3,70.37228326410568,65.29407142858871,75.65935276205941
Distraction,Song_4,Mix_1,Song_4_Mix_1,63.07263541794769,58.02414145025729,67.94287904776839
Distraction,Song_4,Mix_2,Song_4_Mix_2,62.24135838752218,57.22896110748422,67.26924549252756
Distraction,Song_4,Mix_3,Song_4_Mix_3,59.69535151943328,54.99322629273734,64.98121262653432
Enjoyment,Song_1,Mix_1,Song_1_Mix_1,62.109685347864115,57.17707962382527,67.4551524130646
Enjoyment,Song_1,Mix_2,Song_1_Mix_2,70.08827552265272,65.35226390638614,75.35426792428501
Enjoyment,Song_1,Mix_3,Song_1_Mix_3,69.08082839931379,64.06017777843023,74.0832432772728
Enjoyment,Song_2,Mix_1,Song_2_Mix_1,64.76132775340737,60.176487515821805,69.97994490655618
Enjoyment,Song_2,Mix_2,Song_2_Mix_2,71.08640512370525,66.25137686596676,76.07266558655354
Enjoyment,Song_2,Mix_3,Song_2_Mix_3,65.58555746890433,60.01301169784257,70.3589702286242
Enjoyment,Song_3,Mix_1,Song_3_Mix_1,75.68504678871736,70.52662061370197,80.42321805819552
Enjoyment,Song_3,Mix_2,Song_3_Mix_2,75.64894485195592,70.62359203685213,80.7544095592828
Enjoyment,Song_3,Mix_3,Song_3_Mix_3,75.91816706710655,70.96729228410697,80.80295341195448
Enjoyment,Song_4,Mix_1,Song_4_Mix_1,60.33590528344641,55.296839587794295,65.35644339715785
Enjoyment,Song_4,Mix_2,Song_4_Mix_2,67.66934671400676,62.85461504224943,72.87969442847366
Enjoyment,Song_4,Mix_3,Song_4_Mix_3,66.38800551562014,61.312190877518816,71.60533212438766
