participant_id,group,song_id,episode,trial_id,presentation_label,mix_id,stimulus_id,rating
P018,group_02,pouring_room,EDR-2,P018__trial_01,C,mix_132e75f34470,pouring_room_mcg_pro1,100
P018,group_02,pouring_room,EDR-2,P018__trial_01,D,mix_e08faaf8bbb3,pouring_room_mcg_v,100
P018,group_02,pouring_room,EDR-2,P018__trial_01,E,mix_be2ccd4c43ff,pouring_room_mcg_t,100
P018,group_02,pouring_room,FM-1,P018__trial_03,A,mix_e08faaf8bbb3,pouring_room_mcg_v,0
P018,group_02,pouring_room,FM-1,P018__trial_03,B,mix_132e75f34470,pouring_room_mcg_pro1,0
P018,group_02,pouring_room,FM-1,P018__trial_03,C,mix_be2ccd4c43ff,pouring_room_mcg_t,0
P018,group_02,pouring_room,FM-1,P018__trial_03,D,mix_0ba76f420c1d,pouring_room_mcg_r,0
P018,group_02,pouring_room,FM-1,P018__trial_03,E,mix_cbf8555ee2b2,pouring_room_mcg_x,0
P021,group_01,id_like_to_know,EDR-2,P021__trial_06,B,mix_9ffcd672af17,id_like_to_know_pxl_s1,51
P021,group_01,id_like_to_know,EDR-2,P021__trial_06,C,mix_65f41f41d3ab,id_like_to_know_pxl_s3,51
P021,group_01,id_like_to_know,FM-1,P021__trial_03,C,mix_6f8b655d7999,id_like_to_know_pxl_s2,55
P021,group_01,id_like_to_know,FM-1,P021__trial_03,E,mix_9ffcd672af17,id_like_to_know_pxl_s1,55
P021,group_01,lead_me,EDR-2,P021__trial_05,A,mix_271852ba8676,lead_me_du_e,47
P021,group_01,lead_me,EDR-2,P021__trial_05,B,mix_d5b28dfc8a93,lead_me_pxl_l1,47
P021,group_01,lead_me,EDR-2,P021__trial_05,E,mix_d3e3580b6e30,lead_me_mcg_pro2,47
