phase,notebook,output_path,status,new_raw_source,new_raw_sha256,path_exists,action_required
Phase 3B final stimulus model,statistical-baseline/notebooks/_07_real_stimulus_model.ipynb,statistical-baseline/outputs/real_stimulus_model,superseded_by_new_real_dataset_until_rerun,statistical-baseline\data\real\raw\listening_preference_responses_33_immutable.xlsx,5bab388fbf564e0caf5c1ca8a5a722bf8d517e23c018e48375d076e75dba0bdd,True,rerun_notebook_against_current_canonical_real_data
Phase 3B final acoustic feature model,statistical-baseline/notebooks/_08_real_feature_model.ipynb,statistical-baseline/outputs/real_feature_model,superseded_by_new_real_dataset_until_rerun,statistical-baseline\data\real\raw\listening_preference_responses_33_immutable.xlsx,5bab388fbf564e0caf5c1ca8a5a722bf8d517e23c018e48375d076e75dba0bdd,True,rerun_notebook_against_current_canonical_real_data
Phase 3 held-out statistical evaluation,statistical-baseline/notebooks/_09_real_heldout_evaluation.ipynb,statistical-baseline/outputs/real_heldout_evaluation,superseded_by_new_real_dataset_until_rerun,statistical-baseline\data\real\raw\listening_preference_responses_33_immutable.xlsx,5bab388fbf564e0caf5c1ca8a5a722bf8d517e23c018e48375d076e75dba0bdd,True,rerun_notebook_against_current_canonical_real_data
