artist,song,rating_condition,original_mix_name,original_dataset_filename,mix_id,source_path,approved_aligned_start_seconds,approved_aligned_end_seconds,actual_source_start_seconds,actual_source_end_seconds,output_path,sample_rate,bit_depth,channels,duration_seconds,LUFS_before,LUFS_after,applied_gain_db,true_peak_before_dbfs,true_peak_after_dbfs,clipping,fade_in_ms,fade_out_ms,sha256,validation_status,notes
Fredy V,In The Meantime,Wide Ratings,DU-N,DU-N.mp3,mix_29131e66c9d7,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\04_mix_selection_v2\candidate_pool_previews\In The Meantime\DU-N_28sec.wav,35.300431,63.300431,34.742971,62.742971,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\review_audio\In The Meantime\DU-N_28sec.wav,44100,24,2,28,-22.6880116529,-20.8000094525,1.88801165293,-8.39654679876,-6.50853548494,false,5,5,5c5172fc55dc7685f4351bbd882291fc7f57e89e91650e398fccace778a18182,PASS,loudness-normalised six-mix review WAV; original mix name preserved
Broken Crank,Red To Blue,Similar Ratings,McG-B,McG-B.mp3,mix_7ac13e0b6376,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\04_mix_selection_v2\candidate_pool_previews\Red To Blue\McG-B_28sec.wav,3.005442,31.005442,3.004988,31.004988,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\review_audio\Red To Blue\McG-B_28sec.wav,44100,24,2,28,-24.4271012874,-20.8000254393,3.62710128736,-8.98322579388,-5.35612524096,false,5,5,3f31d4d7195eeba2db3cd8415e2c595339b3ab21715367e4647e45046b2727bf,PASS,loudness-normalised six-mix review WAV; original mix name preserved
Broken Crank,Red To Blue,Similar Ratings,McG-G,McG-G.mp3,mix_b4b312ffa4d6,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\04_mix_selection_v2\candidate_pool_previews\Red To Blue\McG-G_28sec.wav,3.005442,31.005442,3,31,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\review_audio\Red To Blue\McG-G_28sec.wav,44100,24,2,28,-23.9585175572,-20.8000338007,3.15851755716,-10.5066633778,-7.34814549927,false,5,5,b8e447bfef777519ea6d3f42dc1787b71d4aa2023f491f8544b41da9d8fcc57c,PASS,loudness-normalised six-mix review WAV; original mix name preserved
Broken Crank,Red To Blue,Similar Ratings,McG-F,McG-F.mp3,mix_dcc6aef84d67,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\04_mix_selection_v2\candidate_pool_previews\Red To Blue\McG-F_28sec.wav,3.005442,31.005442,3.004988,31.004988,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\review_audio\Red To Blue\McG-F_28sec.wav,44100,24,2,28,-23.7978950382,-20.8000359988,2.99789503816,-11.8950560098,-8.89716078993,false,5,5,f6c05d2bf58131abd8fad4dda66de5d7ce54e221f9f13a33678f4663e4b0d07e,PASS,loudness-normalised six-mix review WAV; original mix name preserved
Broken Crank,Red To Blue,Wide Ratings,McG-C,McG-C.mp3,mix_5143d2ee3859,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\04_mix_selection_v2\candidate_pool_previews\Red To Blue\McG-C_28sec.wav,3.005442,31.005442,3.005442,31.005442,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\review_audio\Red To Blue\McG-C_28sec.wav,44100,24,2,28,-23.4606503689,-20.8000205646,2.66065036888,-9.17547439678,-6.51482406291,false,5,5,76761bd1e87bbad78bbbf2482c1bae88fa552576b24032a8407aac9ae67bf648,PASS,loudness-normalised six-mix review WAV; original mix name preserved
Broken Crank,Red To Blue,Wide Ratings,McG-H,McG-H.mp3,mix_5b76bf1a027d,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\04_mix_selection_v2\candidate_pool_previews\Red To Blue\McG-H_28sec.wav,3.005442,31.005442,3.004988,31.004988,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\review_audio\Red To Blue\McG-H_28sec.wav,44100,24,2,28,-23.2709875377,-20.8000257266,2.47098753771,-11.3976576303,-8.92667005136,false,5,5,8d1dd04e4ca5297b93c047929174bffb66a59e88baf5faf8c16f6be97629bfac,PASS,loudness-normalised six-mix review WAV; original mix name preserved
Broken Crank,Red To Blue,Wide Ratings,McG-pro1,McG-pro1.mp3,mix_808780e357c9,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\04_mix_selection_v2\candidate_pool_previews\Red To Blue\McG-pro1_28sec.wav,3.005442,31.005442,3.004988,31.004988,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\review_audio\Red To Blue\McG-pro1_28sec.wav,44100,24,2,28,-24.8476817844,-20.8000236768,4.04768178436,-10.6635740384,-6.61589249558,false,5,5,2b0a1ad32acc63d0d2641d8fe22c4c0d5d25f1f3f21c6418b51109c996f8e537,PASS,loudness-normalised six-mix review WAV; original mix name preserved
The DoneFors,Pouring Room,Similar Ratings,McG-R,McG-R.mp3,mix_0ba76f420c1d,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\04_mix_selection_v2\candidate_pool_previews\Pouring Room\McG-R_28sec.wav,23.020408,51.020408,23.020408,51.020408,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\review_audio\Pouring Room\McG-R_28sec.wav,44100,24,2,28,-21.9719767599,-20.8000213522,1.17197675994,-7.00470590099,-5.8327293392,false,5,5,29f7a9d5ca0734654917be1ca048ed88a0508953727ae7727978d5667766e959,PASS,loudness-normalised six-mix review WAV; original mix name preserved
The DoneFors,Pouring Room,Similar Ratings,McG-T,McG-T.mp3,mix_be2ccd4c43ff,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\04_mix_selection_v2\candidate_pool_previews\Pouring Room\McG-T_28sec.wav,23.020408,51.020408,23.019954,51.019954,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\review_audio\Pouring Room\McG-T_28sec.wav,44100,24,2,28,-21.95627013,-20.8000378797,1.15627012997,-3.62273900403,-2.4664691402,false,5,5,795f35d34d125f26c961532fa63adf35f51136a4359a467eb918ca071f003d73,PASS,loudness-normalised six-mix review WAV; original mix name preserved
The DoneFors,Pouring Room,Similar Ratings,McG-X,McG-X.mp3,mix_cbf8555ee2b2,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\04_mix_selection_v2\candidate_pool_previews\Pouring Room\McG-X_28sec.wav,23.020408,51.020408,23.019954,51.019954,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\review_audio\Pouring Room\McG-X_28sec.wav,44100,24,2,28,-21.7439917966,-20.8000306993,0.94399179663,-4.23471252612,-3.29072071131,false,5,5,6f3f3f1db5e58833e797e780c553a6cba54ad1b34429063428e5662723e6ec69,PASS,loudness-normalised six-mix review WAV; original mix name preserved
The DoneFors,Pouring Room,Wide Ratings,McG-pro1,McG-pro1.mp3,mix_132e75f34470,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\04_mix_selection_v2\candidate_pool_previews\Pouring Room\McG-pro1_28sec.wav,23.020408,51.020408,23.019954,51.019954,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\review_audio\Pouring Room\McG-pro1_28sec.wav,44100,24,2,28,-21.581985683,-20.800020196,0.781985682962,-5.50450561675,-4.72252054929,false,5,5,0f8af83464802c168c947018f265bde49711503b02904de76a3b3aa614286631,PASS,loudness-normalised six-mix review WAV; original mix name preserved
The DoneFors,Pouring Room,Wide Ratings,McG-U,McG-U.mp3,mix_37681ed84b6b,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\04_mix_selection_v2\candidate_pool_previews\Pouring Room\McG-U_28sec.wav,23.020408,51.020408,23.019954,51.019954,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\review_audio\Pouring Room\McG-U_28sec.wav,44100,24,2,28,-22.5932677137,-20.8000601299,1.79326771369,-7.39574928504,-5.60248150405,false,5,5,3fb25fb85ff3098555f9907a69bd01b7c7af9011a866be8d110583851467a294,PASS,loudness-normalised six-mix review WAV; original mix name preserved
The DoneFors,Pouring Room,Wide Ratings,McG-V,McG-V.mp3,mix_e08faaf8bbb3,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\04_mix_selection_v2\candidate_pool_previews\Pouring Room\McG-V_28sec.wav,23.020408,51.020408,23,51,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\review_audio\Pouring Room\McG-V_28sec.wav,44100,24,2,28,-22.0264095122,-20.800012331,1.22640951222,-3.48189120192,-2.2554814874,false,5,5,dee45df61628a4c1e69ffcc96626f7e543ea44caf4e28d95b385bdd4f8f59b53,PASS,loudness-normalised six-mix review WAV; original mix name preserved
