feature,count,mean,std,min,<lambda>,median,<lambda>,max,coefficient_of_variation,near_constant
RMS,12.0,0.05700406183798332,0.007013303064174394,0.0437414124608,0.053560266271225,0.05738400295375,0.059397393837549994,0.0730051249266,0.12303163736134402,False
CF,12.0,17.512660900766665,2.6962060413340803,14.1143035889,15.904338598275,16.5760574341,19.99078130725,22.5979270935,0.15395753144606633,False
SW,12.0,0.1143673569895,0.06966562024976854,0.0170932952315,0.04769481159745,0.129526160657,0.1512138955295,0.217380493879,0.60913902431237,False
SI,12.0,-0.00930109877178333,0.043986388199279754,-0.0638295859098,-0.0348643856123,-0.01283748587595,0.0005336356407499999,0.109930999577,4.729160422714885,False
