artist,song,mix_i_original_name,mix_j_original_name,mix_i_id,mix_j_id,combined_euclidean_distance,scalar_only_distance,bark_only_distance,rms_excluded_distance,combined_manhattan_distance,near_duplicate_flag
Filthybird,I'd Like To Know,PXL-S3,PXL-S2,mix_65f41f41d3ab,mix_6f8b655d7999,1.36762958502,0.594656022338,1.23158227371,1.3792154247,3.21432893387,0
Filthybird,I'd Like To Know,PXL-S3,PXL-S5,mix_65f41f41d3ab,mix_82d60d7c7fc5,3.48430981082,2.9573890462,1.84235308428,3.61667568047,7.54832737798,0
Filthybird,I'd Like To Know,PXL-S3,PXL-S1,mix_65f41f41d3ab,mix_9ffcd672af17,2.63942489308,1.15463481306,2.3734747133,2.63298207754,4.74289891924,0
Filthybird,I'd Like To Know,PXL-S3,PXL-S6,mix_65f41f41d3ab,mix_ab8babdfa183,2.04348755554,0.905207680167,1.83205907258,1.97137773141,4.88930642347,0
Filthybird,I'd Like To Know,PXL-S3,PXL-S4,mix_65f41f41d3ab,mix_b05651ab273c,1.8102321631,0.925856287374,1.55554833401,1.81757762958,4.33283014619,0
Filthybird,I'd Like To Know,PXL-S3,PXL-S7,mix_65f41f41d3ab,mix_b393d3919c78,2.40240683695,1.3944572096,1.95628415646,2.37847168513,5.48896893188,0
Filthybird,I'd Like To Know,PXL-S2,PXL-S5,mix_6f8b655d7999,mix_82d60d7c7fc5,2.71035546444,2.47577752708,1.10297433334,2.80880695242,5.9552421006,0
Filthybird,I'd Like To Know,PXL-S2,PXL-S1,mix_6f8b655d7999,mix_9ffcd672af17,1.85592731216,0.868713408919,1.64006195041,1.79950830026,4.52294923356,0
Filthybird,I'd Like To Know,PXL-S2,PXL-S6,mix_6f8b655d7999,mix_ab8babdfa183,1.47660509,0.726679309873,1.28541813136,1.30972912611,3.3190357149,0
Filthybird,I'd Like To Know,PXL-S2,PXL-S4,mix_6f8b655d7999,mix_b05651ab273c,0.949392070054,0.843460842955,0.43579709623,0.978357412475,1.75632095521,1
Filthybird,I'd Like To Know,PXL-S2,PXL-S7,mix_6f8b655d7999,mix_b393d3919c78,1.52980290766,1.05729456738,1.10563336331,1.41160588707,4.06440192365,0
Filthybird,I'd Like To Know,PXL-S5,PXL-S1,mix_82d60d7c7fc5,mix_9ffcd672af17,2.67350923895,1.88302293763,1.89786097149,2.75036146744,5.72164339116,0
Filthybird,I'd Like To Know,PXL-S5,PXL-S6,mix_82d60d7c7fc5,mix_ab8babdfa183,2.63668710611,2.27928602327,1.325509004,2.73810799548,5.15188030778,0
