,z_RMS,z_CF,z_SW,z_SI
z_RMS,1.0,-0.20902255639097744,-0.27669172932330827,-0.16691729323308271
z_CF,-0.20902255639097744,1.0,0.1368421052631579,0.02406015037593985
z_SW,-0.27669172932330827,0.1368421052631579,1.0,-0.20902255639097744
z_SI,-0.16691729323308271,0.02406015037593985,-0.20902255639097744,1.0
