,z_RMS,z_CF,z_SW,z_SI
z_RMS,1.0,-0.14813468946066238,-0.26008692243432424,-0.08939580638316236
z_CF,-0.14813468946066238,1.0,0.13660573677902663,-0.09802592285595868
z_SW,-0.26008692243432424,0.13660573677902663,1.0,-0.1507005809209079
z_SI,-0.08939580638316236,-0.09802592285595868,-0.1507005809209079,1.0
