component,explained_variance_ratio,cumulative_explained_variance
scalar_pc1,0.3476463125766316,0.3476463125766316
scalar_pc2,0.27019268448503453,0.6178389970616661
scalar_pc3,0.22010321429707877,0.8379422113587449
scalar_pc4,0.16205778864125517,1.0
