method,feature_a,feature_b,correlation,abs_correlation,flag
spearman,z_RMS,z_SW,-0.27669172932330827,0.27669172932330827,
spearman,z_RMS,z_CF,-0.20902255639097744,0.20902255639097744,
spearman,z_SW,z_SI,-0.20902255639097744,0.20902255639097744,
spearman,z_RMS,z_SI,-0.16691729323308271,0.16691729323308271,
spearman,z_CF,z_SW,0.1368421052631579,0.1368421052631579,
spearman,z_CF,z_SI,0.02406015037593985,0.02406015037593985,
