prediction_example_id,fold_id,participant_id,group,trial_id,target_trial_id,song_id,episode,presentation_label,stimulus_id,mix_id,baseline_model,model_label,formula,observed_rating,posterior_mean_expected_rating,posterior_expected_sd,posterior_expected_hdi_lower,posterior_expected_hdi_upper,posterior_probability_highest,is_predicted_winner,is_final_predicted_winner,is_exact_predicted_tie,fit_method,posterior_expected_draws_outside_0_100_prop
real_loto__P013__trial_04,76,P013,group_02,P013__trial_04,P013__trial_04,in_the_meantime,FM-1,A,in_the_meantime_du_k,mix_56e65a3ce054,categorical_design,Stimulus baseline,rating ~ episode + group + (1 | participant_id) + (1 | stimulus_id),37.0,36.27691923918967,6.542863164603308,22.80306492560397,47.42766955689419,0.0,False,False,False,laplace,0.0
real_loto__P013__trial_04,76,P013,group_02,P013__trial_04,P013__trial_04,in_the_meantime,FM-1,B,in_the_meantime_du_h,mix_302f0efe8a80,categorical_design,Stimulus baseline,rating ~ episode + group + (1 | participant_id) + (1 | stimulus_id),76.0,83.46303035643011,6.3854434101424244,71.77684738006603,95.70770413943524,0.974,True,True,False,laplace,0.002
real_loto__P013__trial_04,76,P013,group_02,P013__trial_04,P013__trial_04,in_the_meantime,FM-1,C,in_the_meantime_du_i,mix_9baa86357fd4,categorical_design,Stimulus baseline,rating ~ episode + group + (1 | participant_id) + (1 | stimulus_id),76.0,70.75363509978345,6.351151573416438,59.25498512614057,82.88984694974154,0.013,False,False,False,laplace,0.0
real_loto__P013__trial_04,76,P013,group_02,P013__trial_04,P013__trial_04,in_the_meantime,FM-1,D,in_the_meantime_qut_pro,mix_cdaef40f2b94,categorical_design,Stimulus baseline,rating ~ episode + group + (1 | participant_id) + (1 | stimulus_id),76.0,69.84205726406107,6.515652574231838,57.32288344765897,82.04745398113552,0.013,False,False,False,laplace,0.0
real_loto__P013__trial_04,76,P013,group_02,P013__trial_04,P013__trial_04,in_the_meantime,FM-1,E,in_the_meantime_qut_b,mix_c7bdcba64775,categorical_design,Stimulus baseline,rating ~ episode + group + (1 | participant_id) + (1 | stimulus_id),76.0,57.83498629914026,6.40378642460798,47.05876302008423,70.75892692129092,0.0,False,False,False,laplace,0.0
