prediction_example_id,fold_id,participant_id,group,trial_id,target_trial_id,song_id,episode,presentation_label,stimulus_id,mix_id,baseline_model,model_label,formula,observed_rating,posterior_mean_expected_rating,posterior_expected_sd,posterior_expected_hdi_lower,posterior_expected_hdi_upper,posterior_probability_highest,is_predicted_winner,is_final_predicted_winner,is_exact_predicted_tie,fit_method,posterior_expected_draws_outside_0_100_prop
real_loto__P028__trial_03,165,P028,group_01,P028__trial_03,P028__trial_03,lead_me,FM-1,A,lead_me_mcg_pro2,mix_d3e3580b6e30,categorical_design,Stimulus baseline,rating ~ episode + group + (1 | participant_id) + (1 | stimulus_id),10.0,54.71021138630112,6.636542275858122,43.28161371412259,69.08662638976364,0.896,True,True,False,laplace,0.0
real_loto__P028__trial_03,165,P028,group_01,P028__trial_03,P028__trial_03,lead_me,FM-1,B,lead_me_pxl_l4,mix_c7d9a071ba25,categorical_design,Stimulus baseline,rating ~ episode + group + (1 | participant_id) + (1 | stimulus_id),0.0,43.16740275581844,6.613530056835298,30.147576884986183,55.0350078693106,0.013,False,False,False,laplace,0.0
real_loto__P028__trial_03,165,P028,group_01,P028__trial_03,P028__trial_03,lead_me,FM-1,C,lead_me_du_e,mix_271852ba8676,categorical_design,Stimulus baseline,rating ~ episode + group + (1 | participant_id) + (1 | stimulus_id),5.0,31.356712427996456,6.598070476838652,17.789657242238796,42.85704769264112,0.0,False,False,False,laplace,0.0
real_loto__P028__trial_03,165,P028,group_01,P028__trial_03,P028__trial_03,lead_me,FM-1,D,lead_me_du_d,mix_f1f7973e5bac,categorical_design,Stimulus baseline,rating ~ episode + group + (1 | participant_id) + (1 | stimulus_id),20.0,47.515520206782284,6.585217946756203,34.79781483398448,59.95817745252648,0.086,False,False,False,laplace,0.0
real_loto__P028__trial_03,165,P028,group_01,P028__trial_03,P028__trial_03,lead_me,FM-1,E,lead_me_pxl_l1,mix_d5b28dfc8a93,categorical_design,Stimulus baseline,rating ~ episode + group + (1 | participant_id) + (1 | stimulus_id),15.0,41.12954158455132,6.565648312844239,29.56393753979851,54.02397399067535,0.005,False,False,False,laplace,0.0
