prediction_example_id,fold_id,participant_id,group,trial_id,target_trial_id,song_id,episode,presentation_label,stimulus_id,mix_id,baseline_model,model_label,formula,observed_rating,posterior_mean_expected_rating,posterior_expected_sd,posterior_expected_hdi_lower,posterior_expected_hdi_upper,posterior_probability_highest,is_predicted_winner,is_final_predicted_winner,is_exact_predicted_tie,fit_method,posterior_expected_draws_outside_0_100_prop
real_loto__P020__trial_01,115,P020,group_02,P020__trial_01,P020__trial_01,in_the_meantime,FM-1,A,in_the_meantime_qut_b,mix_c7bdcba64775,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),84.0,52.90714548475093,6.579493618494184,40.733320452933505,65.01304278033233,0.0,False,False,False,laplace,0.0
real_loto__P020__trial_01,115,P020,group_02,P020__trial_01,P020__trial_01,in_the_meantime,FM-1,B,in_the_meantime_du_h,mix_302f0efe8a80,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),93.0,78.92632835818911,6.588224529214406,67.41221550369697,91.95649018961223,0.99,True,True,False,laplace,0.0
real_loto__P020__trial_01,115,P020,group_02,P020__trial_01,P020__trial_01,in_the_meantime,FM-1,C,in_the_meantime_du_i,mix_9baa86357fd4,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),48.0,64.57579227648772,6.469365396108941,52.61388777954943,77.28625323068583,0.004,False,False,False,laplace,0.0
real_loto__P020__trial_01,115,P020,group_02,P020__trial_01,P020__trial_01,in_the_meantime,FM-1,D,in_the_meantime_qut_pro,mix_cdaef40f2b94,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),96.0,64.40572616904694,6.61887031503527,52.372902027341844,77.19925732747521,0.006,False,False,False,laplace,0.0
real_loto__P020__trial_01,115,P020,group_02,P020__trial_01,P020__trial_01,in_the_meantime,FM-1,E,in_the_meantime_du_k,mix_56e65a3ce054,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),41.0,30.236458177454335,6.679748066560008,19.335535391000974,43.05271340215424,0.0,False,False,False,laplace,0.0
