prediction_example_id,fold_id,participant_id,group,trial_id,target_trial_id,song_id,episode,presentation_label,stimulus_id,mix_id,baseline_model,model_label,formula,observed_rating,posterior_mean_expected_rating,posterior_expected_sd,posterior_expected_hdi_lower,posterior_expected_hdi_upper,posterior_probability_highest,is_predicted_winner,is_final_predicted_winner,is_exact_predicted_tie,fit_method,posterior_expected_draws_outside_0_100_prop
real_loto__P017__trial_06,102,P017,group_02,P017__trial_06,P017__trial_06,in_the_meantime,FM-1,A,in_the_meantime_du_h,mix_302f0efe8a80,categorical_design,Stimulus baseline,rating ~ episode + group + (1 | participant_id) + (1 | stimulus_id),73.0,70.09132167659313,6.6617694225587485,57.36665967515356,82.28270801409687,0.977,True,True,False,laplace,0.0
real_loto__P017__trial_06,102,P017,group_02,P017__trial_06,P017__trial_06,in_the_meantime,FM-1,B,in_the_meantime_du_i,mix_9baa86357fd4,categorical_design,Stimulus baseline,rating ~ episode + group + (1 | participant_id) + (1 | stimulus_id),100.0,56.73187818002093,6.490634371535454,44.98496974686367,69.65479293918168,0.007,False,False,False,laplace,0.0
real_loto__P017__trial_06,102,P017,group_02,P017__trial_06,P017__trial_06,in_the_meantime,FM-1,C,in_the_meantime_du_k,mix_56e65a3ce054,categorical_design,Stimulus baseline,rating ~ episode + group + (1 | participant_id) + (1 | stimulus_id),26.0,22.968222051277124,6.548145458650621,10.601545110336236,34.7815510905568,0.0,False,False,False,laplace,0.0
real_loto__P017__trial_06,102,P017,group_02,P017__trial_06,P017__trial_06,in_the_meantime,FM-1,D,in_the_meantime_qut_b,mix_c7bdcba64775,categorical_design,Stimulus baseline,rating ~ episode + group + (1 | participant_id) + (1 | stimulus_id),0.0,45.7321145864164,6.399067599360806,34.140792632353424,58.30331292064557,0.0,False,False,False,laplace,0.0
real_loto__P017__trial_06,102,P017,group_02,P017__trial_06,P017__trial_06,in_the_meantime,FM-1,E,in_the_meantime_qut_pro,mix_cdaef40f2b94,categorical_design,Stimulus baseline,rating ~ episode + group + (1 | participant_id) + (1 | stimulus_id),13.0,57.83132372569744,6.430515177451005,45.946339294724666,69.78093886881557,0.016,False,False,False,laplace,0.0
