prediction_example_id,fold_id,participant_id,group,trial_id,target_trial_id,song_id,episode,presentation_label,stimulus_id,mix_id,baseline_model,model_label,formula,observed_rating,posterior_mean_expected_rating,posterior_expected_sd,posterior_expected_hdi_lower,posterior_expected_hdi_upper,posterior_probability_highest,is_predicted_winner,is_final_predicted_winner,is_exact_predicted_tie,fit_method,posterior_expected_draws_outside_0_100_prop
real_loto__P019__trial_03,111,P019,group_02,P019__trial_03,P019__trial_03,in_the_meantime,EDR-1,A,in_the_meantime_du_h,mix_302f0efe8a80,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),91.0,75.90225360937934,6.506230008724656,64.7350388065615,89.01809360051213,0.987,True,True,False,laplace,0.0
real_loto__P019__trial_03,111,P019,group_02,P019__trial_03,P019__trial_03,in_the_meantime,EDR-1,B,in_the_meantime_du_k,mix_56e65a3ce054,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),6.0,27.906651924600695,6.417901045219811,16.494308507893592,40.092629644320155,0.0,False,False,False,laplace,0.0
real_loto__P019__trial_03,111,P019,group_02,P019__trial_03,P019__trial_03,in_the_meantime,EDR-1,C,in_the_meantime_du_i,mix_9baa86357fd4,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),43.0,62.07551820397998,6.544682273989926,49.34537019817422,73.6250186174992,0.007,False,False,False,laplace,0.0
real_loto__P019__trial_03,111,P019,group_02,P019__trial_03,P019__trial_03,in_the_meantime,EDR-1,D,in_the_meantime_qut_b,mix_c7bdcba64775,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),22.0,51.3807161530329,6.61688974124538,39.365803830208826,64.51115650311529,0.0,False,False,False,laplace,0.0
real_loto__P019__trial_03,111,P019,group_02,P019__trial_03,P019__trial_03,in_the_meantime,EDR-1,E,in_the_meantime_qut_pro,mix_cdaef40f2b94,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),83.0,61.965904240549335,6.427041367445103,49.24053683625114,73.0158759530284,0.006,False,False,False,laplace,0.0
