prediction_example_id,fold_id,participant_id,group,trial_id,target_trial_id,song_id,episode,presentation_label,stimulus_id,mix_id,baseline_model,model_label,formula,observed_rating,posterior_mean_expected_rating,posterior_expected_sd,posterior_expected_hdi_lower,posterior_expected_hdi_upper,posterior_probability_highest,is_predicted_winner,is_final_predicted_winner,is_exact_predicted_tie,fit_method,posterior_expected_draws_outside_0_100_prop
real_loto__P012__trial_06,72,P012,group_01,P012__trial_06,P012__trial_06,lead_me,FM-1,A,lead_me_pxl_l1,mix_d5b28dfc8a93,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),0.0,6.344455677229606,6.2383854865939705,-5.503133430879235,17.639984538605407,0.003,False,False,False,laplace,0.164
real_loto__P012__trial_06,72,P012,group_01,P012__trial_06,P012__trial_06,lead_me,FM-1,B,lead_me_mcg_pro2,mix_d3e3580b6e30,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),0.0,20.238292121872394,6.432321018834917,7.418934386019331,31.8947251780263,0.941,True,True,False,laplace,0.002
real_loto__P012__trial_06,72,P012,group_01,P012__trial_06,P012__trial_06,lead_me,FM-1,C,lead_me_pxl_l4,mix_c7d9a071ba25,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),74.0,6.4920655922324695,6.320556195009729,-5.465101264180687,17.96895537211137,0.006,False,False,False,laplace,0.163
real_loto__P012__trial_06,72,P012,group_01,P012__trial_06,P012__trial_06,lead_me,FM-1,D,lead_me_du_d,mix_f1f7973e5bac,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),82.0,11.406027367215025,6.286933818353091,-0.2608825834386259,22.602077166160484,0.05,False,False,False,laplace,0.034
real_loto__P012__trial_06,72,P012,group_01,P012__trial_06,P012__trial_06,lead_me,FM-1,E,lead_me_du_e,mix_271852ba8676,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),2.0,-4.458450541921232,6.176540070396652,-15.115031381224837,8.513304573365065,0.0,False,False,False,laplace,0.761
